Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
5/23/2024,SOI7,Đêm,,,SO2405-0035,MP24/05-038,LSX05/24-038,SOI-KD01,"Sợi PP màu trắng đục, bản sợi 2.4mm, 880D",0,0,9646.5,0,76,-9646.5,-76,,,Không đạt
5/23/2024,SOI8,Đêm,,,SO2403-0042,MP24/04-004,LSX05/24-049,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",0,0,5485.58,0,16,-5485.58,-16,,,Không đạt
5/25/2024,O01,Ngày,,,SO2404-0038,MP24/04-062,LSX04/24-068,SUI-TRANG,Sủi trắng,0,0,1720,0,0,-1720,0,,,Không đạt
5/27/2024,SOI2,Ngày,,,SO2402-0042,MP24/03-011,LSX03/24-007,SOI-TM15,"Sợi PP, trắng đục, 600D, 2.60mm, 2.60kgF, 20%.",0,0,1882.8,0,28,-1882.8,-28,,,Không đạt
5/27/2024,SOI2,Ngày,,,SO2402-0049,MP24/03-001,LSX04/24-023,SOI-GL4-4,"Sợi PP, trắng đục, 760D, 2.60mm. [No recycle]",0,0,1020.3,0,8,-1020.3,-8,,,Không đạt
5/27/2024,SOI2,Ngày,,,SO2405-0004,MP24/05-010,LSX05/24-013,SOI-AGF1,"Sợi PP, trắng đục, 650D, 2.60mm, 3.1kgF, 20%.",0,0,6411,0,21,-6411,-21,,,Không đạt
5/27/2024,SOI3,Ngày,,,SO2404-0034,MP24/04-064,LSX05/24-014,SOI-UNP4,"Sợi PP trắng đục 770D, bản sợi 2.8mm",0,0,3716.6,0,9,-3716.6,-9,,,Không đạt
5/27/2024,SOI3,Ngày,,,SO2405-0009,MP24/05-017,LSX05/24-030,SOI-SP30-2,"Sợi PP, 820D, 2.91mm, trắng đục. [25.0%]",0,0,2779.55,0,5,-2779.55,-5,,,Không đạt
5/27/2024,SOI3,Ngày,,,SO2405-0009,MP24/05-016,LSX05/24-031,SOI-SP30-2,"Sợi PP, 820D, 2.91mm, trắng đục. [25.0%]",0,0,1988.15,0,0,-1988.15,0,,,Không đạt
5/27/2024,SOI1,Ngày,,,SO2404-0007,MP24/04-023,LSX05/24-037,SOI-MS01-1,"Sợi PP 820D bản chỉ 2.5 mm, trắng đục [Dùng MV8C]",0,0,5558.83,0,62,-5558.83,-62,,,Không đạt
5/27/2024,SOI1,Ngày,,,SO2305-0047,MP23/06-003,LSX05/24-051,SOI-SMY1,"Sợi PP denier 940D, bản chỉ 2.91mm (KH Sanmiguel)",0,0,5774.6,0,49,-5774.6,-49,,,Không đạt
5/27/2024,SOI1,Ngày,,,SO2305-0047,MP23/06-003,LSX05/24-051,SOI-SMY1,"Sợi PP denier 940D, bản chỉ 2.91mm (KH Sanmiguel)",0,0,0,171.4,0,-171.4,0,,,Không đạt
5/27/2024,SOI1,Ngày,,,SO2403-0053,MP24/04-008,LSX05/24-055,SOI-MS01-1,"Sợi PP 820D bản chỉ 2.5 mm, trắng đục [Dùng MV8C]",0,0,6929.77,0,43,-6929.77,-43,,,Không đạt
5/26/2024,SOI7,Đêm,,,SO2404-0041,MP24/05-001,LSX05/24-012,SOI-MA3-1,"Sợi PP, 880D, 2.91mm, trắng trong. [012Talc] [Cảnh báo: Không sử dụng sợi đồng cấp cho sợi này]",0,0,10664.9,0,100,-10664.9,-100,,,Không đạt
5/26/2024,SOI8,Đêm,,,SO2405-0016,MP24/05-034,LSX05/24-029,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",0,0,5499.9,0,47,-5499.9,-47,,,Không đạt
5/26/2024,SOI8,Đêm,,,SO2405-0016,MP24/05-034,LSX05/24-029,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",0,0,0,176.8,0,-176.8,0,,,Không đạt
5/26/2024,SOI7,Đêm,,,SO2405-0035,MP24/05-038,LSX05/24-038,SOI-KD01,"Sợi PP màu trắng đục, bản sợi 2.4mm, 880D",0,0,1239,0,7,-1239,-7,,,Không đạt
5/26/2024,SOI8,Đêm,,,SO2403-0042,MP24/04-004,LSX05/24-049,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",0,0,10968.7,0,15,-10968.7,-15,,,Không đạt
5/26/2024,SOI8,Đêm,,,SO2403-0042,MP24/04-004,LSX05/24-049,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",0,0,0,101.7,0,-101.7,0,,,Không đạt
5/24/2024,SOI1,Ngày,,,SO2403-0030,MP24/03-050,LSX03/24-063,SOI-SW5,"Sợi PP, trắng đục, 810D, 2.55mm. [Non-Recycled]",0,0,1640.09,0,32,-1640.09,-32,,,Không đạt
5/24/2024,SOI2,Ngày,,,SO2402-0049,MP24/03-001,LSX04/24-023,SOI-GL4-4,"Sợi PP, trắng đục, 760D, 2.60mm. [No recycle]",0,0,4559.9,0,70,-4559.9,-70,,,Không đạt
5/24/2024,SOI1,Ngày,,,SO2403-0057,MP24/04-012,LSX04/24-061,SOI-SW5,"Sợi PP, trắng đục, 810D, 2.55mm. [Non-Recycled]",0,0,2003.01,0,12,-2003.01,-12,,,Không đạt
5/24/2024,SOI3,Ngày,,,SO2405-0004,MP24/05-010,LSX05/24-013,SOI-AGF1,"Sợi PP, trắng đục, 650D, 2.60mm, 3.1kgF, 20%.",0,0,2665.4,0,45,-2665.4,-45,,,Không đạt
5/24/2024,SOI3,Ngày,,,SO2404-0034,MP24/04-064,LSX05/24-014,SOI-UNP4,"Sợi PP trắng đục 770D, bản sợi 2.8mm",0,0,2954.2,0,19,-2954.2,-19,,,Không đạt
5/24/2024,SOI1,Ngày,,,SO2404-0007,MP24/04-023,LSX05/24-037,SOI-MS01-1,"Sợi PP 820D bản chỉ 2.5 mm, trắng đục [Dùng MV8C]",0,0,2517.5,0,23,-2517.5,-23,,,Không đạt
5/24/2024,SOI7,Đêm,,,SO2405-0035,MP24/05-038,LSX05/24-038,SOI-KD01,"Sợi PP màu trắng đục, bản sợi 2.4mm, 880D",0,0,6206.35,0,60,-6206.35,-60,,,Không đạt
5/24/2024,SOI7,Đêm,,,SO2405-0035,MP24/05-038,LSX05/24-038,SOI-KD01,"Sợi PP màu trắng đục, bản sợi 2.4mm, 880D",0,0,3309.748,0,27,-3309.748,-27,,,Không đạt
5/24/2024,SOI8,Đêm,,,SO2403-0042,MP24/04-004,LSX05/24-049,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",0,0,8735.8,0,21,-8735.8,-21,,,Không đạt
5/18/2024,SOI1,Ngày,,,SO2403-0030,MP24/03-050,LSX03/24-063,SOI-SW5,"Sợi PP, trắng đục, 810D, 2.55mm. [Non-Recycled]",2400,32.4,1337,0,23,1063,9.4,0.557083333,0.709876,Không đạt
5/18/2024,SOI3,Ngày,,,SO2403-0042,MP24/04-004,LSX04/24-014,SOI-SMY1,"Sợi PP denier 940D, bản chỉ 2.91mm (KH Sanmiguel)",1400,18.9,1339.3,0,30,60.7,-11.1,0.956642857,1.587301,Đạt
5/18/2024,SOI2,Ngày,,,SO2402-0049,MP24/03-001,LSX04/24-023,SOI-GL4-4,"Sợi PP, trắng đục, 760D, 2.60mm. [No recycle]",3000,40.5,4239.8,0,33,-1239.8,7.5,1.413266667,0.814814,Đạt
5/18/2024,SOI1,Ngày,,,SO2403-0062,MP24/04-059,LSX04/24-072,SOI-SP31-1,"Sợi PP màu trắng đục, 880D, 2.55mm [Dùng MV8C]",0,0,63.973,0,0,-63.973,0,,,Không đạt
5/18/2024,SOI3,Ngày,,,SO2403-0067,MP24/05-018,LSX05/24-017,SOI-MS01-1,"Sợi PP 820D bản chỉ 2.5 mm, trắng đục [Dùng MV8C]",4091,55.2285,3707.6,0,9,383.4,46.2285,0.906282083,0.162959,Không đạt
5/18/2024,SOI1,Ngày,,,SO2405-0007,MP24/05-026,LSX05/24-028,SOI-SP31-1,"Sợi PP màu trắng đục, 880D, 2.55mm [Dùng MV8C]",2542,34.317,3245.72,0,23,-703.72,11.317,1.276837136,0.670221,Đạt
5/18/2024,SOI2,Ngày,,,SO2311-0041,MP23/11-040,LSX05/24-033,SOI-TM15-1,"Sợi PP, trắng đục, 600D, 2.60mm. [Không sủi]",0,0,576.8,0,12,-576.8,-12,,,Không đạt
5/18/2024,SOI3,Ngày,,,SO2312-0047,MP23/12-048,LSX12/23-055,SOI-RC3,"Sợi PP màu trắng đục, 940D, 2.50mm, 3.38KgF, 18%, long đền 5.5mm.",3185,42.9975,2987.4,0,25,197.6,17.9975,0.937959184,0.581429,Không đạt
5/18/2024,SOI2,Ngày,,,SO2402-0049,MP24/03-002,LSX04/24-023,SOI-GL4-4,"Sợi PP, trắng đục, 760D, 2.60mm. [No recycle]",3000,40.5,0,185,0,2815,40.5,0.061666667,0,Không đạt
5/18/2024,SOI8,Đêm,,,SO2403-0004,MP24/03-025,LSX04/24-026,SOI-SGX-05,"Sợi PP, 2.60mm, 730D, CAM EMH 33113",3609,48.7215,1237.328,0,72,2371.672,-23.2785,0.342845109,1.477787,Không đạt
5/18/2024,SOI7,Đêm,,,SO2402-0038,MP24/04-051,LSX04/24-057,SOI-JB55,"Sợi PP, trắng UV, 1850D, 5.0mm.",3503,47.2905,4592.4,0,21,-1089.4,26.2905,1.31099058,0.444063,Đạt
5/18/2024,SOI7,Đêm,,,SO2405-0009,MP24/05-017,LSX05/24-030,SOI-SP30-2,"Sợi PP, 820D, 2.91mm, trắng đục. [25.0%]",0,0,1277.7,0,0,-1277.7,0,,,Không đạt
5/18/2024,SOI8,Đêm,,,SO2403-0042,MP24/04-004,LSX05/24-023,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",1750,23.625,0,144.4,0,1605.6,23.625,0.082514286,0,Không đạt
5/18/2024,SOI8,Đêm,,,SO2405-0033,MP24/05-037,LSX05/24-036,SOI-SGX-05,"Sợi PP, 2.60mm, 730D, CAM EMH 33113",1547,20.8845,4237.04,0,413,-2690.04,-392.1155,2.738875242,19.775431,Đạt
5/18/2024,SOI8,Đêm,,,SO2305-0034,MP23/06-002,LSX06/23-079,SOI-SGX-05,"Sợi PP, 2.60mm, 730D, CAM EMH 33113",0,0,29.93,0,0,-29.93,0,,,Không đạt
5/16/2024,SOI2,Ngày,,,SO2403-0030,MP24/03-050,LSX03/24-063,SOI-SW5,"Sợi PP, trắng đục, 810D, 2.55mm. [Non-Recycled]",3000,40.5,2016,0,10,984,30.5,0.672,0.246913,Không đạt
5/16/2024,SOI2,Ngày,,,SO2402-0049,MP24/03-001,LSX04/24-023,SOI-GL4-4,"Sợi PP, trắng đục, 760D, 2.60mm. [No recycle]",0,0,2379.23,0,37,-2379.23,-37,,,Không đạt
5/16/2024,SOI2,Ngày,,,SO2402-0013,MP24/02-015,LSX04/24-024,SOI-GL4-4,"Sợi PP, trắng đục, 760D, 2.60mm. [No recycle]",2400,32.4,338.87,0,0,2061.13,32.4,0.141195833,0,Không đạt
5/16/2024,SOI1,Ngày,,,SO2402-0012,MP24/02-032,LSX04/24-062,SOI-PRE1,"Sợi PP, trắng đục, 820D, 2.55mm.",0,0,379.28,0,0,-379.28,0,,,Không đạt
5/16/2024,SOI1,Ngày,,,SO2403-0062,MP24/04-059,LSX04/24-072,SOI-PRE1,"Sợi PP, trắng đục, 820D, 2.55mm.",2720,36.72,693.22,0,25,2026.78,11.72,0.254860294,0.680827,Không đạt
5/16/2024,SOI1,Ngày,,,SO2403-0033,MP24/05-006,LSX05/24-001,SOI-MS01-1,"Sợi PP 820D bản chỉ 2.5 mm, trắng đục [Dùng MV8C]",0,0,835.675,0,0,-835.675,0,,,Không đạt
5/16/2024,SOI3,Ngày,,,SO2404-0041,MP24/05-001,LSX05/24-012,SOI-MA3-1,"Sợi PP, 880D, 2.91mm, trắng trong. [012Talc] [Cảnh báo: Không sử dụng sợi đồng cấp cho sợi này]",2400,32.4,4405.5,0,44,-2005.5,-11.6,1.835625,1.358024,Đạt
5/16/2024,SOI1,Ngày,,,SO2403-0067,MP24/05-018,LSX05/24-017,SOI-MS01-1,"Sợi PP 820D bản chỉ 2.5 mm, trắng đục [Dùng MV8C]",3636,49.086,4306.82,0,14,-670.82,35.086,1.184493949,0.285213,Đạt
5/16/2024,SOI3,Ngày,,,SO2403-0042,MP24/04-004,LSX05/24-023,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",0,0,575.8,0,0,-575.8,0,,,Không đạt
5/16/2024,SOI3,Ngày,,,SO2403-0042,MP24/04-004,LSX05/24-023,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",0,0,0,63.2,0,-63.2,0,,,Không đạt
5/16/2024,SOI7,Đêm,,,SO2404-0006,MP24/04-036,LSX04/24-059,SOI-MK12-1,"Sợi PP, trắng tẩy, 950D, 2.5mm (cũ 970D, 2.60mm). (Dùng hạt tẩy OP10 - Đại Á)",4004,54.054,1896.63,0,0,2107.37,54.054,0.473683816,0,Không đạt
5/16/2024,SOI7,Đêm,,,SO2404-0006,MP24/04-036,LSX04/24-059,SOI-MK12-2,"Sợi PP, trắng tẩy, 950D, 2.50mm (cũ 970D). (Dùng bột tẩy)",3203,43.2405,812.17,0,0,2390.83,43.2405,0.253565407,0,Không đạt
5/16/2024,SOI7,Đêm,,,SO2404-0006,MP24/04-036,LSX04/24-059,SOI-MK12-1,"Sợi PP, trắng tẩy, 950D, 2.5mm (cũ 970D, 2.60mm). (Dùng hạt tẩy OP10 - Đại Á)",4004,54.054,568.51,0,0,3435.49,54.054,0.141985514,0,Không đạt
5/16/2024,SOI7,Đêm,,,SO2404-0006,MP24/04-036,LSX04/24-059,SOI-MK12-1,"Sợi PP, trắng tẩy, 950D, 2.5mm (cũ 970D, 2.60mm). (Dùng hạt tẩy OP10 - Đại Á)",3203,43.2405,2848.19,0,65,354.81,-21.7595,0.889225726,1.50322,Không đạt
5/16/2024,SOI7,Đêm,,,SO2404-0006,MP24/04-036,LSX04/24-059,SOI-MK12-1,"Sợi PP, trắng tẩy, 950D, 2.5mm (cũ 970D, 2.60mm). (Dùng hạt tẩy OP10 - Đại Á)",3203,43.2405,146.3,0,0,3056.7,43.2405,0.045675929,0,Không đạt
5/16/2024,SOI7,Đêm,,,SO2405-0012,MP24/05-020,LSX05/24-018,SOI-MTD-01,"Sợi PP, trắng đục, 760D, 2.47mm.",0,0,1271.2,0,30,-1271.2,-30,,,Không đạt
5/16/2024,SOI8,Đêm,,,SO2403-0042,MP24/04-004,LSX05/24-023,SOI-SMY2,"Sợi PP denier 950D , bản chỉ 3.33mm (khách hàng San Miguel )",4200,56.7,6115.9,0,17,-1915.9,39.7,1.456166667,0.299823,Đạt
5/16/2024,SOI8,Đêm,,,SO2405-0016,MP24/05-034,LSX05/24-029,SOI-ECL5-1,"Sợi PP, trắng đục, 850D, 3.33mm. [19.50%]",2736,39.672,2436.3,0,1,299.7,38.672,0.890460526,0.025206,Không đạt
5/16/2024,SOI7,Đêm,,,SO2405-0009,MP24/05-017,LSX05/24-030,SOI-SP30-2,"Sợi PP, 820D, 2.91mm, trắng đục. [25.0%]",500,6.75,1346.1,0,5,-846.1,1.75,2.6922,0.74074,Đạt
5/17/2024,SOI2,Ngày,,,SO2403-0030,MP24/03-050,LSX03/24-063,SOI-SW5,"Sợi PP, trắng đục, 810D, 2.55mm. [Non-Recycled]",0,0,994.2,0,33,-994.2,-33,,,Không đạt
5/17/2024,SOI1,Ngày,,,SO2403-0062,MP24/04-059,LSX04/24-072,SOI-PRE1,"Sợi PP, trắng đục, 820D, 2.55mm.",2720,36.72,3144.1,0,4,-424.1,32.72,1.155919118,0.108932,Đạt
5/17/2024,SOI3,Ngày,,,SO2404-0041,MP24/05-001,LSX05/24-012,SOI-MA3-1,"Sợi PP, 880D, 2.91mm, trắng trong. [012Talc] [Cảnh báo: Không sử dụng sợi đồng cấp cho sợi này]",2400,32.4,1858.9,0,53,541.1,-20.6,0.774541667,1.635802,Không đạt
5/17/2024,SOI3,Ngày,,,SO2403-0067,MP24/05-018,LSX05/24-017,SOI-MS01-1,"Sợi PP 820D bản chỉ 2.5 mm, trắng đục [Dùng MV8C]",4091,55.2285,5095.6,0,68,-1004.6,-12.7715,1.245563432,1.231248,Đạt
5/17/2024,SOI1,Ngày,,,SO2405-0007,MP24/05-026,LSX05/24-028,SOI-SP31-1,"Sợi PP màu trắng đục, 880D, 2.55mm [Dùng MV8C]",2906,39.231,1993.6,0,10,912.4,29.231,0.686028906,0.2549,Không đạt
5/17/2024,SOI2,Ngày,,,SO2311-0041,MP23/11-040,LSX05/24-033,SOI-TM15-1,"Sợi PP, trắng đục, 600D, 2.60mm. [Không sủi]",2450,33.075,1462.62,0,0,987.38,33.075,0.596987755,0,Không đạt
5/17/2024,SOI2,Ngày,,,SO2311-0041,MP23/11-040,LSX05/24-033,SOI-TM15-1,"Sợi PP, trắng đục, 600D, 2.60mm. [Không sủi]",2100,28.35,1371.28,0,42,728.72,-13.65,0.652990476,1.481481,Không đạt
5/17/2024,SOI2,Ngày,,,SO2311-0041,MP23/11-040,LSX05/24-033,SOI-TM15-1,"Sợi PP, trắng đục, 600D, 2.60mm. [Không sủi]",2450,33.075,0,245,0,2205,33.075,0.1,0,Không đạt
