Ngày lập đơn,Số yêu cầu,Diễn giải,Yêu cầu mua hàng,Đơn đặt hàng,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Hệ số,Đơn vị tính 2,Số lượng (1),Số lượng (2)
6/20/2024,LN06/24-090,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-060,PR24/06-056,PO06/24-060,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,100,100
6/26/2024,LN06/24-118,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-079. ĐN NK THEO SL THỰC NHẬN DM CHỈNH: 50 KG.,PR24/06-078,PO06/24-079,MDM-FLXL3415C,Xanh Lá 3415C FL,KG,1,KG,125,125
5/24/2024,LN05/24-083,ĐẶT MỰC IN -CHO CÔNG ĐOẠN IN PO05/24-069.,PR24/05-055,PO05/24-069,MDM-FLREFBLUEGT,Xanh Dương Reflex Blue C gián tiếp,KG,1,KG,75,75
5/6/2024,LN05/24-012,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG AGRIFEED + MEKONG : SO2403-0027 PO05/24-005.,PR24/05-005,PO05/24-005,MDM-FL39GT,Xanh Dương 39 FL gián tiếp,KG,1,KG,50,50
4/2/2024,LN04/24-007,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG+ INTER PO04/24-001.,PR24/04-001,PO04/24-001,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
4/4/2024,LN04/24-021,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG 48 MFM SO2403-0016 PO04/24-006.,PR24/04-007,PO04/24-006,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,25,25
5/6/2024,LN05/24-012,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG AGRIFEED + MEKONG : SO2403-0027 PO05/24-005.,PR24/05-004,PO05/24-005,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
5/14/2024,LN05/24-028,ĐẶT MỤC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + INTER : SO2405-0008 +SO2405-0005 PO05/24-025/033.,PR24/05-029,PO05/24-033,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
5/17/2024,LN05/24-064,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG SABAH + KCP + MOLINERA :SO2405-0019+SO2403-0062+SO2403-0045 PO05/24-058.,PR24/05-045,PO05/24-058,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
5/22/2024,LN05/24-073,ĐẶT MỰC IN + DUNG MÔI CHO CÔNG ĐOẠN IN O05/24-060.,PR24/05-047,PO05/24-060,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
6/10/2024,LN06/24-031,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-017.,PR24/06-011,PO06/24-017,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,50,50
6/17/2024,LN06/24-065,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-046.,PR24/06-042,PO06/24-046,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,75,75
6/24/2024,LN06/24-104,ĐỰT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-072.,PR24/06-068,PO06/24-072,MDM-FL39,Xanh Dương 39 FL,KG,1,KG,25,25
4/5/2024,LN04/24-023,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG 66 MFM : SO2404-0001 PO04/24-010.,PR24/04-010,PO04/24-010,MDM-FLXD2763GT,Xanh Dương 2763 FL gián tiếp,KG,1,KG,50,50
5/6/2024,LN05/24-012,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG AGRIFEED + MEKONG : SO2403-0027 PO05/24-005.,PR24/05-005,PO05/24-005,MDM-FLXD2763GT,Xanh Dương 2763 FL gián tiếp,KG,1,KG,75,75
6/20/2024,LN06/24-090,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-060,PR24/06-056,PO06/24-060,MDM-FLXD2763GT,Xanh Dương 2763 FL gián tiếp,KG,1,KG,25,25
5/3/2024,LN05/24-005,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG+INTER+ LAHAD (SO2404-0006+SO2404-001) PO05/24-001.,PR24/05-001,PO05/24-001,MDM-FLXD2763,Xanh Dương 2763 FL,KG,1,KG,75,75
6/10/2024,LN06/24-031,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-017.,PR24/06-011,PO06/24-017,MDM-FLXD2763,Xanh Dương 2763 FL,KG,1,KG,25,25
6/17/2024,LN06/24-065,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-046.,PR24/06-042,PO06/24-046,MDM-FLXD2763,Xanh Dương 2763 FL,KG,1,KG,25,25
6/20/2024,LN06/24-090,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-060,PR24/06-056,PO06/24-060,MDM-FLXD2763,Xanh Dương 2763 FL,KG,1,KG,50,50
5/6/2024,LN05/24-010,Vật Tư Bổ sung Thiếu ( làm công viên và vpx8) A VŨ PO05/24-006,PR24/05-006,PO05/24-006,0700100070000000,XĂNG A92,LIT,1,LIT,6,6
5/7/2024,LN05/24-014,"Vật tư sử dụng của bộ phận BTP, theo đề xuất. PO04/24-045 VÀ PO05/24-010.",PR24/04-048,PO04/24-045,5200110650000003,Xà phòng rửa chén,THUNG,1,THUNG,5,5
5/17/2024,LN05/24-058,Vật tư sửa chữa máy móc thiệt bị phòng kỹ thuật. PO05/24-007.,PR24/05-009,PO05/24-007,5200110650000003,Xà phòng rửa chén,THUNG,1,THUNG,5,5
5/15/2024,LN05/24-050,Đặt khắc bản in cao su PO05/24-034/047.,PR24/05-031,PO05/24-034,520011860000000,WHOLEMEAL-25KG,CM2,1,CM2,521,521
6/11/2024,LN06/24-040,Đặt khắc bản in cao su PO06/24-024.,PR24/06-020,PO06/24-024,5200107220000000,WHITE TIGER,CM2,1,CM2,4348,4348
4/29/2024,LN04/24-126,Đặt khắc bản in cao su PO04/27-077.,PR24/04-069,PO04/24-077,5200107210000000,White Globe,CM2,1,CM2,4637,4637
6/7/2024,LN06/24-022,Vật tư sử dụng của máy thổi theo đề xuất. PO06/24-012.,PR24/06-007,PO06/24-012,090570222000000,Vòng sin phi trong 18mm x 2.5mm,CAI,1,CAI,5,5
5/27/2024,LN05/24-089,Băng keo Phản Quang Hạt nhựa PP kéo sợi - T03 Hạt tẩy trắng quang học OP10 (Đại Á) Hạt taical thổi HDPE IF-PE114C7 (Đại Á) PO04/24-012/045/052/079 VÀ PO05/24-002/007/035/044.,PR24/04-012,PO04/24-012,0902900410000000,Vòng sin phi ngoài 35x2.5mm,CAI,1,CAI,5,5
5/29/2024,LN05/24-111,"Vật tư sửa chữa 2 máy dệt CS, phân xưởng 1. PO01/24-063 VÀ PO05/24-085.",PR24/05-068,PO05/24-085,5200111400000000,Vòng dệt đường kính 752mm(K117.5)-khoan 3 lỗ 8mm (khoan bên hông) chia làm 3 tai khoảng cách đều nhau,VONG,1,VONG,4,4
6/4/2024,LN06/24-007,Mua vải lau phục vụ sản xuất PO06-24-004.,PR24/06-003,PO06/24-004,5200111410000000,"Vòng dệt đường kính 227mm, khoan 3 lô - 8mm, dệt khổ vải 36cm",VONG,1,VONG,4,4
6/7/2024,LN06/24-023,"Vật tư chuyến máy bơm văn phòng mới và vật tư sửa chữa máy móc thiết bị phục vụ sản xuất, PO03/24-056 VÀ PO05/24-085,PO06/24-018.",PR24/06-014,PO06/24-018,5200111410000000,"Vòng dệt đường kính 227mm, khoan 3 lô - 8mm, dệt khổ vải 36cm",VONG,1,VONG,8,8
6/7/2024,LN06/24-022,Vật tư sử dụng của máy thổi theo đề xuất. PO06/24-012.,PR24/06-007,PO06/24-012,090570223000000,Vòng đệm teplong 18 x 21 - dày 1mm.,CAI,1,CAI,5,5
5/27/2024,LN05/24-089,Băng keo Phản Quang Hạt nhựa PP kéo sợi - T03 Hạt tẩy trắng quang học OP10 (Đại Á) Hạt taical thổi HDPE IF-PE114C7 (Đại Á) PO04/24-012/045/052/079 VÀ PO05/24-002/007/035/044.,PR24/04-012,PO04/24-012,090570219000000,Vòng đệm nhựa teflon phi 25x33x1.5mm,CAI,1,CAI,5,5
4/13/2024,LN04/24-065,Vật Tư chuyển VP bán TP lên Trên Lầu PO03/24-044.,PR24/03-039,PO03/24-044,090300024000000,Vít đuôi cá đầu bằng côn chìm 4x25mm,BICH,1,BICH,1,1
5/6/2024,LN05/24-010,Vật Tư Bổ sung Thiếu ( làm công viên và vpx8) A VŨ PO05/24-006,PR24/05-006,PO05/24-006,090300024000000,Vít đuôi cá đầu bằng côn chìm 4x25mm,BICH,1,BICH,1,1
6/5/2024,LN06/24-010,Vật Tư Cắt Kính PO05/24-075. VT LÀM MÁI HIÊN TRƯỚC CỬA X01.,PR24/05-064,PO05/24-075,0905501950000000,Vít bắn tôn 6cm,BICH,1,BICH,6,6
4/23/2024,LN04/24-084,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + PRESTASI : SO2402-0011+SO2404-0006 PO04/24-040,PR24/04-044,PO04/24-040,MDM-FL23GT,Vàng Chanh 23 FL gián tiếp (P012C),KG,1,KG,50,50
6/29/2024,LN06/24-125,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-093.,PR24/06-091,PO06/24-093,MDM-FL23GT,Vàng Chanh 23 FL gián tiếp (P012C),KG,1,KG,25,25
4/2/2024,LN04/24-007,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG+ INTER PO04/24-001.,PR24/04-001,PO04/24-001,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
4/4/2024,LN04/24-021,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG 48 MFM SO2403-0016 PO04/24-006.,PR24/04-007,PO04/24-006,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,25,25
4/10/2024,LN04/24-049,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG UNIPACK + MEKONG : SO2403-0036 PO04/24-020.,PR24/04-020,PO04/24-020,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
4/23/2024,LN04/24-084,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + PRESTASI : SO2402-0011+SO2404-0006 PO04/24-040,PR24/04-034,PO04/24-040,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
4/23/2024,LN04/24-084,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + PRESTASI : SO2402-0011+SO2404-0006 PO04/24-040,PR24/04-043,PO04/24-040,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,100,100
4/26/2024,LN04/24-108,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG ĐƠN HÀNG INTER.SO2404-0014 PO04/24-068.,PR24/04-065,PO04/24-068,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,125,125
5/3/2024,LN05/24-005,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG+INTER+ LAHAD (SO2404-0006+SO2404-001) PO05/24-001.,PR24/05-001,PO05/24-001,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,125,125
5/14/2024,LN05/24-028,ĐẶT MỤC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + INTER : SO2405-0008 +SO2405-0005 PO05/24-025/033.,PR24/05-029,PO05/24-033,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
5/23/2024,LN05/24-079,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO05/24-068.,PR24/05-054,PO05/24-068,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
5/29/2024,LN05/24-108,ĐẶT MỰC  CHO CÔNG ĐOẠN IN ĐƠN HÀNG 66 MFM SO2405-0054 PO05/24-093.,PR24/05-075,PO05/24-093,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,25,25
6/10/2024,LN06/24-031,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-017.,PR24/06-011,PO06/24-017,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,100,100
6/24/2024,LN06/24-104,ĐỰT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-072.,PR24/06-068,PO06/24-072,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,125,125
6/26/2024,LN06/24-118,ĐẶT MỰC IN CHO CÔNG ĐOẠN IN PO06/24-079. ĐN NK THEO SL THỰC NHẬN DM CHỈNH: 50 KG.,PR24/06-078,PO06/24-079,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
5/14/2024,LN05/24-034,Vật tư sửa chữa máy rút dây DONGWON. PO05/24-012/017/044/045.,PR24/05-035,PO05/24-044,0903900510000000,Van thau tay gạt phi 60mm.,CAI,1,CAI,1,1
5/14/2024,LN05/24-035,Vật tư sửa chữa máy móc thiết bị phục vụ sản xuất. PO05/24-008.,PR24/05-008,PO05/24-008,0903900800000000,VAN PHAO CƠ INOX PHI 27,Cái,1,Cái,2,2
5/27/2024,LN05/24-086,"Vật tư sửa chữa bồn bộ chia nước vào máy sợi phân xưởng 1, PO05/24-073/078.",PR24/05-061,PO05/24-073,0903900450000000,VAN NHỰA TAY GẠT PHI 60,CAI,1,CAI,2,2
6/17/2024,LN06/24-064,DÂY CỘT BAO Hạt Taical kéo sợi Hạt phụ gia MV8C (Châu Âu) V....v..... Po05/24-091 và PO06/24-025/036/042.,PR24/06-028,PO06/24-036,0903901150000000,Van điện từ solenoid RCS2406-02-D24G,CAI,1,CAI,4,4
4/4/2024,LN04/24-015,Bao lồng KCP PO03/24-052/056.,PR24/03-051,PO03/24-056,0903901250000000,Van điện từ ngoài trời phi 34 LAZICO- VT34.,CAI,1,CAI,2,2
6/17/2024,LN06/24-064,DÂY CỘT BAO Hạt Taical kéo sợi Hạt phụ gia MV8C (Châu Âu) V....v..... Po05/24-091 và PO06/24-025/036/042.,PR24/06-040,PO06/24-042,0902207340000000,Van điện từ khí nén Model: 4V210 - 08 ( Col: DC 24V - 3W - 125mA ),CAI,1,CAI,10,10
6/27/2024,LN06/24-122,Vật tư bảo trì thoi và lòng máy dệt. PO06/24-018/025/056/059.,PR24/06-050,PO06/24-056,0903900170000000,Van điện từ khí nén 5 ngã ren trong 21mm.  JANATICS Model: DS267SC63.- PR.Rangge: 2-10Bar- Ports: G1/2.,Cái,1,Cái,2,2
6/17/2024,LN06/24-064,DÂY CỘT BAO Hạt Taical kéo sợi Hạt phụ gia MV8C (Châu Âu) V....v..... Po05/24-091 và PO06/24-025/036/042.,PR24/05-077,PO05/24-091,0903901030000000,val solenoid - BDV08024CYPG1/2-DN 13.0mm,CAI,1,CAI,10,10
4/24/2024,LN04/24-103,ĐỀ XUẤT MUA VẬT TƯ CHO BP SỢI NGÀY 21/3/2024 PO03/24-003/085.,PR24/04-002,PO04/24-003,0909700010000000,Vải lau,Kg,1,Kg,800,800
6/6/2024,LN06/24-016,Mua vải lau phục vụ sản xuất PO06/24-004.,PR24/06-003,PO06/24-004,0909700010000000,Vải lau,Kg,1,Kg,800,800
6/26/2024,LN06/24-119,Nhập kho gia công cho Lucky Star,,,THACAPER510110120106PR38,"Vải cuộn PP, trắng đục, K51cm, MĐ: 11x12, TL: 106.0g/mét.",M,0.1057,KG,30000,3171
6/26/2024,LN06/24-120,Nhập kho gia công cho Lucky Star,,,THACAPER510110120106PR38,"Vải cuộn PP, trắng đục, K51cm, MĐ: 11x12, TL: 106.0g/mét.",M,0.10487,KG,22500,2359.5
6/27/2024,LN06/24-121,Nhập kho gia công cho Lucky Star,,,THACAPER510110120106PR38,"Vải cuộn PP, trắng đục, K51cm, MĐ: 11x12, TL: 106.0g/mét.",M,0.10595,KG,10000,1059.5
6/20/2024,LN06/24-092,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR12,"Vải cuộn PP, khổ 55cm, sọc màu PR12 (Đen-Đỏ-Vàng-Dương-Trắng), MĐ: 8.6x8.0, TL: 60.5g/mét.",M,0.05889,KG,22500,1325
6/20/2024,LN06/24-092,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR31,"Vải cuộn PP, K55cm, sọc màu PR31 (Đen-Đỏ-Vàng-XD), MĐ: 8.6x8, TL: 60.5g/mét.",M,0.05804,KG,22500,1306
6/26/2024,LN06/24-120,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR31,"Vải cuộn PP, K55cm, sọc màu PR31 (Đen-Đỏ-Vàng-XD), MĐ: 8.6x8, TL: 60.5g/mét.",M,0.06173,KG,16050,990.8
6/20/2024,LN06/24-093,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR15,"Vải cuộn PP, K55cm, sọc màu PR15 (Đen-Đỏ-Vàng-Ngọc), MĐ: 8.6x8.0, TL: 60.5g/mét.",M,0.05849,KG,13500,789.6
6/26/2024,LN06/24-119,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR15,"Vải cuộn PP, K55cm, sọc màu PR15 (Đen-Đỏ-Vàng-Ngọc), MĐ: 8.6x8.0, TL: 60.5g/mét.",M,0.05893,KG,4500,265.2
6/26/2024,LN06/24-120,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR15,"Vải cuộn PP, K55cm, sọc màu PR15 (Đen-Đỏ-Vàng-Ngọc), MĐ: 8.6x8.0, TL: 60.5g/mét.",M,0.05893,KG,4500,265.2
6/27/2024,LN06/24-121,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR15,"Vải cuộn PP, K55cm, sọc màu PR15 (Đen-Đỏ-Vàng-Ngọc), MĐ: 8.6x8.0, TL: 60.5g/mét.",M,0.05949,KG,9000,535.4
6/20/2024,LN06/24-092,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR14,"Vải cuộn PP, K55cm, sọc màu PR14 (Đen-Đỏ-Vàng-Dương-Ngọc), MĐ: 8.6x8.0, TL: 60.5g/mét.",M,0.06011,KG,22500,1352.5
6/20/2024,LN06/24-093,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR13,"Vải cuộn PP, K55cm, sọc màu PR13 (Đen-Đỏ-Dương-Ngọc-Trắng), MĐ: 8.6x8.0, TL: 60.5gr/mét.",M,0.05793,KG,9000,521.4
6/26/2024,LN06/24-119,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR13,"Vải cuộn PP, K55cm, sọc màu PR13 (Đen-Đỏ-Dương-Ngọc-Trắng), MĐ: 8.6x8.0, TL: 60.5gr/mét.",M,0.05827,KG,4500,262.2
6/26/2024,LN06/24-120,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR13,"Vải cuộn PP, K55cm, sọc màu PR13 (Đen-Đỏ-Dương-Ngọc-Trắng), MĐ: 8.6x8.0, TL: 60.5gr/mét.",M,0.05871,KG,4500,264.2
6/27/2024,LN06/24-121,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR13,"Vải cuộn PP, K55cm, sọc màu PR13 (Đen-Đỏ-Dương-Ngọc-Trắng), MĐ: 8.6x8.0, TL: 60.5gr/mét.",M,0.0586,KG,9000,527.4
6/14/2024,LN06/24-057,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR11,"Vải cuộn PP, K55cm, sọc màu PR11 (Đen-Đỏ-Vàng-Dương-Trắng), MĐ: 8.6x8.0, TL: 60.5g/mét.",M,0.05858,KG,22500,1318
6/20/2024,LN06/24-093,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR10,"Vải cuộn PP, K55cm, sọc màu PR10 (Đen-Vàng-Đỏ-Xanh Ngọc), MĐ: 8.6x8.0, TL: 60.5g/mét.",M,0.05904,KG,13500,797.1
6/26/2024,LN06/24-119,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR10,"Vải cuộn PP, K55cm, sọc màu PR10 (Đen-Vàng-Đỏ-Xanh Ngọc), MĐ: 8.6x8.0, TL: 60.5g/mét.",M,0.06066,KG,9000,545.9
6/27/2024,LN06/24-121,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR10,"Vải cuộn PP, K55cm, sọc màu PR10 (Đen-Vàng-Đỏ-Xanh Ngọc), MĐ: 8.6x8.0, TL: 60.5g/mét.",M,0.05938,KG,9000,534.4
6/14/2024,LN06/24-057,Nhập kho gia công cho Lucky Star,,,THACAPER550086080605PR09,"Vải cuộn PP, K55cm, sọc màu PR09 (Đen-Vàng-Đỏ-Xanh Ngọc), MĐ: 8.6x8, TL: 60.5g/mét.",M,0.06064,KG,22000,1334
