Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
45254,SO2311-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074G074INT.BRGL054,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: BROWN GLOBE (BAGUETTE) - CODE 054 (2+0) (Mã: 5000548). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,KG,5000,370,45262,
45254,SO2311-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.VVGR076,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI GREEN PP 40KG - CODE 076 (1+0) (In 1 mặt) (Mã: 5001104). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,2000,204,45262,
45254,SO2311-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074G074INT.THPH036,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: THO PHAT PP 25KG - CODE 036 (1+0) (Mã: 5000603). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,2000,148,45262,
45254,SO2311-0038,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074TTINT.ORGLEX073,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: ORANGE GLOBE (EXPORT) - CODE 073 (2+0) (Mã: 5000587). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập)",Cái,KG,5000,370,45262,
45258,SO2311-0043,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.WHGL233,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: WHITE GLOBE - CODE 233 (2+0) (Mã: 5000666). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,5000,510,45267,
45258,SO2311-0043,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.WTSP052,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: WHITE TIGER (SP) - CODE 052 (2+0) (Mã: 5000668). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,5000,510,45267,
45258,SO2311-0043,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.BLGL042,"Bao TP-PP, K60x85LL, TL: 102g/cái, MK: BLUE GLOBE - CODE 042 (2+0) (Mã: 5001063). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập)",CAI,KG,5000,510,45267,
45258,SO2311-0043,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060096G115INT.FL.085,"Bao TP-PP, trắng tẩy, K60x96LL, TL: 115g/cái, MK: FEED FLOUR - CODE 085 (1+1) (Mã: 5001350). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập).",Cái,KG,5000,575,45267,
45258,SO2311-0043,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060096G115INT.FL.086,"Bao TP-PP, trắng tẩy, K60x96LL, TL: 115g/cái, MK: FEED FLOUR - CODE 086 (1+1) (Mã: 5001350). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập).",Cái,KG,5000,575,45267,
45258,SO2311-0043,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074G074INT.IFLG055,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: IFV LG PP 25KG - CODE 055 (1+0) (Mã: 5000580). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập)",Cái,KG,2000,148,45267,
