Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
8/28/2023,SO2308-0044,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,SOI-UNP5,"Sợi PP màu xanh lá 770D, bản sợi 2.8mm",KG,KG,300,300,9/1/2023,
8/29/2023,SO2308-0048,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074G074INT.WHGL040,"Bao TP-PP, K50x74LL, TL: 74g/cái, MK: WHITE GLB PP 25KG - CODE 040 (Mã 5000608) (2+0) (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập).",CAI,KG,5000,370,9/7/2023,
8/29/2023,SO2308-0048,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074G074INT.WHGL041,"Bao TP-PP, K50x74LL, TL: 74g/cái, MK: WHITE GLB PP 25KG - CODE 041 (Mã 5000608) (2+0) (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập).",CAI,KG,5000,370,9/7/2023,
8/29/2023,SO2308-0048,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060088INT.AQ34THAC273,"Bao TP-PP, trắng tẩy, K60x88LL, TL: 105g/cái, MK: AQUA FLOUR 34 THAI - CODE 273 (2+1) (Mã: 5000620). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",CAI,KG,5000,525,9/11/2023,
8/29/2023,SO2308-0048,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060088INT.AQ34THAC274,"Bao TP-PP, trắng tẩy, K60x88LL, TL: 105g/cái, MK: AQUA FLOUR 34 THAI - CODE 274 (2+1) (Mã: 5000620). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",CAI,KG,5000,525,9/11/2023,
8/29/2023,SO2308-0048,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.REGL073,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: RED GLOBE (BAGUETTE) - CODE 073 (2+0) (Mã: 5000654). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,KG,5000,510,9/11/2023,
8/29/2023,SO2308-0048,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.WHGL228,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: WHITE GLOBE - CODE 228 (2+0) (Mã: 5000666). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,5000,510,9/11/2023,
8/29/2023,SO2308-0048,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085INT.BRGL2.172,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: BROWN GLOBE-2 PP 40KG - CODE 172 (2+0) (Mã: 5000998). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,5000,510,9/7/2023,
8/29/2023,SO2308-0048,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085INT.BRGL2.173,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: BROWN GLOBE-2 PP 40KG - CODE 173 (2+0) (Mã: 5000998). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,5000,510,9/7/2023,
8/29/2023,SO2308-0048,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.VVBL017,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: VI VI BLUE PP 40KG - CODE 017 (1+0) (Mã: 5001103). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",CAI,KG,2000,204,9/7/2023,
