Mã số,Mặt hàng,Đvt (2),SL (2),Đvt (1),SL (1),Date
9045002480000008,"Dây HDPE, trắng đục, 2.4g/m. [Luồn miệng bao DW]",KG,16.9,M,7073,03/04/2025
09276000100000000,Bánh chổi đánh bavia sợi thép phi 300x50mm lỗ 25.4mm,CAI,2,CAI,2,03/04/2025
0902210390000000,Thyristor TE 200A 63A/415V/230V/ 4mA / FC1BKD/ ENG/230/ NOF.,CAI,2,CAI,2,03/04/2025
0902210400000000,Cảm biến tiệm cận Hanyoung UP12RD- 4NA 4mm NO-NPN 12-24V,CAI,4,CAI,4,03/04/2025
0902203270000000,Biến trở Tocos 10K RV24YN20S B102,CAI,3,CAI,3,03/04/2025
0909500240000000,Lưới lọc ống phi 66/69 x cao 117mm 5 lớp 40/60/80/100/40 mesh.,CAI,2,CAI,-2,03/04/2025
0909500250000000,Lưới lọc ống phi 46/49 x cao 88mm 5 lớp 40/60/80/100/40 mesh.,CAI,61,CAI,61,03/04/2025
0902210470000000,Contacter 12V-200A -  Xe nâng tay bán tự động.,CAI,1,CAI,1,03/04/2025
0908500040000000,Trục lô cao su phi 200x1500mm ( 75-82 shore),TRUC,-1,TRUC,-1,03/04/2025
0902500330000000,Relay SCHRACK - TE CONNECTIVITY - PT370524,CAI,40,CAI,40,03/04/2025
0902210510000000,Tụ điện AC - CBB60 - 5uf -400V Senju,CAI,7,CAI,7,03/04/2025
0910700040000000,Phôi Thau vuông 40x40x1000mm,CAY,1,CAY,1,03/04/2025
0908500840000000,Lô xi máy sợi LOHIA phi 318x1130mm,TRUC,-1,TRUC,0,03/04/2025
0902210520000000,Ty điện trở nhiệt phi 15.7 x 240mm - 230V - 1800W .( dây dài ra 500mm có bọc ống gân inox ),CAI,4,CAI,4,03/04/2025
0902210530000000,"Ty điện trở nhiệt ( CARTRIDGE HEATER 2000W , 230V ) MÃ : 55269200",CAI,9,CAI,9,03/04/2025
0913400010000000,CẦU BÀN LỪA 034061,CAI,5,CAI,5,03/04/2025
0927800020000000,Củ thùa 2 kim. ( Mã số 033141),CAI,5,CAI,5,03/04/2025
09176000580000000,Đầu tuýp đen 1 inch mũi lục giác 17mm Tone 8AH-22,CAI,2,CAI,2,03/04/2025
0902210550000000,Công tắc giật dây RP-RM83F-38LTE.,CAI,4,CAI,4,03/04/2025
0901900760000000,Bánh nỉ nâu  đánh bóng kim loại.  Phi 100mm,CAI,8,CAI,8,03/04/2025
0901900770000000,Bánh nỉ trắng đánh bóng kim loại.  Phi 100mm,CAI,8,CAI,8,03/04/2025
0901900780000000,Sáp đánh bóng kim loại COROLLA.,CUC,1,CUC,1,03/04/2025
091960098000000,"Nạp ắc quy 24V cho máy phát điện và xe nâng G-LINK BC-2430, 24V-300Ah",CAI,1,CAI,1,03/04/2025
0902210570000000,Ty điện trở nhiệt phi 15.7 x 220mm - 230V - 1200W .( dây dài ra 500mm có bọc ống gân inox ),CAI,8,CAI,8,03/04/2025
0902210580000000,Encoder Mechanism HS ( Mã số: 11400126072),CAI,2,CAI,2,03/04/2025
0902205760000000,"Điện trở nhiệt que - CARTRIDGE HEATER , 230V/750W WITH SILCONISED GLASS FIBRE LEAD - Mã: 63081470.",CAI,4,CAI,4,03/04/2025
0902205790000000,"Điện trở nhiệt tấm - CERAMIC PLATE HEATER, 240V/800W  - Mã : 55176600.",CAI,12,CAI,12,03/04/2025
5200111330000000,Bùi nhùi đồng đỏ.,CAI,15,CAI,15,03/04/2025
5300102140000000,Lá cờ Việt Nam 1.4x1.8m -  vải dù.,CAI,1,CAI,1,03/04/2025
0902800040000000,Cổ dê đai xiết phi 30 - 2 dây.,CAI,80,CAI,80,03/04/2025
09061034000000,Nối thẳng nhanh khí nén ống 4 mm,CAI,20,CAI,20,03/04/2025
09061035000000,Nối thẳng 2 đầu côn lồi ren ngoài 27.,CAI,2,CAI,2,03/04/2025
090570224000000,Bulong lục giác côn chìm đầu bằng M10x15mm,CAI,50,CAI,50,03/04/2025
0906000960000000,Nhông đơn lô thu  40 (08B) - 13T . ( GC theo bản vẽ).,CAI,34,CAI,34,03/04/2025
0909400031000000,GĂNG TAY CHỐNG NẮNG XỎ NGÓN TAY,Đôi,40,Đôi,40,03/04/2025
0902210610000000,PLC máy dệt Starlinger RX6.1 . MODEL: X20 CP 1381. Mã: AIVS-01380,CAI,2,CAI,2,03/04/2025
0905300900000000,Dao cắt nhiệt máy cắt AUTO - Bước sóng 1.5mm. - KT: theo mẫu.,CAI,-1,CAI,-1,03/04/2025
0923700550000000,Bulong lục giác côn đầu bằng M8x25mm.,CAI,50,CAI,50,03/04/2025
0905600310000000,Sensor từ báo hết chỉ ngang RX6.1 `REFLECTION LIGHT SCANNER PNP Mã số: AELT-01035,CAI,10,CAI,10,03/04/2025
090570226000000,Phớt lò xo chặn dầu cốt phi 22mm.  ( Theo mẫu),CAI,1,CAI,1,03/04/2025
090570227000000,Phớt lò xo chặn nước cốt phi 20mm.  ( Theo mẫu),CAI,1,CAI,1,03/04/2025
0902101020000000,Dây cu roa H510 - bản 30mm,SOI,5,SOI,5,03/04/2025
0907101180000000,Motor Chính Máy dệt AXL6 (Motor 3.0Kw - 4P . B14 MTD 100L MANIN DRIVE - T.B.D ) Mã : 6011.,CAI,1,CAI,1,03/04/2025
0907101190000000,Motor lô nước Máy dệt AXL6 (Motor Torque Adjustment System - IO Magnets - 0.18KW  ) Mã : 3626.,CAI,2,CAI,2,03/04/2025
0907101200000000,Motor Chính Máy dệt LSL6 (Motor 3.0KW . 4P.B5 Frame 100L MAIN Drive - Mounting - Np - A.C   ) Mã : 1088.,CAI,1,CAI,1,03/04/2025
0903100320000000,Thanh trung tính N+E. 12-18 lỗ.,CAY,2,CAY,2,03/04/2025
0902205922000000,Điện trở nhiệt sứ phi 450x 40mm - 240V-2500W.,CAI,2,CAI,2,03/04/2025
0902210650000000,RElay điện tử Schneider EOCR SSD-60S,CAI,2,CAI,2,03/04/2025
0902210660000000,RElay trung gian Schneider RXM4AB2BD 24VDC - 14 chân có đèn.,CAI,8,CAI,8,03/04/2025
0902210670000000,Công tắc đảo chiều động cơ 3 pha CAMSWITCHES - EEC Controls.,CAI,2,CAI,2,03/04/2025
90450024800000017,Thanh giật chỉ máy may Highlead  Mã: HA804H0651,Cái,5,CAI,5,03/04/2025
0902210680000000,Biến tần YAKAWA : CIMR - AT4A0007FAA.,CAI,1,CAI,1,03/04/2025
090570228000000,Phớt VA - 40.,CAI,8,CAI,8,03/04/2025
0916300090000000,Nẹp bán nguyệt D60 x dài 1.2m - cao 16mm.,CAY,20,CAY,20,03/04/2025
0916300100000000,Nẹp bán nguyệt D80 x dài 1.2m - cao 18mm.,CAY,20,CAY,20,03/04/2025
0908600340000000,Bộ lục giác sao có lỗ loại dài Kingtony 20419PR 9 cây T10-T50,BO,2,BO,2,03/04/2025
0905300930000000,Lưỡi dao cắt vải phi 40 x 0.4mm - lỗ phi 12mm,LUOI,20,LUOI,20,03/04/2025
0927600103000000,Bánh răng vỏ thau Z=100 - phi 104 x 16mm -cốt phi 45 x 112mm ( gia công theo bản vẻ ),CAI,3,CAI,3,03/04/2025
0902101030000000,Dây curoa răng dọc - Poly V Belt 20x3696,SOI,1,SOI,1,03/04/2025
0902101040000000,Dây curoa XPA 3000,SOI,3,SOI,3,03/04/2025
0902210740000000,Biến trở vô cấp WDD35D4 - 5k ôm.,CAI,5,CAI,5,03/04/2025
0902203340000000,Biến trở 3 tầng 10K - 2W,CAI,4,CAI,4,03/04/2025
0906202440000000,Ống dầu thủy lực 2 lớp bấm 2 đầu côn lõm phi 15 - dài 2000. ( Theo mẫu),ONG,2,ONG,2,03/04/2025
0911200010000000,Bảng Táp lô nhựa 200x250mm,CAI,8,CAI,8,03/04/2025
5200111370000000,Chổi than motor kích thước 9x15x25mm,CAI,4,CAI,4,03/04/2025
091960099000000,"Bánh răng D=84mm. Z= 40, M= 2. ( Gia công theo bản vẽ)",CAI,6,CAI,6,03/04/2025
0927600104000000,Bạc đạn SKF 6902 -2Z.,CAI,2,CAI,2,03/04/2025
091960101000000,Bàn hàn máy rút dây khí nén 19x25mm. (Theo mẫu),CAI,2,CAI,2,03/04/2025
091960102000000,Bàn siết máy rút dây khí nén 17x19mm. (Theo mẫu),CAI,2,CAI,2,03/04/2025
091960103000000,Lô cuốn máy rút dây khí nén phi 38x19mm. (Theo mẫu),CAI,2,CAI,2,03/04/2025
0901400370000000,Cây nhựa PA phi 300 x 1000mm,CAI,1,CAI,1,03/04/2025
0927300010000000,Càng xe nâng 1500KG - dài 1200mm,BO,1,BO,1,03/04/2025
0927300020000000,Càng xe nâng 700kg - dài 1000mm.,BO,1,BO,1,03/04/2025
0905600560000000,Dây cáp điện cao áp silicon AC/DC. High Voltage wire 150Kv- 4.0x70.,M,5,M,5,03/04/2025
0902210780000000,Relay nhiệt EOCR - I3M420 Schneider,CAI,4,CAI,4,03/04/2025
0902201680000000,Contactor Schneider LC1D32M7 - 32A.,CAI,5,CAI,5,03/04/2025
0903901280000000,Van diện từ khí nén JANATICS - DS244P60.,CAI,4,CAI,4,03/04/2025
0905700740000000,Phớt bơm nước 32x47x60 (có lò xo),CAI,3,CAI,3,03/04/2025
0917400029000000,Băng keo 2 mặt ( 2.5 cm ),CUON,2,CUON,2,03/04/2025
090570230000000,Phớt lò xo cốt 16mm (Theo mẫu),CAI,3,CAI,3,03/04/2025
0902210790000000,Card - encoder cho biến tần YAKAWA : MOdel : PG-B3.,CAI,1,CAI,1,03/04/2025
0904801110000000,Bánh răng hành tinh răng trong M=0.8 ; Z=46 ( Gia công theo bản vẽ),CAI,8,CAI,8,03/04/2025
0906001020000000,Nhông đơn 50 - Z56 ( GC theo bản vẽ).,CAI,2,CAI,2,03/04/2025
0904801120000000,Bánh răng Xéo phi 435x35mm - M=4; Z=100.  ( Gia công theo bản vẽ ),CAI,2,CAI,2,03/04/2025
0918500070000000,GỐI ĐỠI CÁCH ĐIỆN SM25 (có bu lông),CAI,12,CAI,12,03/04/2025
0902210820000000,MCCB - 3P - 100A - 50KA (Schneider ),CAI,2,CAI,2,03/04/2025
0902210920000000,MCB - 2P - 10A - 10KA (Schneider ),CAI,10,CAI,10,03/04/2025
0904801130000000,Bánh răng M=3 ; Z = 27. - Lỗ 45 then 13x5mm.   ( Gia công theo bản vẽ ),CAI,5,CAI,5,03/04/2025
0906000680000000,Nhông đôi 40 - 16 răng ( GC Theo bản vẽ),CAI,10,CAI,10,03/04/2025
0906001030000000,Nhông đôi 40 - 36 răng ( GC theo bản vẽ).,CAI,10,CAI,10,03/04/2025
0927600106000000,Cảm biến tốc độ motor (mã: NBB2-8GM30-E2-9M.),CAI,2,CAI,2,03/04/2025
0912700030000000,Sứ hạt cườm phi 11x7mm ( theo mẫu),CAI,1000,CAI,1000,03/04/2025
0906300210000000,Phe trong lỗ phi 35mm,CAI,200,CAI,200,03/04/2025
0906300140000000,Phe trong lỗ phi 32mm.,CAI,200,CAI,200,03/04/2025
0923700570000000,Bulong thường M8x50mm + tán + long đền.,CON,20,CON,20,03/04/2025
0902210950000000,Đèn LED Pha vuông 220V-65W.,CAI,4,CAI,4,03/04/2025
0908700430000000,Bình ắc quy KENTOM - KT5-6-6V5Ah.,CAI,2,CAI,2,03/04/2025
0906202590000000,Ống bố thủy lực bấm 2 đầu côn lõm ren trong phi 21 - dài 800mm,ONG,1,ONG,1,03/04/2025
0906202660000000,Ống bố thủy lực bấm 2 đầu côn lõm ren trong phi 21 - dài 1500mm,ONG,1,ONG,1,03/04/2025
0906202670000000,Ống bố thủy lực bấm 2 đầu côn lõm ren trong phi 21 - dài 3500mm,ONG,2,ONG,2,03/04/2025
5200111430000000,"Quạt CA1640 H01, MFM - 09D24TS  / 24VDC- 92x92x25mm.",CAI,16,CAI,16,03/04/2025
0906202460000000,Ống dầu thủy lực bấm 2 đầu côn lõm phi 27 - dài 3500mm.,CAI,2,CAI,2,03/04/2025
0902210990000000,MCCB - 3P - 30A - 50KA -LS.,CAI,1,CAI,1,03/04/2025
0905401180000000,Đầu cốt tròn Nichifu  R5.5-6 không lớp cách điện.,CAI,200,CAI,200,03/04/2025
0905502180000000,Ổ Khóa Solex,CAI,1,CAI,1,03/04/2025
0913900030000000,Đinh rút rive 4mm,Bịch,1,Bịch,1,03/04/2025
0902700890000000,Bộ diều khiển đảo chiều động cơ điện DC12 - 220V/380V bằng Memote ( Model: ZYC-V1.0ZE901 ),Bộ,2,Bộ,2,03/04/2025
0902211000000000,Đèn xoay cảnh báo Hanyoung T084-FFD24R-D 24VDC (có còi),CAI,2,CAI,2,03/04/2025
0908601360000000,Bộ nguồn Meanwell EDR-120-24 (120W 24V 5A).,CAI,2,CAI,2,03/04/2025
090610210200000,Nối thẳng áp lực ren trong M16xP1.5mm - dài 30mm.,CAI,5,CAI,5,03/04/2025
0906001040000000,Nhông đơn 60- 29 răng ( GC theo bản vẽ).,CAI,2,CAI,2,03/04/2025
0906001050000000,Nhông đơn 60- 30 răng ( GC theo bản vẽ).,CAI,2,CAI,2,03/04/2025
09-24300100000003,Khuôn dao dập hình vuông 400x400mm. ( GC theo bản vẽ),CAI,2,CAI,2,03/04/2025
09-24300100000004,Khuôn dao dập hình vuông 300x300mm. ( GC theo bản vẽ),CAI,2,CAI,2,03/04/2025
0900200060000000,Thùng giấy Carton KT : 30x20x15cm.,CAI,1100,CAI,1100,03/04/2025
0923700380000000,Bulong HEXAGON RAISED - HEAD SCREW M4X6 ( Mã: ANSE - 03070),CAI,200,CAI,200,03/04/2025
0923700370000000,Bulong SCREW M5x7.2mm  Mã: Z4R - 13869.,CAI,100,CAI,100,03/04/2025
0923700600000000,Bulong M6x10 (ALLEN SCREW ) mã : ANSI - 02000 .,CAI,100,CAI,100,03/04/2025
0923700610000000,Bulong M6x10 (ALLEN SCREW ) mã : ANSI - 04044,CAI,100,CAI,100,03/04/2025
0923700620000000,Bulong (SCREW ) mã : Z4R - 13849.,CAI,100,CAI,100,03/04/2025
0907100994000000,Bát đỡ láp thu ( BEARING SHELL ) Mã: Z3U-01051E.,CAI,4,CAI,4,03/04/2025
0904600450000000,Tán M16,CAI,70,CAI,70,03/04/2025
0903901300000000,Van hơi gạt tay K34R6-8,CAI,1,CAI,1,03/04/2025
0902200102000000,Bộ điều khiển nguồn Hanyoung TPR-2G50H,CAI,2,CAI,2,03/04/2025
0902200450000000,PLC MÁY SỢI LH,CAI,-1,CAI,-1,03/04/2025
0927600108000000,Motor quạt tháp giải nhiệt 30RT - 380V - 3/4HP.,CAI,1,CAI,1,03/04/2025
0901900830000000,Bánh xe côn ngắn NOV6-576 (Stopper Wheel-P-M-SB) mã: 11158200910,CAI,100,CAI,100,03/04/2025
0901900850000000,Bánh xe lệch tâm NOV6-576 (Shuttle Wheel-N) mã: 11404774010,CAI,100,CAI,100,03/04/2025
0902211030000000,Card X20 JF (modul JF 1091),CAI,4,CAI,4,03/04/2025
0902211040000000,Card X20 AI 1744 (AIVS - 01226),CAI,4,CAI,4,03/04/2025
0902211050000000,Card X20 BT 9100 (AIVS - 01203),CAI,4,CAI,4,03/04/2025
09061040000000,Dây cáp + Jac - X50 - LIGHT Sensor.,SOI,20,SOI,20,03/04/2025
09061041000000,Dây cáp kết nối bàn phím máy dệt Starlinger RX6.1,SOI,6,SOI,6,03/04/2025
09061042000000,Dây cáp kết nối thu cuộn máy dệt Starlinger RX6.1,SOI,6,SOI,6,03/04/2025
09061043000000,Dây cáp kết nối PLC + HMI máy dệt Starlinger RX6.1,SOI,6,SOI,6,03/04/2025
0908500571000000,Lốp xe 215/70/R16C 108/106T TL AGILIS 3 RC M (xe 9 chỗ),CAI,2,CAI,2,03/04/2025
0902211080000000,Dây đèn trứng trang trí 10M - 20 đui - Ngoài trời.,CAI,14,CAI,14,03/04/2025
0907100460000000,Mô tơ thu cuộn máy dệt STARLINGER RX6.1 0.22KW Mã: ARDS-02164,CAI,2,CAI,2,03/04/2025
0907100500000000,Mô tơ chính máy dệt STARLINGER RX6.1 - 4.0KW - 1445/MIN-Y1-112M4 Mã: ARDS-02153,CAI,1,CAI,1,03/04/2025
0901301900000000,Bulong M10x25mm.,CAI,200,CAI,200,03/04/2025
5200111470000000,Tuốc nơ vít 2 đầu 6 x 200 mm đóng vỉ Goodman - 06200,CAI,3,CAI,3,03/04/2025
090570245000000,Phớt lò xo cốt 19 - 35mm .,CAI,1,CAI,1,03/04/2025
0902211100000000,"Rơ le trung gian Schneider RXM4LB1BD, 24VDC, 14 chân",CAI,20,CAI,20,03/04/2025
0902211110000000,"Rơ le trung gian Schneider RXM2LB1BD, 24VDC, 8 chân.",CAI,20,CAI,20,03/04/2025
0902211120000000,Chổi than 5x6x12mm.,CAI,6,CAI,6,03/04/2025
0902211140000000,MCCB - 3P - 63A - 50KA Schneider LV510475.,CAI,3,CAI,3,03/04/2025
0902211150000000,MCCB - 3P - 25A - 50KA Schneider LV429846.,CAI,1,CAI,1,03/04/2025
0902206120000000,Máng điện tráng kẽm 300x120x2.5mm,M,2.5,M,2.5,03/04/2025
0905401200000000,Cốt nối nichifu B0.5,CAI,100,CAI,100,03/04/2025
0905401210000000,Cốt nối nichifu B1.25,CAI,100,CAI,100,03/04/2025
0905401220000000,Cốt nối nichifu B2.,CAI,100,CAI,100,03/04/2025
0905401230000000,Cốt nối nichifu B5.5,CAI,100,CAI,100,03/04/2025
0905401240000000,Cốt nối nichifu B8,CAI,100,CAI,100,03/04/2025
0906900280000000,Chụp mũ màu V16 ( đỏ - vàng - xanh - đen ),CAI,10,CAI,10,03/04/2025
0908900064000000,Con rùa đẩy hàng 6 tấn kawasaki CRA-4,CAI,4,CAI,4,03/04/2025
090570246000000,Phớt lò xo cốt 25 x 44mm.,CAI,3,CAI,3,03/04/2025
0911200258000000,Bảng Tên Kẹp Sắt,BO,100,BO,100,03/04/2025
0906201131000000,Ống hút bụi nhún mềm 2.5 mét phi ngoài 40mm. Có 2 đầu nối.,CAI,2,CAI,2,03/04/2025
0920500040000000,Đầu côn láp thu phi 110x75mm (GC theo bản vẽ),CAI,4,CAI,4,03/04/2025
0902210101000000,Chuột máy tính bàn,CAI,7,CAI,7,03/04/2025
0902210102000000,Bàn phím máy tính bàn,CAI,6,CAI,6,03/04/2025
0905800160000000,Mũi khoan NACHI phi 6.0mm,CAI,2,CAI,2,03/04/2025
0927600110000000,Bạc đạn SKF 6014 - 2Z.,CAI,4,CAI,4,03/04/2025
5200111490000000,Quạt tản nhiệt Mitsubishi MMF-06F24ES 24V 0.1A 60x60x25mm 3 dây,CAI,20,CAI,20,03/04/2025
090610110100000,Bộ chuyển đổi VGA sang HDMI,BO,3,BO,3,03/04/2025
0902205240000000,Đèn led bán nguyệt 1.2m-36w-MPEBN-36,CAI,2,CAI,2,03/04/2025
090300027000000,Vít đuôi cá đầu dù 4x25mm,BICH,1,BICH,1,03/04/2025
091960109000000,Khớp Nối Mềm cao su giảm chấn Mặt Bích DN125,CAI,2,CAI,2,03/04/2025
09061046000000,Nối kép 2 đầu ren ngoài INOX phi 10.,CAI,100,CAI,100,03/04/2025
0923600150000000,Ray thép trượt - 5 mét. ( Chấn theo bản vẽ),CAY,1,CAY,1,03/04/2025
0927600111000000,Bộ báo mức OMRON 61F-G1-AP AC110/220,BO,1,BO,1,03/04/2025
0902700900000000,Đồng hồ đo mét Z94-F,CAI,2,CAI,2,03/04/2025
0921100080000000,Lược chia cò  ( Compensator ) Mã: 11158027210,CAI,1500,CAI,1500,03/04/2025
0906001060000000,Nhông đơn lô nước - 40(08B) - 20T - cốt 27 ( GC theo bản vẽ),CAI,26,CAI,26,03/04/2025
0908600043000000,Bộ chuyển đổi mạng PCIe,Bộ,3,Bộ,3,03/04/2025
0906300420000000,Phe ngoài -  cốt phi 100mm,CAI,3,CAI,3,03/04/2025
0911200260000000,Decal giấy in vận đơn giao hàng nhanh 80x80 (Decal nhiệt),CUON,100,CUON,100,03/04/2025
0908600270000000,Bộ gối đỡ Bạc thau : 70 x 88 x 90mm ( GC theo mẫu ),BO,1,BO,1,03/04/2025
0902101060000000,Dây curoa A84.,SOI,5,SOI,5,03/04/2025
0902211250000000,Đèn LED tuýp 9W 600mm -T8 Master Philips.,CAI,10,CAI,10,03/04/2025
0902211260000000,Công tắc đảo chiều động cơ Transfer Swith TSG - LW26 - 20/3,CAI,4,CAI,4,03/04/2025
0902202720000000,RLAY NHIỆT EOCR-3DE-DIGITOL-3PHA 0.5-30A,CAI,38,CAI,38,03/04/2025
0904801180000000,Cốt cảo chữ H - 014011A,CAI,3,CAI,3,03/04/2025
0906802070000000,Máy may Union special - style 815005- MM17/CDI,CAI,1,CAI,1,03/04/2025
9045002480000214,Kim may máy overlock ORGAN 400,CAI,10,CAI,10,03/04/2025
0918000079000000,Kệ chứa xe đẩy 2100x1050x1150mm ( GC theo bản vẻ ),CAI,0,CAI,0,03/04/2025
0918000080000000,Kệ con lăn 3000x2042x2100mm (Theo mẫu ),CAI,1,CAI,1,03/04/2025
0902211350000000,"Điện trở phi 12x45mm - 240V - 150W,  ( GC theo bản vẽ)",CAI,1,CAI,1,03/04/2025
0901000450000000,Cáp Displayport,Cái,1,Cái,1,03/04/2025
5200111520000000,Quạt tản nhiệt NMB 4715MS-22T-B50 220VAC 120x120x38mm,CAI,10,CAI,10,03/04/2025
0927600112000000,"Bộ điều khiển nhiệt độ AUTONICS TK4S-14RR 110-220VAC, 48x48mm",CAI,2,CAI,2,03/04/2025
0908601400000000,Motor 220V - 120W.,CAI,-5,CAI,-5,03/04/2025
09-24300100000005,Khuôn hình chữ nhật (450mmx450mm),CAI,2,CAI,2,03/04/2025
09-24300100000006,Khuôn hình chữ nhật (140mmx450mm),CAI,3,CAI,3,03/04/2025
0902203050000000,Biến tần Mitsubishi FR-D720S-0.75K 0.75kW 1 Pha 220V,CAI,2,CAI,2,03/04/2025
0906001070000000,Nhông đơn 50- 16 răng - lỗ cốt phi 27mm x then 8x5mm - cồi dài 34mm.,CAI,1,CAI,1,03/04/2025
090570248000000,Ben hơi CTN 40x110mm,CAI,2,CAI,2,03/04/2025
09061048000000,Nối nhựa PVC BM phi 140 giảm 90.,CAI,2,CAI,2,03/04/2025
0903900400000000,VAN NHỰA TAY GẠT PHI 90,CAI,2,CAI,2,03/04/2025
090570233000000,Phớt chống bụi thủy lực DHS 20x28x7mm.,CAI,2,CAI,2,03/04/2025
5200110180000000,QUE HÀN 2.6,Hộp,5,Hộp,5,03/04/2025
0924100080000000,Kim 32,CAI,10,CAI,10,03/04/2025
0906501170000000,"Nút nhấn nhả Schneider XA2EA3341, 22mm",CAI,10,CAI,10,03/04/2025
0901000500000000,"Ống sắt thu sợi, phi trong 35mm, dày 1.5mm, phi ngoài 38mm, dài 218-220mm.",ONG,5283,ONG,5283,03/04/2025
0906900380000000,Chụp mũ màu TIC 100 ( Đỏ- Xanh- Vàng- Đen),Cái,40,Cái,40,03/04/2025
0906900390000000,Chụp mũ màu TIC 80 ( Đỏ- Xanh- Vàng- Đen),CAI,40,CAI,40,03/04/2025
0906900400000000,Chụp mũ màu TIC 60 ( Đỏ- Xanh- Vàng- Đen),CAI,40,CAI,40,03/04/2025
0902204300000000,Dây cáp điện cadivi CXV - 120MM2 - 0.6-1Kv Cu/XLPE.,M,460,M,460,03/04/2025
0902206150000000,Máng điện  150x50x2mm,M,30,M,30,03/04/2025
0904700680000000,Co xuống máng điện 150x50x2mm,CAI,8,CAI,8,03/04/2025
0904700760000000,Co lên máng điện 150x50x2mm,CAI,8,CAI,8,03/04/2025
0902211460000000,MCCB - 4P - 320A - 50KA - Schneider LV540318.,CAI,1,CAI,1,03/04/2025
0902211470000000,MCCB - 3P - 160A - 50KA - Schneider LV516463.,CAI,2,CAI,2,03/04/2025
0903100140000000,Thanh đồng 40x5mm,M,5,M,5,03/04/2025
0906800900000000,Máy thổi hơi nóng Bosch GHG 20-63,CAI,1,CAI,1,03/04/2025
0901900190000000,BÁNH XE NÂNG 6-50-10,CAI,2,CAI,2,03/04/2025
0901900860000000,Bánh xe nâng  - 5.00-8.,CAI,2,CAI,2,03/04/2025
0916700310000000,Lò xo nén ty 2mm - phi trong 24mm - dài 50mm.,CAI,30,CAI,30,03/04/2025
0905200270000000,Đai dưới 10 lỗ KT: 470x98x1mm.,CAI,0,CAI,0,03/04/2025
0902211590000000,Dây đèn led nhiều màu.,SOI,29,SOI,29,03/04/2025
0902211600000000,Quả cầu điện trang trí,CAI,55,CAI,55,03/04/2025
0904800390000000,Cốt đầu dù sau Hengly ( GC theo bản vẽ),CAI,150,CAI,150,03/04/2025
0902209366000000,Điện trở đúc nhôm tấm 130*45*d20/240V-1000W có 2 lỗ phi 8. ( GC theo bản vẽ),CAI,4,CAI,4,03/04/2025
0902211610000000,Biến tần DELTA - model: VFD002L21W-I,CAI,2,CAI,2,03/04/2025
0908500390000000,Lô cao su (PU) phi 175x1455mm. ( Gc theo bản vẽ),TRUC,-2,TRUC,-2,03/04/2025
0908500400000000,Lô cao su phi 200x1550mm. (GC theo bản vẽ),TRUC,-1,TRUC,-1,03/04/2025
0927600114000000,Bộ cảm biến + điều khiển báo mức OMRON 61F-G1-AP AC110/220 ( loại 3 que cảm biến ),BO,3,BO,3,03/04/2025
9045002480000220,Ống co nhiệt 40/20 màu vàng,M,20,M,20,03/04/2025
0906200050000000,Ống co nhiệt 40/20 màu xanh,M,20,M,20,03/04/2025
0906200060000000,Ống co nhiệt 40/20 màu đỏ,M,20,M,20,03/04/2025
0906200070000000,Ống co nhiệt 40/20 màu đen,M,20,M,20,03/04/2025
0906200220000000,Ống co nhiệt 80/40 màu vàng,M,10,M,10,03/04/2025
0906200230000000,Ống co nhiệt 80/40 màu đỏ,M,10,M,10,03/04/2025
0906200240000000,Ống co nhiệt 80/40 màu xanh,M,10,M,10,03/04/2025
0906200210000000,Ống co nhiệt 80/40 màu đen,M,10,M,10,03/04/2025
09061049000000,Nối thẳng hơi 12/8,CAI,30,CAI,30,03/04/2025
0901400390000000,Tấm Amiang khổ 1200x1200x1.5mm,TAM,1,TAM,1,03/04/2025
0901400400000000,Tấm Amiang khổ 1200x1200x1mm,TAM,1,TAM,1,03/04/2025
0910500070000000,Cò chốt máy may,CAI,1,CAI,1,03/04/2025
0902100380000000,Dây cu roa MFM41,SOI,10,SOI,10,03/04/2025
0912700080000000,Lưới gà máy may AS,CAI,20,CAI,20,03/04/2025
9045002480000230,Máy may NEWLONG DN-2W,CAI,-3,CAI,-3,03/04/2025
0906100840000000,Nối kép inox ren ngoài 21mm.,CAI,2,CAI,2,03/04/2025
0902211630000000,Cảm biến điện dung E2K - C36MF2,CAI,1,CAI,1,03/04/2025
0907101290000000,Quạt hút kèm miệng gió 230VAC 323x323x129mm - 230V.,CAI,12,CAI,12,03/04/2025
5200111580000000,Quạt giải nhiệt biến tần MMF - 12F24DS -CP1 - 24VDC -0.36A.,CAI,10,CAI,10,03/04/2025
9045002480000234,Bộ chân vịt bước có lò xo U192Y ( chân  vịt  trong + ngoài),CAI,30,CAI,30,03/04/2025
0904900220000000,Cánh quạt làm mát động cơ Y2-132-468 lỗ trục 38mm,CAI,2,CAI,2,03/04/2025
0906600760000000,Đầu cốt nichifu TMEV TC - 2 - 11.,CAI,400,CAI,400,03/04/2025
0906600770000000,Đầu cốt nichifu TMEV TC - 2 - 11S.,CAI,400,CAI,400,03/04/2025
0927600115000000,Bạc đạn UCFC 209,CAI,4,CAI,4,03/04/2025
0902211650000000,Biến tần Mitsubishi FR - E840 - 7.5K -1.,CAI,1,CAI,1,03/04/2025
0902211660000000,Biến tần B&R 0.37Kw-1.5Hp V5.1 IE56 / 8I64T4C0037.000-1.,CAI,2,CAI,2,03/04/2025
