Mã số,Mặt hàng,Đvt (2),SL (2),Đvt (1),SL (1),Date
MDM-FL23,Vàng Chanh 23 FL,KG,50,KG,50,03/04/2025
MDM-FL23GT,Vàng Chanh 23 FL gián tiếp (P012C),KG,50,KG,50,03/04/2025
MDM-FL348,Xanh lá 348C,KG,25,KG,25,03/04/2025
MDM-FL348GT,Xanh lá 348C gián tiếp,KG,75,KG,75,03/04/2025
MDM-FL39,Xanh Dương 39 FL,KG,25,KG,25,03/04/2025
MDM-FL39GT,Xanh Dương 39 FL gián tiếp,KG,125,KG,125,03/04/2025
MDM-FL485,Đỏ 485C,KG,0,KG,0,03/04/2025
MDM-FL485GT,Đỏ 485C gián tiếp,KG,25,KG,25,03/04/2025
MDM-FL61,Trắng Đục 61 FL,KG,25,KG,25,03/04/2025
MDM-FL61GT,Trắng Đục 61 FL gián tiếp,KG,25,KG,25,03/04/2025
MDM-FL79,Xanh Lá 79 FL,KG,25,KG,25,03/04/2025
MDM-FL81,Tím 81 FL,KG,0,KG,0,03/04/2025
MDM-FL92,Đen 92 FL,KG,75,KG,75,03/04/2025
MDM-FL92GT,Đen 92 FL gián tiếp,KG,100,KG,100,03/04/2025
MDM-FLDO192,Đỏ 192C FL,KG,100,KG,100,03/04/2025
MDM-FLDO192GT,Đỏ 192C FL gián tiếp,KG,75,KG,75,03/04/2025
MDM-FLH570,Hồng 570 FL,KG,25,KG,25,03/04/2025
MDM-FLH570GT,Hồng 570 FL gián tiếp,KG,15,KG,15,03/04/2025
MDM-FLNHUVANG,Nhũ Vàng FL,KG,14.5,KG,14.5,03/04/2025
MDM-FLPROBLUEGT,Xanh Dương Process Blue C gián tiếp,KG,0,KG,0,03/04/2025
MDM-FLREFBLUE,Xanh Dương Reflex Blue C,KG,0,KG,0,03/04/2025
MDM-FLREFBLUEGT,Xanh Dương Reflex Blue C gián tiếp,KG,125,KG,125,03/04/2025
MDM-FLXD2763,Xanh Dương 2763 FL,KG,25,KG,25,03/04/2025
MDM-FLXD2763GT,Xanh Dương 2763 FL gián tiếp,KG,75,KG,75,03/04/2025
MDM-FLXL3415C,Xanh Lá 3415C FL,KG,125,KG,125,03/04/2025
MDM-FLXL3415CGT,Xanh Lá 3415C FL gián tiếp,KG,50,KG,50,03/04/2025
MDM-NAU-4253C-GIANTIEP,Mực nâu 4253C GIÁN TIẾP,KG,16,KG,16,03/04/2025
MDM-XANH-2383C-GIANTIEP,MỰC XANH 2383C GIÁN TIẾP,KG,16,KG,16,03/04/2025
MUC-IN,"TL phụ thuộc vào số mặt in, màu, diện tích phủ.",KG,275.21,KG,275.21,03/04/2025
MUC-XL-DT-355,Mực in Gián tiếp màu xanh lá 355,KG,50,KG,50,03/04/2025
MDM-541,Mực Xanh 541 Gián tiếp,KG,10,KG,10,03/04/2025
MDM-DMO001,Dung môi Chậm khô Trực Tiếp,KG,48,KG,48,03/04/2025
0090610200000000,Trục nối vòng bi mắt trâu ren ngoài M8.  - SA8T/K,CAI,9,CAI,9,03/04/2025
00906102070000000,Trục nối vòng bi mắt trâu ren ngoài M6.  - SA6T/K,CAI,20,CAI,20,03/04/2025
00906102080000000,Trục nối vòng bi mắt trâu ren ngoài M14.  - SA14T/K,CAI,10,CAI,10,03/04/2025
09-02207731000000,Giắc cắm sạc xe nâng hiệu Anderson 175A,BO,2,BO,2,03/04/2025
09-0270100000000,Đồng hồ đo độ dầy,CAI,1,CAI,1,03/04/2025
09-117000500000000,Thảm dính bụi phòng sạch Sticky mat 60 x 90 (cm) màu xanh dương,HOP,1,HOP,1,03/04/2025
09-24300045000000,Khuôn hình chữ nhật ( 200mm x 250mm),CAI,4,CAI,4,03/04/2025
09-24300100000000,Khuôn vuông bo góc ( 100mm-Góc bầu),CAI,4,CAI,4,03/04/2025
0900100010000000,Áo càng thoi  ( Lever holder ) Mã: NOVA6599712 / 11130557900,CAI,6,CAI,6,03/04/2025
0900100020000000,áo khoác cho khách tham quan,CAI,5,CAI,5,03/04/2025
0900100040000000,Áo chỉnh buly (IDLER BRACKET -Ref : LS20106102),CAI,47,CAI,47,03/04/2025
0900400010000000,BẠC ĐỒNG GIAO ĐỘNG 6x12x12 (Nova6 063510),CAI,4216,CAI,4216,03/04/2025
0900400020000000,BẠC NHÔM BÁNH XE CAM (Nova 6063507),CAI,2262,CAI,2262,03/04/2025
0900400040000000,BẠC NHỰA LÔ NƯỚC,CAI,600,CAI,600,03/04/2025
0900400060000000,Bạc càng bù đầu dù sau RX6.1 Mã: Z3C-05775,CAI,45,CAI,45,03/04/2025
0900400070000000,Bạc cốt kim máy may 2W,CAI,2,CAI,2,03/04/2025
0900400090000000,Bạc móc 063171,CAI,1,CAI,1,03/04/2025
0900400100000000,Bạc bàn lừa 034081,CAI,1,CAI,1,03/04/2025
0900400130000000,Bạc thau đỡ lô 56x82mm ( gia công theo bản vẽ),CAI,10,CAI,10,03/04/2025
0900500020000000,BÁT CẦN THẮNG,CAI,63,CAI,63,03/04/2025
0900500030000000,BÁT ĐỠ YẾM THOI LOHIA (Nova6 994607),CAI,264,CAI,264,03/04/2025
0900500040000000,BÁT LĂN ĐAI DƯỚI LSL6 (LOWER BEARING BLLOCK-S 84mm) mã: LSL6 073818,CAI,230,CAI,230,03/04/2025
0900500050000000,BÁT LĂN ĐAI DƯỚI NOVA,CAI,468,CAI,468,03/04/2025
0900500060000000,BÁT LĂN ĐAI TRÊN NOVA+ LSL6 mã: LSL6 076105,CAI,564,CAI,564,03/04/2025
0900500090000000,BÁT TĂNG ĐƯA LÒ XO YẾM THOI (SPRING SHET CHER-P) MÃ : 11407153000,CAI,34,CAI,34,03/04/2025
0900500120000000,Bát càng + gối đỡ đầu dù trước CS.,CAI,0,CAI,0,03/04/2025
0900500160000000,BÁT GIỮ YẾM THOI DS PHẢI,CAI,79,CAI,79,03/04/2025
0900500170000000,BÁT ĐỠ KIM MÁY MAY 3W,CAI,3,CAI,3,03/04/2025
0900500180000000,BÁT KẸP ỐNG PHI 20,CAI,200,CAI,200,03/04/2025
0900500290000000,Bát móc lò xo càng bù RX6.1. Mã: Z4C-05384,CAI,30,CAI,30,03/04/2025
0900500300000000,Bát giữ yếm thoi RX6.1 và RX8 Mã; Z3U-02035,CAI,276,CAI,276,03/04/2025
0900500310000000,Bát tăng đưa lò xo yếm thoi RX6.1 và RX8.0 Mã: Z3I-06361A,CAI,35,CAI,35,03/04/2025
0900500320000000,Bát gọng thoi trên RX6.1 Mã: Z4U-02827,CAI,100,CAI,100,03/04/2025
0900500330000000,Bát gọng thoi dưới RX6.1 Mã: Z4U-02828,CAI,105,CAI,105,03/04/2025
0900500340000000,Bát gọng thoi trước RX6.1 Mã: Z2U-02502,CAI,4,CAI,4,03/04/2025
0900500350000000,Bát trụ kim máy may newlong 032171,CAI,2,CAI,2,03/04/2025
0900500420000000,Pad nhựa càng bù trước HENGLY mã: 850X6-02.3.1,CAI,50,CAI,50,03/04/2025
0900500430000000,Pad nhựa càng bù sau HENGLY mã: 850X6-02.10-3,CAI,70,CAI,70,03/04/2025
0900500480000000,Bát đở thanh rãi chỉ DS (theo bản vẽ),CAI,315,CAI,315,03/04/2025
0900500490000000,BÁT GiẢM ĐƯA CAM,CAI,30,CAI,30,03/04/2025
0900500640000000,Cầu Đấu Chia Dây Điện Aptomat FG9,CAI,8,CAI,8,03/04/2025
0900600100000000,Bản lề lá  (127x76x3mm),CAI,6,CAI,6,03/04/2025
0901000040000000,"Ống sắt thu sợi máy LH, màu Đen, phi trong 35mm, dày 1.5mm, phi ngoài 38mm, dài 218mm.",KG,234.5,CAI,770,03/04/2025
0901000260000000,"Ống điện trở nhiệt  220Vac - 200W, phi 12.30mm - dài 80mm,",CAI,10,CAI,10,03/04/2025
0901000330000000,Dây cáp DVP CAB 215 ( theo mẫu ),SOI,3,SOI,3,03/04/2025
0901100010000000,bạc đạn NU2207,CAI,2,CAI,2,03/04/2025
0901100020000000,bạc đạn NU2206,CAI,3,CAI,3,03/04/2025
0901100030000000,bạc đạn NU2210,CAI,4,CAI,4,03/04/2025
0901100040000000,bạc đạn 3309 A2RS1,CAI,1,CAI,1,03/04/2025
0901100050000000,bạc đạn UC 211,CAI,2,CAI,2,03/04/2025
0901100060000000,bạc đạn 2201,CAI,5,CAI,5,03/04/2025
0901100070000000,BẠC ĐẠN 1206,CAI,18,CAI,18,03/04/2025
0901100080000000,BẠC ĐẠN 1208,CAI,10,CAI,10,03/04/2025
0901100090000000,BẠC ĐẠN 2206,CAI,9,CAI,9,03/04/2025
0901100110000000,BẠC ĐẠN 22216,CAI,1,CAI,1,03/04/2025
0901100120000000,BẠC ĐẠN 22218,CAI,3,CAI,3,03/04/2025
0901100130000000,BẠC ĐẠN 30205,CAI,5,CAI,5,03/04/2025
0901100140000000,BẠC ĐẠN 30210,CAI,1,CAI,1,03/04/2025
0901100150000000,BẠC ĐẠN 30213,CAI,1,CAI,1,03/04/2025
0901100170000000,Bạc đạn SKF 6000-2Z/C3,CAI,1950,CAI,1950,03/04/2025
0901100180000000,BẠC ĐẠN 6001,CAI,1872,CAI,1872,03/04/2025
0901100190000000,BẠC ĐẠN 6002,CAI,19,CAI,19,03/04/2025
0901100200000000,Bạc đạn SKF 6003 - 2Z/C3,CAI,15,CAI,15,03/04/2025
0901100220000000,BẠC ĐẠN 6004(KHÔNG BÍT),CAI,2,CAI,2,03/04/2025
0901100230000000,BẠC ĐẠN 6005,CAI,113,CAI,113,03/04/2025
0901100240000000,BẠC ĐẠN 6006,CAI,103,CAI,103,03/04/2025
0901100250000000,BẠC ĐẠN 6008,CAI,186,CAI,186,03/04/2025
0901100260000000,BẠC ĐẠN 6009,CAI,16,CAI,16,03/04/2025
0901100270000000,Bạc đạn SKF 6010 - 2Z/C3,CAI,30,CAI,30,03/04/2025
0901100280000000,BẠC ĐẠN 6011,CAI,10,CAI,10,03/04/2025
0901100290000000,BẠC ĐẠN 30206,CAI,3,CAI,3,03/04/2025
0901100300000000,BẠC ĐẠN 6012Z,CAI,13,CAI,13,03/04/2025
0901100310000000,BẠC ĐẠN 6013,CAI,3,CAI,3,03/04/2025
0901100330000000,BẠC ĐẠN 6020ZZ,CAI,2,CAI,2,03/04/2025
0901100340000000,BẠC ĐẠN 607,CAI,30,CAI,30,03/04/2025
0901100350000000,BẠC ĐẠN 608,CAI,115,CAI,115,03/04/2025
0901100360000000,BẠC ĐẠN 6200,CAI,117,CAI,117,03/04/2025
0901100370000000,BẠC ĐẠN SKF 6201-2Z/C3,CAI,337,CAI,337,03/04/2025
