Đơn hàng,KHSX,Khách hàng,Mã hàng,Tên hàng,Note,BOM,Loại hàng,Ngày giao,Tỉ lệ,Số lượng 1,Số lượng 2
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THAINMFM485TD.PSBIGR,"Vải cuộn PP-In, trắng đục, K48.5cm, TL: 77.86g/84cm, MK: PS-Bicycle Green. [In có tracking]","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 2,TPH,3/20/2024,0.08,19000,1520
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THAINMFM485TD.PSBIBL,"Vải cuộn PP-In, trắng đục, K48.5cm, TL: 77.86g/84cm, MK: PS-Bicycle Blue. (In có tracking)","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 2,TPH,3/20/2024,0.08,28000,2240
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THAINMFM485089TD.PSNT,"Vải cuộn PP-In, trắng đục, K48.5cm, TL: 82.435g/89cm, MK: PS-NEUTRAL (In có tracking).","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 2,TPH,3/20/2024,0.085,27000,2295
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.083,12000,996
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,1000,80
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,10000,800
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,,3/20/2024,0.08,7000,560
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 2,TPH,3/20/2024,0.085,27000,2295
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,2000,160
SO2402-0024,MP24/02-044,MALAYAN FLOUR MILLS BERHAD (LUMUT + PASIR),THACAMFM485100120915TRDU,"Cuộn PP, trắng đục, K48.5cm, MĐ: 10x12, TL: 91.5g/m.","Đơn hàng 48 PASIR, đóng cont 20ft ngày 20/3/2024",Version 1,TPH,3/20/2024,0.08,5000,400
