Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.PIHO,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 69.6g/cái (+/-5%), MK: PINK HORSE  (2+0) (5000219).",CAI,3000,KG,208.8,,VND,230,0,690000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.RAMA108,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 69.6g/cái (+/-5%), MK: RAMA2 108 (5000248).",CAI,3000,KG,208.8,,VND,230,0,690000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.RAMA88,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 69.6g/cái (+/-5%), MK: RAMA2 88 (5000267).",CAI,3000,KG,208.8,,VND,230,0,690000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.RAMA98,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 69.6g/cái (+/-5%), MK: RAMA2 98 (5000269).",CAI,8000,KG,556.8,,VND,290,0,2320000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.RAMA99,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 69.6g/cái (+/-5%), MK: RAMA2 99 (5000273).",CAI,8000,KG,556.8,,VND,230,0,1840000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.REHOEX,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 69.6g/cái (+/-5%), MK: RED HORSE EXP (5000290).",CAI,9000,KG,626.4,,VND,230,0,2070000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.SFFM99,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 69.6g/cái (+/-5%), MK: SFFM 99 (5000306).",CAI,9000,KG,626.4,,VND,230,0,2070000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO06/24-091,Nguyễn Dũng Trung,6/29/2024,,INB050076TDSAB.YEHON,"Bao PP-In, trắng đục, K50x76LL (+/-1), TL: 69.6g/cái (+/-5%), MK: YELLOW HORSE (N) in 3+0 (5000349).",CAI,3000,KG,208.8,,VND,230,0,690000,NCC010055,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN
PO03/24-083,Nguyễn Thị Đào,3/28/2024,PR24/03-081,HDPE051084G019TT,"Túi HDPE, màu trắng đục, 51(+1/-0.5)x84LL(+1/-0.5), dày 20mi, cắt dài 85.5cm + hàn cách đáy 1.5cm(+/-0.5), TL: 19g/cái(+/-1).",CAI,305000,KG,5795,,VND,657,16030800,200385000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO06/24-016,Nguyễn Dũng Trung,6/6/2024,,INB485079TDMFM.LMBALA,"Bao PP-In, trắng đục, K48.5(+1/-0.5)x79LL(+/-1), TL: 78.44gr/cái(+/-2.4), MK: BALANCE. [In có tracking] [Tép 100 cái]",CAI,2000,KG,156.88,,VND,535,0,1070000,NCC010318,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TOÀN MẠNH PHÁT
PO01/24-061,Thái Minh Quyết,1/22/2024,,INB485079TDMFM.LMBIBL,"Bao PP-In, trắng đục, K48.5(+1/-0.5)x79LL(+/-1), TL: 78.44gr/cái(+/-2.4), MK: BICYCLE BLUE. [In có tracking] [Tép 100 cái]",CAI,35000,KG,2745.4,,VND,250,700000,8750000,KH010018,CÔNG TY TNHH LUCKY STAR PLAST
PO01/24-061,Thái Minh Quyết,1/22/2024,,INB485079TDMFM.LMBIGR,"Bao PP-In, trắng đục, K48.5(+1/-0.5)x79LL(+/-1), TL: 78.44gr/cái(+/-2.4), MK: BICYCLE GREEN. [In có tracking] [Tép 100 cái]",CAI,30000,KG,2353.2,,VND,250,600000,7500000,KH010018,CÔNG TY TNHH LUCKY STAR PLAST
PO06/24-016,Nguyễn Dũng Trung,6/6/2024,,INB485079TDMFM.LMEAGLE,"Bao PP-In, trắng đục, K48.5(+1/-0.5)x79LL(+/-1), TL: 78.44gr/cái(+/-2.4), MK: EAGLE. [In có tracking] [Tép 100 cái]",CAI,2000,KG,156.88,,VND,595,0,1190000,NCC010318,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TOÀN MẠNH PHÁT
PO06/24-016,Nguyễn Dũng Trung,6/6/2024,,INB485079TDMFM.LMLOBI,"Bao PP-In, trắng đục, K48.5(+1/-0.5)x79LL(+/-1), TL: 78.44gr/cái(+/-2.4), MK: LOVE BIRD. [In có tracking] [Tép 100 cái]",CAI,5000,KG,392.2,,VND,520,0,2600000,NCC010318,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TOÀN MẠNH PHÁT
PO06/24-016,Nguyễn Dũng Trung,6/6/2024,,INB485079TDMFM.LMNBSP,"Bao PP-In, trắng đục, K48.5(+1/-0.5)x79LL(+/-1), TL: 78.44gr/cái(+/-2.4), MK: NB SPECIAL. [In có tracking] [Tép 100 cái]",CAI,2000,KG,156.88,,VND,535,0,1070000,NCC010318,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TOÀN MẠNH PHÁT
PO06/24-016,Nguyễn Dũng Trung,6/6/2024,,INB485079TDMFM.LMRERO,"Bao PP-In, trắng đục, K48.5(+1/-0.5)x79LL(+/-1), TL: 78.44gr/cái(+/-2.4), MK: RED ROSES. [In có tracking] [Tép 100 cái]",CAI,5000,KG,392.2,,VND,460,0,2300000,NCC010318,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TOÀN MẠNH PHÁT
PO06/24-016,Nguyễn Dũng Trung,6/6/2024,,INB485079TDMFM.LMREROEX,"Bao PP-In, trắng đục, K48.5(+1/-0.5)x79LL(+/-1), TL: 78.44gr/cái(+/-2.4), MK: RED ROSES EXPORT. [In có tracking] [Tép 100 cái]",CAI,2000,KG,156.88,,VND,535,0,1070000,NCC010318,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TOÀN MẠNH PHÁT
PO06/24-016,Nguyễn Dũng Trung,6/6/2024,,INB485813TDMFM.LMCHAT,"[INB] Bao PP-In, màu trắng đục, khổ 48.5x81.3LL(+/-1), TL: 80.27gr/cái(+/-5%), MK: CHAKKI ATTA (2+2). [In có tracking]",CAI,2000,KG,160.54,,VND,535,0,1070000,NCC010318,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TOÀN MẠNH PHÁT
PO05/24-065,Nguyễn Thị Đào,5/22/2024,PR24/05-053,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,5000,KG,250,,VND,1725,690000,8625000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO02/24-011,Nguyễn Thị Đào,2/3/2024,PR24/02-016,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,KG,5000,,VND,1725,13800000,172500000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO01/24-103,Nguyễn Thị Đào,1/29/2024,PR24/01-098,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,KG,5000,,VND,1725,13800000,172500000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO03/24-083,Nguyễn Thị Đào,3/28/2024,PR24/03-081,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,200000,KG,10000,,VND,1725,27600000,345000000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO03/24-051,Nguyễn Thị Đào,3/19/2024,PR24/03-042,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,109000,KG,5450,,VND,1725,15042000,188025000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO03/24-024,Nguyễn Thị Đào,3/7/2024,PR24/03-021,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,KG,5000,,VND,1725,13800000,172500000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO03/24-007,Nguyễn Thị Đào,3/4/2024,PR24/03-005,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,100000,KG,5000,,VND,1725,13800000,172500000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO01/24-103,Nguyễn Thị Đào,1/29/2024,PR24/01-094,MANH-195340G750LDPE.THA,"Manh LDPE trong, K195.0x340PB(+1.0/-0), TL: 750g/cái +/- 3%(không có đường hàn đáy, dạng ống), cắt thẳng 340cm -2/+5cm",CAI,1200,KG,900,,VND,27750,2664000,33300000,NCC010020,CÔNG TY TNHH AMIBA VIỆT NAM
PO02/24-017,Nguyễn Thị Đào,2/20/2024,PR24/02-022,MANH-195340G750LDPE.THA,"Manh LDPE trong, K195.0x340PB(+1.0/-0), TL: 750g/cái +/- 3%(không có đường hàn đáy, dạng ống), cắt thẳng 340cm -2/+5cm",CAI,1200,KG,900,,VND,28705,2755680,34446000,KH010005,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KIÊN THẠNH
PO06/24-073,Nguyễn Thị Đào,6/21/2024,PR24/06-070,5200101550000000,Golden Globe - Hoàn Kim,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO06/24-024,Nguyễn Thị Đào,6/10/2024,PR24/06-019,5200101560000000,Tepung Roti canai,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO05/24-024,Nguyễn Thị Đào,5/10/2024,PR24/05-022,5200101560000000,Tepung Roti canai,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO06/24-041,Nguyễn Thị Đào,6/13/2024,PR24/06-037,5200101570000000,Dongwon 1-A,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO02/24-045,Nguyễn Thị Đào,2/27/2024,PR24/02-041,5200101570000000,Dongwon 1-A,CM2,5000,CM2,5000,,VND,290,116000,1450000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO06/24-041,Nguyễn Thị Đào,6/13/2024,PR24/06-037,5200101600000000,Dongwon 10-A,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO06/24-078,Nguyễn Thị Đào,6/24/2024,PR24/06-076,5200101640000000,Dongwon 12-A,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
