Mã phi?u,Ng??i t?o,Ngày t?o,Mã yêu c?u,Mã v?t t?,Tên v?t t?,?vt (01),S? L??NG (01),?VT (02),S? L??NG (02),NGÀY C?N,Ti?n t?,??n giá,Ti?n thu?,T?ng ti?n,Mã NCC,Tên NCC
PO04/24-011,Nguy?n Th? ?ào,4/4/2024,PR24/04-016,5200105630000000,KCP ???NGTINH LUY?N CAO C?P (XANH D??NG),CM2,12000,CM2,12000,,VND,290,278400,3480000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-047,Nguy?n Th? ?ào,5/15/2024,PR24/05-038,5200105630000000,KCP ???NGTINH LUY?N CAO C?P (XANH D??NG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-106,Nguy?n Th? ?ào,1/30/2024,PR24/01-105,5200105630000000,KCP ???NGTINH LUY?N CAO C?P (XANH D??NG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-031,Nguy?n Th? ?ào,3/11/2024,PR24/03-028,5200105630000000,KCP ???NGTINH LUY?N CAO C?P (XANH D??NG),CM2,10000,CM2,10000,,VND,290,290000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-036,Nguy?n Th? ?ào,3/12/2024,PR24/03-033,5200105630000000,KCP ???NGTINH LUY?N CAO C?P (XANH D??NG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-061,Nguy?n Th? ?ào,3/21/2024,PR24/03-057,5200105630000000,KCP ???NGTINH LUY?N CAO C?P (XANH D??NG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO02/24-029,Nguy?n Th? ?ào,2/23/2024,PR24/02-027,5200105630000000,KCP ???NGTINH LUY?N CAO C?P (XANH D??NG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO12/23-021,Nguy?n Th? ?ào,12/7/2023,PR23/12-013,5200105630000000,KCP ???NGTINH LUY?N CAO C?P (XANH D??NG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-027,Nguy?n Th? ?ào,1/10/2024,PR24/01-029,5200105630000000,KCP ???NGTINH LUY?N CAO C?P (XANH D??NG),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/23-138,Y Nghe Knul,5/25/2023,PR23/05-022,5200105650000000,KCP ???ng kính tr?ng ??c bi?t,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO06/23-030,Y Nghe Knul,6/8/2023,PR23/06-021,5200105650000000,KCP ???ng kính tr?ng ??c bi?t,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO10/23-074,Nguy?n Th? ?ào,10/31/2023,PR23/10-075,5200105810000000,love Birds,CM2,5000,CM2,5000,,VND,290,145000,1450000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO10/23-048,Nguy?n Th? ?ào,10/19/2023,PR23/10-042,5200105810000000,love Birds,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-027,Nguy?n Th? ?ào,1/10/2024,PR24/01-029,5200105810000000,love Birds,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-024,Nguy?n Th? ?ào,5/10/2024,PR24/05-022,5200105810000000,love Birds,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO06/24-024,Nguy?n Th? ?ào,6/10/2024,PR24/06-019,5200105810000000,love Birds,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-106,Nguy?n Th? ?ào,1/30/2024,PR24/01-105,5200105910000000,MI K - 40Kg,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-024,Nguy?n Th? ?ào,5/10/2024,PR24/05-022,5200105960000000,NB Special,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-053,Nguy?n Th? ?ào,3/19/2024,PR24/03-048,5200105980000000,Nestle Kit Kat Wafer,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO06/24-024,Nguy?n Th? ?ào,6/10/2024,PR24/06-019,5200105990000000,Neutral,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/23-163,Y Nghe Knul,5/29/2023,PR23/05-026,5200105990000000,Neutral,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO07/23-079,Y Nghe Knul,7/26/2023,PR23/07-055,5200105990000000,Neutral,CM2,10000,CM2,10000,,VND,320,0,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO09/23-013,Y Nghe Knul,9/5/2023,PR23/09-010,5200106030000000,Omyacarb 12-MI,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO12/23-032,Nguy?n Th? ?ào,12/12/2023,PR23/12-028,5200106030000000,Omyacarb 12-MI,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/23-138,Y Nghe Knul,5/25/2023,PR23/05-0062,5200106060000000,Omyacarb 20-MI,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO05/23-166,Y Nghe Knul,5/29/2023,PR23/05-0095,5200106080000000,Omyagran 0-0.5-MI,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO03/24-053,Nguy?n Th? ?ào,3/19/2024,PR24/03-048,5200106080000000,Omyagran 0-0.5-MI,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-053,Nguy?n Th? ?ào,3/19/2024,PR24/03-048,5200106090000000,OMYAGRAN 0.2-0.5-MI,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-046,Nguy?n Th? ?ào,1/15/2024,PR24/01-042,5200106150000000,Orange 888 25kg,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO11/23-007,Nguy?n Th? ?ào,11/2/2023,PR23/11-007,5200106150000000,Orange 888 25kg,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO10/23-074,Nguy?n Th? ?ào,10/31/2023,PR23/10-075,5200106170000000,Orange Horse,CM2,10000,CM2,10000,,VND,290,290000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-047,Nguy?n Th? ?ào,5/15/2024,PR24/05-038,5200106170000000,Orange Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/24-017,Nguy?n Th? ?ào,7/5/2024,PR24/07-017,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-046,Nguy?n Th? ?ào,1/15/2024,PR24/01-042,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-046,Nguy?n Th? ?ào,1/15/2024,PR24/01-043,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-106,Nguy?n Th? ?ào,1/30/2024,PR24/01-105,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-088,Nguy?n Th? ?ào,1/25/2024,PR24/01-087,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO11/23-012,Nguy?n Th? ?ào,11/6/2023,PR23/11-011,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO10/23-019,Nguy?n Th? ?ào,10/10/2023,PR23/10-014,5200106190000000,Oro Cinco,CM2,10000,CM2,10000,,VND,320,0,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO11/23-012,Nguy?n Th? ?ào,11/6/2023,PR23/11-011,5200106200000000,Oro Dos,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/23-036,Nguy?n Th? ?ào,7/13/2023,PR23/07-026,5200106200000000,Oro Dos,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO01/24-106,Nguy?n Th? ?ào,1/30/2024,PR24/01-105,5200106200000000,Oro Dos,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-046,Nguy?n Th? ?ào,1/15/2024,PR24/01-043,5200106200000000,Oro Dos,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-046,Nguy?n Th? ?ào,1/15/2024,PR24/01-042,5200106200000000,Oro Dos,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/24-017,Nguy?n Th? ?ào,7/5/2024,PR24/07-017,5200106200000000,Oro Dos,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/24-017,Nguy?n Th? ?ào,7/5/2024,PR24/07-017,5200106210000000,Oro Tres,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-046,Nguy?n Th? ?ào,1/15/2024,PR24/01-042,5200106210000000,Oro Tres,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-046,Nguy?n Th? ?ào,1/15/2024,PR24/01-043,5200106210000000,Oro Tres,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-088,Nguy?n Th? ?ào,1/25/2024,PR24/01-087,5200106210000000,Oro Tres,CM2,15000,CM2,15000,,VND,290,348000,4350000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/23-043,Y Nghe Knul,7/14/2023,PR23/07-027,5200106210000000,Oro Tres,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO05/23-139,Y Nghe Knul,5/25/2023,PR23/05-0045,5200106210000000,Oro Tres,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO11/23-026,Nguy?n Th? ?ào,11/13/2023,PR23/11-020,5200106210000000,Oro Tres,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO10/23-019,Nguy?n Th? ?ào,10/10/2023,PR23/10-014,5200106210000000,Oro Tres,CM2,10000,CM2,10000,,VND,320,0,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO10/23-039,Nguy?n Th? ?ào,10/16/2023,PR23/10-037,5200106210000000,Oro Tres,CM2,35000,CM2,35000,,VND,320,0,11200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO10/23-039,Nguy?n Th? ?ào,10/16/2023,PR23/10-037,5200106220000000,Oro Uno,CM2,35000,CM2,35000,,VND,320,0,11200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO10/23-014,Y Nghe Knul,10/6/2023,PR23/10-007,5200106220000000,Oro Uno,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO11/23-012,Nguy?n Th? ?ào,11/6/2023,PR23/11-011,5200106220000000,Oro Uno,CM2,20000,CM2,20000,,VND,290,464000,5800000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO10/23-074,Nguy?n Th? ?ào,10/31/2023,PR23/10-075,5200106220000000,Oro Uno,CM2,10000,CM2,10000,,VND,290,290000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/23-043,Y Nghe Knul,7/14/2023,PR23/07-027,5200106220000000,Oro Uno,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO07/23-088,Nguy?n Th? ?ào,7/28/2023,PR23/07-061,5200106220000000,Oro Uno,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO01/24-088,Nguy?n Th? ?ào,1/25/2024,PR24/01-087,5200106220000000,Oro Uno,CM2,12000,CM2,12000,,VND,290,278400,3480000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-106,Nguy?n Th? ?ào,1/30/2024,PR24/01-105,5200106220000000,Oro Uno,CM2,20000,CM2,20000,,VND,290,464000,5800000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO02/24-006,Nguy?n Th? ?ào,2/2/2024,PR24/02-013,5200106220000000,Oro Uno,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-046,Nguy?n Th? ?ào,1/15/2024,PR24/01-043,5200106220000000,Oro Uno,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-046,Nguy?n Th? ?ào,1/15/2024,PR24/01-042,5200106220000000,Oro Uno,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/24-017,Nguy?n Th? ?ào,7/5/2024,PR24/07-017,5200106220000000,Oro Uno,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO11/23-026,Nguy?n Th? ?ào,11/13/2023,PR23/11-020,5200106230000000,B?n in OTROS USOS,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO11/23-060,Nguy?n Th? ?ào,11/22/2023,PR23/11-054,5200106230000000,B?n in OTROS USOS,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO09/23-094,Y Nghe Knul,9/26/2023,PR23/09-076,5200106260000000,PANIFICACION,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO05/24-024,Nguy?n Th? ?ào,5/10/2024,PR24/05-022,5200106280000000,PEACHES,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-027,Nguy?n Th? ?ào,1/10/2024,PR24/01-029,5200106280000000,PEACHES,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-102,Nguy?n Th? ?ào,5/30/2024,PR24/05-081,5200106330000000,Pink Globe,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-061,Nguy?n Th? ?ào,5/21/2024,PR24/05-048,5200106340000000,Pink Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO08/23-105,Y Nghe Knul,8/31/2023,PR23/08-059,5200106340000000,Pink Horse,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO08/24-020,Nguy?n Th? ?ào,8/8/2024,PR24/08-023,5200106340000000,Pink Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO10/23-014,Y Nghe Knul,10/6/2023,PR23/10-008,5200106380000000,B?N IN POLLARD,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO01/24-038,Nguy?n Th? ?ào,1/11/2024,PR24/01-034,5200106390000000,Pollard- Cám Tinh,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO11/23-077,Nguy?n Th? ?ào,11/28/2023,PR23/11-080,5200106390000000,Pollard- Cám Tinh,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO02/24-029,Nguy?n Th? ?ào,2/23/2024,PR24/02-027,5200106390000000,Pollard- Cám Tinh,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/23-036,Nguy?n Th? ?ào,7/13/2023,PR23/07-019,5200106470000000,B?n in RGA-02,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO10/23-019,Nguy?n Th? ?ào,10/10/2023,PR23/10-014,5200106480000000,Rama Rama 99 (2),CM2,10000,CM2,10000,,VND,320,0,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO07/24-001,Nguy?n Th? ?ào,7/1/2024,PR24/07-002,5200106490000000,RAMA 108,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-047,Nguy?n Th? ?ào,5/15/2024,PR24/05-038,5200106510000000,Rama 128,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO04/24-059,Nguy?n Th? ?ào,4/23/2024,PR24/04-060,5200106510000000,Rama 128,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/24-111,Nguy?n Th? ?ào,7/31/2024,PR24/07-100,5200106510000000,Rama 128,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/24-111,Nguy?n Th? ?ào,7/31/2024,PR24/07-100,5200106520000000,Rama 138,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-004,Nguy?n Th? ?ào,3/4/2024,PR24/03-008,5200106540000000,Rama Rama 88,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO04/24-059,Nguy?n Th? ?ào,4/23/2024,PR24/04-060,5200106560000000,Rama 99,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO09/23-037,Y Nghe Knul,9/12/2023,PR23/09-030,5200106560000000,Rama 99,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO10/23-048,Nguy?n Th? ?ào,10/19/2023,PR23/10-042,5200106590000000,Red Bicycle,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-024,Nguy?n Th? ?ào,5/10/2024,PR24/05-022,5200106590000000,Red Bicycle,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO06/24-024,Nguy?n Th? ?ào,6/10/2024,PR24/06-019,5200106590000000,Red Bicycle,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-053,Nguy?n Th? ?ào,3/19/2024,PR24/03-045,5200106590000000,Red Bicycle,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-046,Nguy?n Th? ?ào,1/15/2024,PR24/01-042,5200106590000000,Red Bicycle,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-106,Nguy?n Th? ?ào,1/30/2024,PR24/01-103,5200106600000000,Red Globe,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO06/24-024,Nguy?n Th? ?ào,6/10/2024,PR24/06-020,5200106600000000,Red Globe,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO11/23-060,Nguy?n Th? ?ào,11/22/2023,PR23/11-050,5200106600000000,Red Globe,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/23-137,Y Nghe Knul,5/25/2023,PR23/05-021,5200106600000000,Red Globe,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO07/23-088,Nguy?n Th? ?ào,7/28/2023,PR23/07-061,5200106620000000,Red Horse,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO07/24-001,Nguy?n Th? ?ào,7/1/2024,PR24/07-002,5200106620000000,Red Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-057,Nguy?n Th? ?ào,5/16/2024,PR24/05-044,5200106620000000,Red Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO04/24-041,Nguy?n Th? ?ào,4/18/2024,PR24/04-037,5200106620000000,Red Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-053,Nguy?n Th? ?ào,3/19/2024,PR24/03-048,5200106620000000,Red Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-038,Nguy?n Th? ?ào,1/11/2024,PR24/01-034,5200106620000000,Red Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO12/23-048,Nguy?n Th? ?ào,12/18/2023,PR23/12-042,5200106620000000,Red Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/24-089,Nguy?n Th? ?ào,7/27/2024,PR24/07-084,5200106620000000,Red Horse,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-031,Nguy?n Th? ?ào,3/11/2024,PR24/03-028,5200106630000000,Red Horse AA,CM2,10000,CM2,10000,,VND,290,290000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO08/23-066,Nguy?n Th? ?ào,8/21/2023,PR23/08-042,5200106630000000,Red Horse AA,CM2,10000,CM2,10000,,VND,320,256000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO05/24-057,Nguy?n Th? ?ào,5/16/2024,PR24/05-044,5200106640000000,Red Horse Non Ada,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-086,Nguy?n Th? ?ào,3/29/2024,PR24/03-085,5200106660000000,Red Rose,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO06/24-024,Nguy?n Th? ?ào,6/10/2024,PR24/06-019,5200106660000000,Red Rose,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO01/24-106,Nguy?n Th? ?ào,1/30/2024,PR24/01-105,5200106660000000,Red Rose,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO12/23-075,Nguy?n Th? ?ào,12/26/2023,PR23/12-063,5200106660000000,Red Rose,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO10/23-048,Nguy?n Th? ?ào,10/19/2023,PR23/10-042,5200106660000000,Red Rose,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/24-111,Nguy?n Th? ?ào,7/31/2024,PR24/07-099,5200106670000000,Red Rose Export,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO06/23-021,Y Nghe Knul,6/6/2023,PR23/05-0038,5200106700000000,REWORK,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO05/23-163,Y Nghe Knul,5/29/2023,PR23/05-026,5200106730000000,Roticanal,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO11/23-043,Nguy?n Th? ?ào,11/17/2023,PR23/11-034,5200106730000000,Roticanal,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/23-163,Y Nghe Knul,5/29/2023,PR23/05-026,5200106780000000,SAMAN (28) Peru,CM2,10000,CM2,10000,,VND,320,320000,3200000,NCC010007,CÔNG TY TNHH ??NG THIÊN PHÁT
PO02/24-045,Nguy?n Th? ?ào,2/27/2024,PR24/02-041,5200106860000000,SEMOLINA 25KG,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO06/24-024,Nguy?n Th? ?ào,6/10/2024,PR24/06-019,5200106860000000,SEMOLINA 25KG,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO04/24-077,Nguy?n Th? ?ào,4/26/2024,PR24/04-069,5200106860000000,SEMOLINA 25KG,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO07/24-111,Nguy?n Th? ?ào,7/31/2024,PR24/07-100,5200106880000000,SFFM 99 (Lahad Datu),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO08/24-020,Nguy?n Th? ?ào,8/8/2024,PR24/08-020,5200106880000000,SFFM 99 (Lahad Datu),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO05/24-081,Nguy?n Th? ?ào,5/28/2024,PR24/05-070,5200106900000000,SFM99,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO12/23-032,Nguy?n Th? ?ào,12/12/2023,PR23/12-028,5200106900000000,SFM99,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
PO03/24-036,Nguy?n Th? ?ào,3/12/2024,PR24/03-033,5200106970000000,SPIII,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KI?T
