Mã phi?u,Ng??i t?o,Ngày t?o,Mã yêu c?u,Mã v?t t?,Tên v?t t?,?vt (01),S? L??NG (01),?VT (02),S? L??NG (02),NGÀY C?N,Ti?n t?,??n giá,Ti?n thu?,T?ng ti?n,Mã NCC,Tên NCC
PO04/24-034,Nguy?n Th? ?ào,4/11/2024,PR24/04-029,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,100,KG,1000,,VND,415000,3320000,41500000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO05/24-086,Nguy?n Th? ?ào,5/29/2024,PR24/05-073,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,100,KG,1000,,VND,415000,3320000,41500000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO07/24-097,Nguy?n Th? ?ào,7/27/2024,PR24/07-087,0500100020000000,"Dây ?ai ép ki?n, màu vàng, K15.0mm, TL: 10.0g/m.",Cu?n,100,KG,1000,,VND,415000,3320000,41500000,NCC010041,CÔNG TY TNHH DAE DUK BAND VI?T NAM
PO03/24-081,Nguy?n Th? ?ào,3/28/2024,PR24/03-081,0500100040000000,Dây ?ai ép ki?n màu xanh d??ng B?N 15 mm ?? dày 1 mm,CUON,20,KG,200,,VND,225000,0,4500000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO03/24-026,Nguy?n Th? ?ào,3/7/2024,PR24/03-021,0500100040000000,Dây ?ai ép ki?n màu xanh d??ng B?N 15 mm ?? dày 1 mm,CUON,10,KG,100,,VND,225000,0,2250000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO02/24-033,Nguy?n Th? ?ào,2/27/2024,PR24/02-035,0500100040000000,Dây ?ai ép ki?n màu xanh d??ng B?N 15 mm ?? dày 1 mm,CUON,15,KG,150,,VND,225000,0,3375000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO01/24-090,Nguy?n Th? ?ào,1/25/2024,PR24/01-085,0500100040000000,Dây ?ai ép ki?n màu xanh d??ng B?N 15 mm ?? dày 1 mm,CUON,5,KG,50,,VND,227000,90800,1135000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO12/23-036,Nguy?n Th? ?ào,12/13/2023,PR23/12-031,0500100040000000,Dây ?ai ép ki?n màu xanh d??ng B?N 15 mm ?? dày 1 mm,CUON,5,KG,50,,VND,225000,0,1125000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO12/23-036,Nguy?n Th? ?ào,12/13/2023,PR23/12-031,0500100040000000,Dây ?ai ép ki?n màu xanh d??ng B?N 15 mm ?? dày 1 mm,CUON,8,KG,80,,VND,225000,0,1800000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO05/23-105,Y Nghe Knul,5/22/2023,PR2304-0038,0500100040000000,Dây ?ai ép ki?n màu xanh d??ng B?N 15 mm ?? dày 1 mm,CUON,5,KG,50,,VND,4363636.36,2181818,21818182,NCC010064,CÔNG TY TNHH S?N XU?T DPC
PO06/23-062,Y Nghe Knul,6/15/2023,PR23/06-035,0500100040000000,Dây ?ai ép ki?n màu xanh d??ng B?N 15 mm ?? dày 1 mm,CUON,4,KG,0.04,,VND,227000,90800,908000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
PO06/23-066,Nguy?n Th? ?ào,6/15/2023,PR23/06-039,0500100060000000,"Dây ?ai n?p x?p nh?, màu vàng, K12.0mm, TL: 6.0g/m.",CUON,4,KG,40,,VND,215000,0,860000,NCC010053,TR?N H?U THÀNH _ V?T T? NHÀ MÁY
