Ngày,Đơn hàng,Khách hàng,Mã hàng,Tên hàng,ĐVT 1,ĐVT 2,Số lượng 1,Số lượng 2,Ngày dự kiến giao hàng,Ghi chú
7/14/2023,SO2307-0037,CÔNG TY TNHH CÔNG NGHỆ SINH HỌC SÀI GÒN XANH,TPH038065G044CAMSGX.20DM,"Bao PP-TP, màu cam tráng ngoài, K38.0x65.0PB, TL: 44.0g/cái ± 5g, marka: Mụn dừa đã qua xử lý; KLT: 20dm3 (2+2) [Cột 100 cái/xấp trở đầu 50:50]",Cái,KG,5,0.22,7/21/2023,
7/14/2023,SO2307-0037,CÔNG TY TNHH CÔNG NGHỆ SINH HỌC SÀI GÒN XANH,TPH045075G060CAMSGX.40DM,"Bao PP-TP, màu cam tráng ngoài, K45.0x75.0PB, TL: 60.0g/cái ± 5g, marka: Mụn dừa đã qua xử lý; KLT: 40dm3 (2+2) [Cột 100 cái/xấp trở đầu 50:50]",Cái,KG,5,0.3,7/21/2023,
6/30/2023,SO2306-0051,CÔNG TY TNHH CÔNG NGHỆ SINH HỌC SÀI GÒN XANH,TPH045075G060CAMSGX.40DM,"Bao PP-TP, màu cam tráng ngoài, K45.0x75.0PB, TL: 60.0g/cái ± 5g, marka: Mụn dừa đã qua xử lý; KLT: 40dm3 (2+2) [Cột 100 cái/xấp trở đầu 50:50]",Cái,KG,5,0.3,7/3/2023,
6/30/2023,SO2306-0051,CÔNG TY TNHH CÔNG NGHỆ SINH HỌC SÀI GÒN XANH,TPH055087G084CAMSGX.80DM,"Bao PP-TP, màu cam tráng ngoài, K55.0x87.0PB, TL: 84.5g/cái ± 5g, marka: Mụn dừa đã qua xử lý; KLT: 80dm3 (2+2) [Cột 100 cái/xấp trở đầu 50:50]",Cái,KG,5,0.42,7/3/2023,
7/14/2023,SO2307-0037,CÔNG TY TNHH CÔNG NGHỆ SINH HỌC SÀI GÒN XANH,TPH055087G084CAMSGX.80DM,"Bao PP-TP, màu cam tráng ngoài, K55.0x87.0PB, TL: 84.5g/cái ± 5g, marka: Mụn dừa đã qua xử lý; KLT: 80dm3 (2+2) [Cột 100 cái/xấp trở đầu 50:50]",Cái,KG,5,0.42,7/21/2023,
6/22/2023,SO2306-0050,CÔNG TY TNHH LUCKY STAR PLAST,TAICAL-EFPP1001-4,Hạt taical kéo sợi NA EFPP 1001-4,KG,KG,27000,27000,6/23/2023,
7/31/2023,SO2307-0079,CÔNG TY TNHH LUCKY STAR PLAST,TAICAL-EFPP1001-4,Hạt taical kéo sợi NA EFPP 1001-4,KG,KG,8500,8500,7/31/2023,
9/5/2023,SO2309-0005,CÔNG TY TNHH LUCKY STAR PLAST,TAICAL-EFPP1001-4,Hạt taical kéo sợi NA EFPP 1001-4,KG,KG,27000,27000,9/19/2023,
6/27/2023,SO2306-0045,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN,THACUBIN550105105135TRDU,"Vải cuộn PP trắng đục, K55.0cm, 10.5x10.5, caro khít, TL: 135g/m (2500m/cuộn)",M,KG,110000,14850,7/7/2023,
6/27/2023,SO2306-0045,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN,THACUBIN580105105140TRDU,"Vải cuộn PP trắng đục, K58.0cm, 10.5x10.5, caro khít, TL: 140g/m (2500m/cuộn)",M,KG,107500,15050,7/7/2023,
6/27/2023,SO2306-0046,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074G074INT.UFFD020,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: UF F DRAGON PP 25KG - CODE 020 (2+0) [Mã: 5000498]. [Tép 20 cái gấp 3, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,KG,5000,370,7/6/2023,
6/27/2023,SO2306-0046,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074G074INT.BRGL046,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: BROWN GLOBE (BAGUETTE) - CODE 046 (2+0) (Mã: 5000548). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,KG,5000,370,7/6/2023,
6/27/2023,SO2306-0046,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050080G080INT.GRGL214,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: GREEN GLOBE - CODE 214 (2+0) (Mã: 5000565). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập)",Cái,KG,5000,400,7/6/2023,
6/27/2023,SO2306-0046,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050080G080INT.GRGL215,"Bao TP-PP, trắng tẩy, K50x80LL, TL: 80g/cái, MK: GREEN GLOBE - CODE 215 (2+0) (Mã: 5000565). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập)",Cái,KG,5000,400,7/6/2023,
6/27/2023,SO2306-0046,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074G074INT.RGE035,"Bao TP-PP, trắng tẩy, K50x74LL, TL: 74g/cái, MK: RED GLOBE-PP-25 (EXP) CODE 035 (2+0) [Mã: 5000596]. [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]/TPH050074G074INT.RGE020",Cái,KG,5000,370,7/6/2023,
6/27/2023,SO2306-0046,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.GOLS015,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: GOLD S PP 40KG - CODE 015 (2+0) (Mã: 5000641). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,3000,306,7/6/2023,
6/27/2023,SO2306-0046,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH050074INT.UFOR999.023,"Bao TP-PP, K50x74LL, TL: 74g/cái, MK: UF ORNG 999 PP 25KG - CODE 023 (2+0) [Mã: 5000495]. [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,KG,2000,148,7/6/2023,
6/28/2023,SO2306-0048,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,MAY269323G668.VAIAO,"Vải áo PP dệt xếp, kích thước 269x323cm, dây rút 2 đầu, chiều dài dây rút 403cm; TL: 668g/cái",Cái,KG,18,12.38,6/30/2023,
6/28/2023,SO2306-0048,Công Ty TNHH Sản Xuất Thương Mại Thái Anh,MAY276323G685.VAIAO,"Vải áo PP dệt xếp, kích thước 276x323cm, dây rút 2 đầu, chiều dài dây rút 403cm; TL: 685g/cái",Cái,KG,33,22.61,6/30/2023,
7/3/2023,SO2307-0001,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.RERB024,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: RED RAINBOW PP40KG  - CODE 024 (1+0) (Mã: 5000996). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập).",CAI,KG,3000,306,7/10/2023,
7/4/2023,SO2307-0005,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.BRGL111,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: BROWN GLOBE (BAGUETTE) - CODE 111 (2+0) (Mã: 5000627). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập).",Cái,KG,5000,510,7/10/2023,
7/4/2023,SO2307-0005,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060088G105INTAQ32.606,"Bao TP-PP, trắng tẩy, K60x88LL, TL: 105g/cái, MK: AQUA FLOUR 32 - CODE 606 (2+1) mã 5000618. [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,KG,5000,525,7/13/2023,
7/4/2023,SO2307-0005,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060088G105INTAQ32.607,"Bao TP-PP, trắng tẩy, K60x88LL, TL: 105g/cái, MK: AQUA FLOUR 32 - CODE 607 (2+1) mã 5000618. [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,KG,5000,525,7/13/2023,
7/7/2023,SO2307-0012,MATANG PLASTIC & METAL WORK INDUSTRIES SDN. BHD,THATRMAT190130120802TRDU,"Cuộn PP, tráng bóng, trắng đục, K190.0cm, GC 8 điểm chỉ đôi 100%, TL:802g/m. (PP=165gsm; tráng 30gsm)",M,KG,10,8.02,7/7/2023,
7/5/2023,SO2307-0009,United Woven Industries SDN BHD,0102133038000000,"Cuộn PP, trắng đục, K66cm, MĐ: 11x11, 830D, TL: 108.5g/m. [Hooking]/THACUUWS660110110108TRDU",M,KG,234000,25389,7/20/2023,
7/7/2023,SO2307-0014,CÔNG TY TNHH SX TM NHỰA MINH QUÂN,THACUMIQ310110110053TRTR,"Vải cuộn PP, trắng trong, K31.0cm, MĐ: 11.0x11.0, 860D, caro khít, TL: 53.32g/m. [3000m/cuộn]",M,KG,93773.4434,5000,7/10/2023,
7/19/2023,SO2307-0043,CÔNG TY TNHH SX TM NHỰA MINH QUÂN,THACUMIQ310110110053TRTR,"Vải cuộn PP, trắng trong, K31.0cm, MĐ: 11.0x11.0, 860D, caro khít, TL: 53.32g/m. [3000m/cuộn]",M,KG,93773.4434,5000,7/27/2023,
7/7/2023,SO2307-0014,CÔNG TY TNHH SX TM NHỰA MINH QUÂN,THACUMIQ460110110079TRTR,"Vải cuộn PP, trắng trong, K46.0cm, MĐ: 11.0x11.0, 860D, caro khít, TL: 79.12g/m. [3000m/cuộn]",M,KG,113751.2639,9000,7/10/2023,
7/7/2023,SO2307-0015,CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT BAO BÌ PP BÌNH NGUYỄN,TPH025047G49TTBIN.RIRI,"Bao PP có in, tráng ghép, K.25x47cm(PB), may quai dù màu đỏ và tem, marka: RICE-RIZ; TL: 49.3g/cái (Bó 100 cái dùng dây nilong cột chữ thập, 1 xấp 50 cái dùng dây nilong cột quai lại, 2 xấp trở đầu ghép lại 1 bó)",Cái,KG,30000,1479,7/17/2023,
7/10/2023,SO2307-0017,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060096G115INT.FL.071,"Bao TP-PP, trắng tẩy, K60x96LL, TL: 115g/cái, MK: FEED FLOUR - CODE 071 (1+1) (Mã: 5001350). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập).",Cái,KG,5000,575,7/15/2023,
7/10/2023,SO2307-0017,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060096G115INT.FL.072,"Bao TP-PP, trắng tẩy, K60x96LL, TL: 115g/cái, MK: FEED FLOUR - CODE 072 (1+1) (Mã: 5001350). (Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập).",Cái,KG,5000,575,7/15/2023,
7/10/2023,SO2307-0017,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.WHGL225,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: WHITE GLOBE - CODE 225 (2+0) (Mã: 5000666). [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,KG,5000,510,7/15/2023,
7/10/2023,SO2307-0017,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH060085G102INT.REGL068,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: RED GLOBE (BAGUETTE) - CODE 068 (2+0) (Mã: 5000654). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",Cái,KG,5000,510,7/15/2023,
7/10/2023,SO2307-0017,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI587,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 587 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/17/2023,
7/10/2023,SO2307-0017,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI588,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 588 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/17/2023,
7/10/2023,SO2307-0017,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI589,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 589 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/17/2023,
7/10/2023,SO2307-0017,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI590,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 590 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/17/2023,
7/10/2023,SO2307-0017,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI591,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 591 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/17/2023,
7/10/2023,SO2307-0017,CÔNG TY TNHH INTERFLOUR VIỆT NAM,TPH075118G125INT.CAMI592,"Bao TP-PP, trắng tẩy, K75.0x118.0LL, TL: 125.0g/cái, MK: CÁM MÌ POLLARD - CODE 592 (1+0) (Mã: 5001291). [Tép 20 cái gấp 4, code ra ngoài; Bó = 5 tép, cột dây hai đầu màu trắng]",Cái,KG,5000,625,7/22/2023,
