Ngày SX,Tên máy,Ca,Tên TT,Tên TP,Đơn hàng,Số KHTK,LSX,Mã Sợi,Tên Sợi,Số lượng sợi yêu cầu,Số lượng phế theo bom,Số lượng sợi đạt,Số lượng sợi tạm nhập,Số lượng sợi phế,Số lượng sợi chênh lệch với KH,Số lượng phế chênh lệch với KH,Đánh giá % sợi,Đánh giá % phế,Đánh giá
45089,SOI8,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",0,0,915.5,0,0,-915.5,0,,,Không đạt
45089,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",0,0,2060,0,3,-2060,-3,,,Không đạt
45120,SOI8,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",3840,99.84,4305,0,22,-465,77.84,1.12109375,0.22035199999999999,Đạt
45103,SOI8,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",0,0,2766,0,13,-2766,-13,,,Không đạt
45119,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",4200,109.2,1077,0,3,3123,106.2,0.25642857142857145,0.027472,Không đạt
45120,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",3840,99.84,3495.9,0,80,344.1,19.84,0.910390625,0.80128200000000005,Không đạt
45098,SOI7,Ngày,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",0,0,2914,0,50,-2914,-50,,,Không đạt
45188,SOI8,Ngày,,,SO2309-0033,MP23/09-034,LSX09/23-022,SOI-DCA-04,"Sợi PP, màu cam, 830D, 2.60mm.",0,0,2635.9965000000002,0,23,-2635.9965000000002,-23,,,Không đạt
45156,SOI8,Ngày,,,SO2308-0013,MP23/08-026,LSX08/23-027,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",1050,27.3,403.84399999999999,0,20,646.15599999999995,7.3,0.38461333333333331,0.73260000000000003,Không đạt
45156,SOI8,Ngày,,,SO2308-0013,MP23/08-028,LSX08/23-027,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",1050,27.3,401.26,0,0,648.74,27.3,0.38215238095238097,0,Không đạt
45105,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,1077.2,0,20,-1077.2,-20,,,Không đạt
45089,SOI8,Đêm,,,SO2305-0011,MP2305-0034,LSX05/23-048,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,2563.62,0,0,-2563.62,0,,,Không đạt
45164,SOI8,Ngày,,,SO2308-0019,MP23/08-037,LSX08/23-047,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,285.95,0,0,-285.95,0,,,Không đạt
45164,SOI8,Ngày,,,SO2308-0016,MP23/08-036,LSX08/23-048,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,840.45299999999997,0,30,-840.45299999999997,-30,,,Không đạt
45163,SOI8,Đêm,,,SO2308-0013,MP23/08-026,LSX08/23-027,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,172.90199999999999,0,0,-172.90199999999999,0,,,Không đạt
45163,SOI8,Đêm,,,SO2308-0013,MP23/08-026,LSX08/23-027,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,172.90199999999999,0,0,-172.90199999999999,0,,,Không đạt
45163,SOI8,Đêm,,,SO2308-0013,MP23/08-026,LSX08/23-027,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,172.90199999999999,0,0,-172.90199999999999,0,,,Không đạt
45163,SOI8,Đêm,,,SO2308-0013,MP23/08-028,LSX08/23-027,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,2.7730000000000001,0,0,-2.7730000000000001,0,,,Không đạt
45163,SOI8,Đêm,,,SO2308-0013,MP23/08-028,LSX08/23-027,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",0,0,15.195,0,0,-15.195,0,,,Không đạt
45163,SOI8,Đêm,,,SO2308-0019,MP23/08-037,LSX08/23-047,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",3150,81.9,1154.38,0,0,1995.62,81.9,0.36646984126984128,0,Không đạt
45163,SOI8,Đêm,,,SO2308-0019,MP23/08-037,LSX08/23-047,SOI-DTD-02,"Sợi PP, màu trắng,800D, 2.60mm.",3150,81.9,291.24,0,0,2858.76,81.9,0.092457142857142863,0,Không đạt
