Mã số,Mặt hàng,Đvt (2),Đầu kỳ (2),Giá trị đầu kỳ,Nhập (2),Giá trị nhập,Xuất (2),Giá trị xuất,Cuối kỳ (2),Giá trị cuối kỳ,Đvt (1),Đầu kỳ (1),Nhập (1),Xuất (1),Cuối kỳ (1)
5200110650000010,Băng cá nhân,HOP,2,124000,0,0,0,0,2,124000,HOP,2,0,0,2
5200110650000012,Thuốc Salonpas,HOP,5,135000,0,0,0,0,5,135000,HOP,5,0,0,5
5300101760000000,Bìa còng F7 khổ A5,CAI,2,58000,0,0,0,0,2,58000,CAI,2,0,0,2
VPP-010000001000000,Mỳ tôm hảo hảo,THUNG,60,7200000,0,0,0,0,60,7200000,THUNG,60,0,0,60
5300100650000000,Thẻ Xe Máy,CAI,60,309000,0,0,0,0,60,309000,CAI,60,0,0,60
53NONTAMKHA00491,Nón (tạm cho khách),CAI,750,588750,0,0,0,0,750,588750,CAI,750,0,0,750
5300100101000000,Bìa Trình Ký Nhựa,CAI,58,812000,0,0,0,0,58,812000,CAI,58,0,0,58
5300100310000000,BB Double,CAI,145,380331,0,0,0,0,145,380331,CAI,145,0,0,145
5300100360000000,Bút lông dầu đỏ,CAY,24,191586,0,0,0,0,24,191586,CAY,24,0,0,24
5300100410000000,Bút xóa,CAY,12,216535,0,0,0,0,12,216535,CAY,11,0,0,11
5300100450000000,Ghim Giấy,HOP,13,42096,0,0,0,0,13,42096,HOP,13,0,0,13
5300100460000000,Giấy A472,Gram,82,4100140,0,0,0,0,82,4100140,Gram,82,0,0,82
5300100480000000,Giấy A482,Gram,11,605000,0,0,0,0,11,605000,Gram,11,0,0,11
5300100510000000,Giấy A5/70,Gram,24,600000,0,0,0,0,24,600000,Gram,24,0,0,24
5300100530000000,Giấy in liên tục 3 liên,THUNG,2,620000,0,0,0,0,2,620000,THUNG,2,0,0,2
5300100540000000,Kẹp Bướm 15 mm,HOP,6,33000,0,0,0,0,6,33000,HOP,6,0,0,6
5300100550000000,Kẹp Bướm 19mm,HOP,13,77924,0,0,0,0,13,77924,HOP,13,0,0,13
5300100560000000,Kẹp Bướm 25 mm,HOP,6,46125,0,0,0,0,6,46125,HOP,6,0,0,6
5300100590000000,Lưỡi Dao Lớn,HOP,6,1125001,0,0,0,0,6,1125001,HOP,6,0,0,6
5300100610000000,Phấn màu không bụi 100 viên,CAI,14,499075,0,0,0,0,14,499075,CAI,14,0,0,14
5300101250000000,Giấy in liên tục 3 liên ( chia đội),THUNG,1,310000,0,0,0,0,1,310000,THUNG,1,0,0,1
5300101280000000,Bấm Kim 10 Plus,CAI,13,388747,0,0,0,0,13,388747,CAI,13,0,0,13
5300101620000000,Bút bi đỏ,CAY,15,48886,0,0,0,0,15,48886,CAY,15,0,0,15
53-5300100370000000,Bút lông dầu xanh,CAY,14,112051,0,0,0,0,14,112051,CAY,14,0,0,14
53AOCNDOZZL00061N,Áo Thun CN (đỏ viền đen)-size L,CAI,33,2640000,0,0,0,0,33,2640000,CAI,33,0,0,33
53AOCNDOZZM00060N,Áo Thun CN (đỏ viền đen)-size M,CAI,6,479135,0,0,0,0,6,479135,CAI,6,0,0,6
VPP001,ACCO Nhựa,HOP,10,134788,0,0,0,0,10,134788,HOP,10,0,0,10
VPP003,Bìa Lổ Mỏng,XAP,7,238000,0,0,0,0,7,238000,XAP,7,0,0,7
VPP004,Decal Oji,XAP,58,4640098,0,0,0,0,58,4640098,XAP,58,0,0,58
VPP007,Mực lông dầu đỏ,HOP,48,405271,0,0,0,0,48,405271,HOP,48,0,0,48
VPP008,Mực lông dầu xanh,HOP,14,118699,0,0,0,0,14,118699,HOP,14,0,0,14
VPP-010000005000000,Bút lông dầu đen,CAI,8,64000,0,0,0,0,8,64000,CAI,8,0,0,8
5300101670000000,Nước suối aquafina 500ml,CHAI,1270,4656825,0,0,0,0,1270,4656825,CHAI,2312,0,0,2312
53NUOCKH33000495,Nước suối Aquafina 355ml,CHAI,480,1680000,0,0,0,0,480,1680000,CHAI,480,0,0,480
