S? ch?ng t?;NgÖy t?o;Ng??i t?o;Lo?i k? ho?ch;Ghi ch£ 1;M? v?t t?;Tàn v?t t?;?vt 1;S? l??ng (1);HSQ?;?vt 2;S? l??ng (2);Ghi ch£ 2;M?c ?°ch s? d?ng;NgÖy s? d?ng
EP2306-0049;14/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0001
SO2306-0003
SO2306-0010
SO2306-0011
SO2305-0011
SO2305-0026
SO2306-0026
SO2306-0016
SO2306-0016
SO2306-0016";040010004000000;Ch? may cotton C6, mÖu tr?ng. [1600D, 6.0kgF, 16%];KG;133;1;KG;133;SO2306-0001;;23/06/2023
EP2404-0024;09/04/2024;Nguy?n D?ng Trung;Theo b? ph?n;Ch? may cotton C6, mÖu tr?ng. [1600D, 6.0kgF, 16%];040010004000000;Ch? may cotton C6, mÖu tr?ng. [1600D, 6.0kgF, 16%];KG;500;1;KG;500;SO2403-0061 - KCP + T?N KHO;;11/04/2024
EP2312-0058;18/12/2023;Nguy?n D?ng Trung;Theo b? ph?n;"Halston + t?n kho
Halston + t?n kho
INTER + PRESTASI + SABAH + SARAWAK
KCP - 800K BAO";040010004000000;Ch? may cotton C6, mÖu tr?ng. [1600D, 6.0kgF, 16%];KG;700;1;KG;700;KCP - 800K BAO;;21/12/2023
EP2304-0054;14/04/2023;;Theo b? ph?n;Mua chi?  C6 cho ??n ha?ng KCP SO2304-0006;040010004000000;Ch? may cotton C6, mÖu tr?ng. [1600D, 6.0kgF, 16%];KG;600;1;KG;600;;;25/04/2023
EP2304-0084;21/04/2023;;Theo b? ph?n;Mua chi? C6 ma?u ?o?  cho ??n ha?ng vinafood;040010005000000;Ch? may cotton C6, mÖu ??. [1600D, 6.0kgF, 16%];KG;200;1;KG;200;;;03/05/2023
EP2306-0049;14/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0001
SO2306-0003
SO2306-0010
SO2306-0011
SO2305-0011
SO2305-0026
SO2306-0026
SO2306-0016
SO2306-0016
SO2306-0016";040010005000000;Ch? may cotton C6, mÖu ??. [1600D, 6.0kgF, 16%];KG;44;1;KG;44;SO2306-0011;;21/06/2023
EP2306-0019;05/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;SO2305-0045 - China Plastic+ T?n kho;040010006000000;Ch? may cotton C9, mÖu tr?ng. [2400D, 9.0kgF, 16%];KG;350;1;KG;350;SO2305-0045 - China Plastic;;06/06/2023
EP2306-0019;05/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;SO2305-0045 - China Plastic+ T?n kho;040010006000000;Ch? may cotton C9, mÖu tr?ng. [2400D, 9.0kgF, 16%];KG;300;1;KG;300;Stock kho;;12/06/2023
EP2305-0100;24/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"MP2305-0061 (SO2305-0024) - SGI - Jumbo	
MP2305-0051 (SO2305-0034) - SÖi Gïn Xanh
MP2305-0039 - SGI - Jumbo
MP2305-0061 - SGI";040010007000000;"Ch? may multi Polyester, 2000D (se ?ìi), mÖu tr?ng. [Dóng cho may bao Jumbo]; L?c Ú15KgF, ?? gi?n Ú 15.5% Ò 1";KG;150;1;KG;150;MP2305-0039;;02/06/2023
EP2305-0100;24/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"MP2305-0061 (SO2305-0024) - SGI - Jumbo	
MP2305-0051 (SO2305-0034) - SÖi Gïn Xanh
MP2305-0039 - SGI - Jumbo
MP2305-0061 - SGI";040010007000000;"Ch? may multi Polyester, 2000D (se ?ìi), mÖu tr?ng. [Dóng cho may bao Jumbo]; L?c Ú15KgF, ?? gi?n Ú 15.5% Ò 1";KG;150;1;KG;150;MP2305-0061;;02/06/2023
EP2306-0097;27/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0041 - INTER
SO2306-0037 - DONGWON PO3
SO2306-0038 - DONGWON PO3
SO2306-0015 - DONGWON PO2
SO2306-0017 - DONGWON PO2";040010007000000;"Ch? may multi Polyester, 2000D (se ?ìi), mÖu tr?ng. [Dóng cho may bao Jumbo]; L?c Ú15KgF, ?? gi?n Ú 15.5% Ò 1";KG;661;1;KG;660,66;SO2306-0044 - SGI JUMBO K190;;01/07/2023
EP2402-0038;26/02/2024;Nguy?n D?ng Trung;Theo b? ph?n;"DÉy ?ai Çp ki?n mÖu xanh d??ng B?N 15 mm ?? dÖy 1 mm
?ng nh?a PVC D12mm, dÖy 2mm, mÖu tr?ng trong; TL: 100g/m [?ng nh?a c?ng]";040010007000000;"Ch? may multi Polyester, 2000D (se ?ìi), mÖu tr?ng. [Dóng cho may bao Jumbo]; L?c Ú15KgF, ?? gi?n Ú 15.5% Ò 1";KG;250;1;KG;250;"SO2311-0020 - PERU
SO2311-0029 - THI?N ?N
SO2401-0032 - MINH ANH
SO2401-0035 - THI?N ?N
SO2402-0022 - FUKUNAGA
SO2402-0035 - B?O NAM";;02/03/2024
EP2402-0053;29/02/2024;Nguy?n D?ng Trung;Theo b? ph?n;V?T T?;040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;500;1;KG;500;"SO2402-0036 - DONGWON
SO2312-0053 - DONGWON
SO2401-0042 - T? TR?C
SO2402-0040 - HARVEST";;05/03/2024
EP2311-0005;02/11/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2310-0034 - MEKONG
SO2310-0054 - HARVEST
SO2310-0033 - SANMIGUEL";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;150;1;KG;150;SO2310-0054 - HARVEST;;10/11/2023
EP2312-0046;14/12/2023;Nguy?n D?ng Trung;Theo b? ph?n;"PERU 6 CONT ( 3 CU?N, 3 BAO)
HANWA";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;370;1;KG;370;PERU;;25/01/2024
EP2306-0097;27/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0041 - INTER
SO2306-0037 - DONGWON PO3
SO2306-0038 - DONGWON PO3
SO2306-0015 - DONGWON PO2
SO2306-0017 - DONGWON PO2";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;67;1;KG;67;SO2306-0037 - DONGWON PO3;;01/07/2023
EP2306-0097;27/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0041 - INTER
SO2306-0037 - DONGWON PO3
SO2306-0038 - DONGWON PO3
SO2306-0015 - DONGWON PO2
SO2306-0017 - DONGWON PO2";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;60;1;KG;60;SO2306-0038 - DONGWON PO3;;01/07/2023
EP2306-0097;27/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0041 - INTER
SO2306-0037 - DONGWON PO3
SO2306-0038 - DONGWON PO3
SO2306-0015 - DONGWON PO2
SO2306-0017 - DONGWON PO2";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;7;1;KG;7;SO2306-0015 - DONGWON PO2;;01/07/2023
EP2306-0097;27/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0041 - INTER
SO2306-0037 - DONGWON PO3
SO2306-0038 - DONGWON PO3
SO2306-0015 - DONGWON PO2
SO2306-0017 - DONGWON PO2";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;132;1;KG;132;SO2306-0017 - DONGWON PO2;;01/07/2023
EP2305-0100;24/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"MP2305-0061 (SO2305-0024) - SGI - Jumbo	
MP2305-0051 (SO2305-0034) - SÖi Gïn Xanh
MP2305-0039 - SGI - Jumbo
MP2305-0061 - SGI";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;120;1;KG;120;SO2305-0027;;09/06/2023
EP2305-0061;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
SO2304-0030	HARVEST
SO2305-0011	DONGWON
SO2305-0011	DONGWON
SO2305-0011";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;40;1;KG;40;SO2303-0008;;01/06/2023
EP2305-0061;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
SO2304-0030	HARVEST
SO2305-0011	DONGWON
SO2305-0011	DONGWON
SO2305-0011";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;30;1;KG;30;SO2303-0009;;01/06/2023
EP2305-0061;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
SO2304-0030	HARVEST
SO2305-0011	DONGWON
SO2305-0011	DONGWON
SO2305-0011";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;30;1;KG;30;SO2303-0010;;01/06/2023
EP2305-0061;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
SO2304-0030	HARVEST
SO2305-0011	DONGWON
SO2305-0011	DONGWON
SO2305-0011";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;200;1;KG;200;SO2304-0030;;01/06/2023
EP2305-0061;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
SO2304-0030	HARVEST
SO2305-0011	DONGWON
SO2305-0011	DONGWON
SO2305-0011";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;300;1;KG;300;SO2305-0011;;09/06/2023
EP2305-0061;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
SO2304-0030	HARVEST
SO2305-0011	DONGWON
SO2305-0011	DONGWON
SO2305-0011";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;300;1;KG;300;SO2305-0011;;23/06/2023
EP2305-0061;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
SO2304-0030	HARVEST
SO2305-0011	DONGWON
SO2305-0011	DONGWON
SO2305-0011";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;300;1;KG;300;SO2305-0011;;07/07/2023
EP2305-0061;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
SO2304-0030	HARVEST
SO2305-0011	DONGWON
SO2305-0011	DONGWON
SO2305-0011";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;300;1;KG;300;SO2305-0011;;21/07/2023
EP2308-0104;31/08/2023;Nguy?n D?ng Trung;Theo b? ph?n;HARVEST - UNIPACK;040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;90;1;KG;90;SO2308-0041 - HARVEST;;08/09/2023
EP2307-0094;31/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;DONGWON [SO T?NG];040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;380;1;KG;380;SO2307-0075 - DONGWON [SO T?NG];;07/08/2023
EP2310-0038;10/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;CH? MAY 1200D;040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;500;1;KG;500;T?N KHO;;16/10/2023
EP2407-0032;09/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"D?Y C?T BAO
[SMY] ?ng gi?y dÖi 127cm (+1)
HAT-TACKS-JB
Ch? may PP 600D
Ch? may PP 1200D
Pallet g? xu?t kh?u
H?t mÖu xanh";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;700;1;KG;700;T?N KHO;;16/07/2024
EP2405-0097;28/05/2024;Nguy?n D?ng Trung;Theo b? ph?n;"D?Y C?T BAO
H?t Taical kÇo s?i
H?t ph? gia MV8C (ChÉu ?u)
V....v.....";040010009000000;Ch? may PP 1200D, mÖu tr?ng khìng t?y. L?c >4.8kgF, d?n >20%, nh£ng h? 20 ?i?m/1 mÇt, kh†ng UV 1-2%;KG;1200;1;KG;1200;SO2405-0027;;07/06/2024
EP2406-0041;13/06/2024;Nguy?n D?ng Trung;Theo b? ph?n;Ch? may PP 1200D, xanh d??ng;040010011000000;Ch? may PP 1200D, xanh d??ng. C? l? > or = 4.8KgF. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), kh†ng UV 1-2%;KG;700;1;KG;700;"SO2405-0062
SO2405-0063
SO2405-0064";;17/06/2024
EP2309-0092;22/09/2023;Nguy?n D?ng Trung;Theo b? ph?n;"3 CONT T?I PERU
SO2309-0051
SO2309-0052
SO2309-0053";040010011000000;Ch? may PP 1200D, xanh d??ng. C? l? > or = 4.8KgF. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), kh†ng UV 1-2%;KG;700;1;KG;700;3 CONT T?I PERU;;29/09/2023
EP2305-0060;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
Ch? may 1200D - Xanh d??ng";040010011000000;Ch? may PP 1200D, xanh d??ng. C? l? > or = 4.8KgF. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), kh†ng UV 1-2%;KG;200;1;KG;200;SO2303-0008;;01/06/2023
EP2305-0060;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
Ch? may 1200D - Xanh d??ng";040010011000000;Ch? may PP 1200D, xanh d??ng. C? l? > or = 4.8KgF. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), kh†ng UV 1-2%;KG;200;1;KG;200;SO2303-0009;;15/06/2023
EP2305-0060;16/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2303-0008	PERU
SO2303-0009	PERU
SO2303-0010	PERU
Ch? may 1200D - Xanh d??ng";040010011000000;Ch? may PP 1200D, xanh d??ng. C? l? > or = 4.8KgF. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), kh†ng UV 1-2%;KG;100;1;KG;100;SO2303-0010;;29/06/2023
EP2307-0081;26/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;"HALSTON
PERU";040010011000000;Ch? may PP 1200D, xanh d??ng. C? l? > or = 4.8KgF. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), kh†ng UV 1-2%;KG;195;1;KG;195;SO2307-0045 - PERU T?I;;04/08/2023
EP2307-0081;26/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;"HALSTON
PERU";040010011000000;Ch? may PP 1200D, xanh d??ng. C? l? > or = 4.8KgF. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), kh†ng UV 1-2%;KG;195;1;KG;195;SO2307-0046 - PERU T?I;;04/08/2023
EP2307-0081;26/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;"HALSTON
PERU";040010011000000;Ch? may PP 1200D, xanh d??ng. C? l? > or = 4.8KgF. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), kh†ng UV 1-2%;KG;195;1;KG;195;SO2307-0047 - PERU T?I;;04/08/2023
EP2312-0046;14/12/2023;Nguy?n D?ng Trung;Theo b? ph?n;"PERU 6 CONT ( 3 CU?N, 3 BAO)
HANWA";040010011000000;Ch? may PP 1200D, xanh d??ng. C? l? > or = 4.8KgF. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), kh†ng UV 1-2%;KG;280;1;KG;280;PERU;;25/01/2024
EP2312-0015;05/12/2023;Nguy?n D?ng Trung;Theo b? ph?n;H?T M?U + PH? DA;040010011000000;Ch? may PP 1200D, xanh d??ng. C? l? > or = 4.8KgF. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), kh†ng UV 1-2%;KG;800;1;KG;800;"SO2311-0039-PERU
SO2312-0001-PERU
SO2312-0002-PERU";;15/12/2023
EP2401-0005;03/01/2024;Nguy?n D?ng Trung;Theo b? ph?n;"SO2401-0001 - China Plastic
SO2401-0002 - China Plastic
SO2401-0007 - 66 Lumut
SO2401-0008 - 66 Pasir
SO2401-0009 - 48 Lumut";040010012000000;Ch? may PP 600D, mÖu tr?ng khìng t?y. C? l? > or = 2.4Kgf. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m). Kh†ng UV 1-2%;KG;500;1;KG;500;"SO2401-0001 - China Plastic
SO2401-0002 - China Plastic";;09/01/2024
EP2407-0032;09/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"D?Y C?T BAO
[SMY] ?ng gi?y dÖi 127cm (+1)
HAT-TACKS-JB
Ch? may PP 600D
Ch? may PP 1200D
Pallet g? xu?t kh?u
H?t mÖu xanh";040010012000000;Ch? may PP 600D, mÖu tr?ng khìng t?y. C? l? > or = 2.4Kgf. ?? d?n > or =20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m). Kh†ng UV 1-2%;KG;300;1;KG;300;"SO2406-0062
SO2407-0021";;16/07/2024
EP2309-0074;19/09/2023;Nguy?n D?ng Trung;Theo b? ph?n;SO2309-0042 - LOTTE;040010014000000;Ch? may PP multiflament 900D;KG;13;1;KG;13,4;SO2309-0042 - LOTTE;;21/09/2023
EP2310-0026;05/10/2023;Nguy?n D?ng Trung;Theo b? ph?n;SO2310-0011 - CHINA PLASTIC;040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;300;1;KG;300;SO2310-0011 - CHINA PLASTIC;;20/10/2023
EP2308-0049;15/08/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SANMIGUEL
HARVEST
GFI
INTER VN";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;230;1;KG;230;"SO2308-0024 - HARVEST
SO2308-0026 - GFI
SO2308-0027 - INTER VN";;18/08/2023
EP2307-0062;20/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;"Ch? may PP 900D - DÉy ?ai Çp ki?n
SO2307-0038 - Inter
SO2307-0040 - 48 Lumut
SO2307-0041 - Inter";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;10;1;KG;10;SO2307-0038 - Inter;;28/07/2023
EP2307-0062;20/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;"Ch? may PP 900D - DÉy ?ai Çp ki?n
SO2307-0038 - Inter
SO2307-0040 - 48 Lumut
SO2307-0041 - Inter";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;90;1;KG;90;SO2307-0040 - 48 Lumut;;28/07/2023
EP2307-0062;20/07/2023;Nguy?n D?ng Trung;Theo b? ph?n;"Ch? may PP 900D - DÉy ?ai Çp ki?n
SO2307-0038 - Inter
SO2307-0040 - 48 Lumut
SO2307-0041 - Inter";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;20;1;KG;20;SO2307-0041 - Inter;;28/07/2023
EP2306-0097;27/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0041 - INTER
SO2306-0037 - DONGWON PO3
SO2306-0038 - DONGWON PO3
SO2306-0015 - DONGWON PO2
SO2306-0017 - DONGWON PO2";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;45;1;KG;45;SO2306-0041 - INTER;;01/07/2023
EP2306-0063;19/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0035 - 48 LUMUT
SO2306-0035 - 48 LUMUT
SO2306-0036 - INTER";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;90;1;KG;90;SO2306-0035 - 48 LUMUT;;23/06/2023
EP2306-0063;19/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0035 - 48 LUMUT
SO2306-0035 - 48 LUMUT
SO2306-0036 - INTER";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;15;1;KG;15;SO2306-0036 - INTER;;23/06/2023
EP2305-0007;03/05/2023;Nguy?n D?ng Trung;Theo b? ph?n;K? ho?ch nguyàn v?t li?u th†ng 05;040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;3000;1;KG;3000;;;
EP2306-0049;14/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0001
SO2306-0003
SO2306-0010
SO2306-0011
SO2305-0011
SO2305-0026
SO2306-0026
SO2306-0016
SO2306-0016
SO2306-0016";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;15;1;KG;15;SO2306-0026;;20/06/2023
EP2306-0049;14/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0001
SO2306-0003
SO2306-0010
SO2306-0011
SO2305-0011
SO2305-0026
SO2306-0026
SO2306-0016
SO2306-0016
SO2306-0016";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;175;1;KG;175;SO2306-0003;;20/06/2023
EP2306-0049;14/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0001
SO2306-0003
SO2306-0010
SO2306-0011
SO2305-0011
SO2305-0026
SO2306-0026
SO2306-0016
SO2306-0016
SO2306-0016";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;26;1;KG;26;SO2306-0010;;20/06/2023
EP2306-0059;16/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0028 - SARAWAK
SO2306-0029 - SARAWAK
SO2306-0031 - SARAWAK
SO2306-0032 - SARAWAK";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;15;1;KG;15;SO2306-0028 - SARAWAK;;30/06/2023
EP2306-0059;16/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0028 - SARAWAK
SO2306-0029 - SARAWAK
SO2306-0031 - SARAWAK
SO2306-0032 - SARAWAK";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;65;1;KG;65;SO2306-0029 - SARAWAK;;30/06/2023
EP2306-0059;16/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"SO2306-0028 - SARAWAK
SO2306-0029 - SARAWAK
SO2306-0031 - SARAWAK
SO2306-0032 - SARAWAK";040010015000000;Ch? may PP 900D, mÖu tr?ng khìng t?y.(C? l? > or = 3.6Kgf. ?? d?n > or = 20%, Nh£ng h? 20 ?i?m/1 mÇt (5cm/?i?m), mÖu tr?ng khìng t?y), kh†ng UV 1-2%;KG;15;1;KG;15;SO2306-0031 - SARAWAK;;30/06/2023
