S? ch?ng t?;NgÖy t?o;Ng??i t?o;Lo?i k? ho?ch;Ghi ch£ 1;M? v?t t?;Tàn v?t t?;?vt 1;S? l??ng (1);HSQ?;?vt 2;S? l??ng (2);Ghi ch£ 2;M?c ?°ch s? d?ng;NgÖy s? d?ng
EP2306-0050;15/06/2023;Nguy?n D?ng Trung;Theo b? ph?n;"B? sung theo ?? xu?t 15/06/2023
SO2305-0011
SO2305-0011
SO2305-0011
SO2305-0011";0500100060000000;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;CUON;10;10;KG;100;SO2305-0011;;07/08/2023
EP2405-0001;02/05/2024;Nguy?n D?ng Trung;Theo b? ph?n;"B?ng Keo D†n B?t
DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.";0500100060000000;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;CUON;5;10;KG;50;T?N KHO;;04/05/2024
EP2405-0046;15/05/2024;Nguy?n D?ng Trung;Theo b? ph?n;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;0500100060000000;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;CUON;10;10;KG;100;SO2402-0036;;18/05/2024
EP2405-0097;28/05/2024;Nguy?n D?ng Trung;Theo b? ph?n;"D?Y C?T BAO
H?t Taical kÇo s?i
H?t ph? gia MV8C (ChÉu ?u)
V....v.....";0500100060000000;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;CUON;40;10;KG;400;SO2405-0027;;07/06/2024
EP2406-0096;29/06/2024;Nguy?n D?ng Trung;Theo b? ph?n;SO2406-0015 + PO T?NG DW;0500100060000000;DÉy ?ai n?p x?p nh?, mÖu vÖng, K12.0mm, TL: 6.0g/m.;CUON;10;10;KG;100;SO2406-0015;;05/07/2024
EP2407-0083;25/07/2024;Nguy?n D?ng Trung;Theo b? ph?n;"Ch? may PP 900D
HAT-EMMV8C
HAT-EMPP-MF
HAT-TAYOP10";0500100080000000;DÉy ?ai Çp ki?n PET, mÖu xanh l†, K15.5mm, dÖy 0.6mm, b? m?t d?p n?i, tension >350kgF, 20kg/cu?n.;CUON;3;20;KG;60;T?N KHO;;01/08/2024
EP2404-0030;10/04/2024;Nguy?n D?ng Trung;Theo b? ph?n;"DÉy ?ai Çp ki?n PET, mÖu xanh l†
H?t ph? gia MV8C (ChÉu ?u)
DÉy ?ai Çp ki?n, mÖu vÖng,";0500100080000000;DÉy ?ai Çp ki?n PET, mÖu xanh l†, K15.5mm, dÖy 0.6mm, b? m?t d?p n?i, tension >350kgF, 20kg/cu?n.;CUON;5;20;KG;100;UNIPACK - JUMBO;;15/04/2024
EP2402-0013;20/02/2024;Nguy?n D?ng Trung;Theo b? ph?n;"Ch? may 900D
H?t UV";0500100080000000;DÉy ?ai Çp ki?n PET, mÖu xanh l†, K15.5mm, dÖy 0.6mm, b? m?t d?p n?i, tension >350kgF, 20kg/cu?n.;CUON;2;20;KG;40;UNIPACK - SO2402-0009;;01/03/2024
EP2311-0003;02/11/2023;Nguy?n D?ng Trung;Theo b? ph?n;DÉy ?ai Çp ki?n + ?† mÖi;0500100080000000;DÉy ?ai Çp ki?n PET, mÖu xanh l†, K15.5mm, dÖy 0.6mm, b? m?t d?p n?i, tension >350kgF, 20kg/cu?n.;CUON;3;20;KG;60;T?N KHO;;06/11/2023
EP2405-0083;25/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200105363000000;HK6 (L);CM2;10000;1;CM2;10000;;;28/05/2024
EP2308-0010;02/08/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C DONGWON-PO.7 B? SUNG (KH?C NGH?CH 5MM );5200108390000000;Dongwon 77-B;CM2;10000;1;CM2;10000;;;07/08/2023
EP2308-0032;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C DONGWON-PO.8  (KH?C NGH?CH 5MM );5200108420000000;Dongwon 83-A;CM2;10000;1;CM2;10000;;M†y in;14/08/2023
EP2308-0031;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON-PO.8  (KH?C THU?N 4MM ).;5200108430000000;Dongwon 88-A;CM2;10000;1;CM2;10000;;M†y in;12/08/2023
EP2304-0055;17/04/2023;;Theo b? ph?n;FILE KH?C SABAH (KH?C NGH?CH 5MM )-SO2303-0030;5200108726000000;GARDENIA BRUNEL;CM2;10;1;CM2;10;;;19/04/2023
EP2304-0074;20/04/2023;;Theo b? ph?n;KH?C LAHAD (KH?C NGH?CH 5MM )-SO2302-0017;5200108734000000;RAMA ROTI CANAL;CM2;10;1;CM2;10;;;23/04/2023
EP2405-0092;28/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200108741000000;HAY KINGDOM ( UNIPACK);CM2;10000;1;CM2;10000;;;30/05/2024
EP2309-0030;07/09/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C UNIPACK (KH?C NGH?CH 4mm )-SO2309-0003;5200108741000000;HAY KINGDOM ( UNIPACK);CM2;10000;1;CM2;10000;;MAY IN;11/09/2023
EP2305-0044;12/05/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C HK-GRADE-UNIPACK (KH?C NGH?CH 4MM )-CAO SU- SO2304-0026;5200108741000000;HAY KINGDOM ( UNIPACK);CM2;10000;1;CM2;10000;;;
EP2311-0006;03/11/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in ?H San Cristobal;5200108741000000;HAY KINGDOM ( UNIPACK);CM2;10000;1;CM2;10000;;;06/11/2023
EP2401-0017;05/01/2024;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU;5200108741000000;HAY KINGDOM ( UNIPACK);CM2;10000;1;CM2;10000;;;06/01/2024
EP2403-0027;11/03/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200108741000000;HAY KINGDOM ( UNIPACK);CM2;10000;1;CM2;10000;;;12/03/2024
EP2402-0054;29/02/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200108834000000;B?n in G?O H??NG SEN ( T? TR?C);CM2;10000;1;CM2;10000;;;01/03/2024
EP2402-0016;20/02/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200108837000000;G?o lÖi s?a-t? tr£c;CM2;10000;1;CM2;10000;;;21/02/2024
EP2308-0069;18/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T  KH?CT? TR?C (KH?C NGH?CH 5MM ):SO2307-0049;5200108837000000;G?o lÖi s?a-t? tr£c;CM2;10000;1;CM2;10000;;M?Y IN;22/08/2023
EP2308-0044;15/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C BAN IN S?I G?N XANH.;5200108860000000;TRIBAT 43 X 65 ( SAIGONXANH);CM2;10000;1;CM2;10000;C?N G?P B?N IN B? H?;M?Y IN;16/08/2023
EP2304-0004;03/04/2023;;Theo b? ph?n;KH?C S?I G?N XANH (KH?C THU?N 4MM )-MP2303-0076.;5200108860000000;TRIBAT 43 X 65 ( SAIGONXANH);CM2;10;1;CM2;10;;;06/04/2023
EP2310-0041;11/10/2023;Bói Th†i Hïa;Theo b? ph?n;??t b?n in cao su (m?u m?i) SÖi Gïn Xanh;5200108860000000;TRIBAT 43 X 65 ( SAIGONXANH);CM2;10000;1;CM2;10000;;In;13/10/2023
EP2305-0026;10/05/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C SAI GON XANH (KH?C THU?N 4MM )-SO2304-0016;5200108860000000;TRIBAT 43 X 65 ( SAIGONXANH);CM2;10000;1;CM2;10000;;;13/05/2005
EP2306-0027;07/06/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C SAI GON XANH (KH?C THU?N 4MM )- CAO SU-;5200108860000000;TRIBAT 43 X 65 ( SAIGONXANH);CM2;10000;1;CM2;10000;;;10/06/2023
EP2404-0015;04/04/2024;Bói Th†i Hïa;Theo b? ph?n;??T KH?C B?N IN CAO SU;5200108860000000;TRIBAT 43 X 65 ( SAIGONXANH);CM2;10000;1;CM2;10000;;;06/04/2024
EP2405-0070;22/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t Kh?c b?n in sao su;5200108860000000;TRIBAT 43 X 65 ( SAIGONXANH);CM2;10000;1;CM2;10000;;;24/05/2024
EP2312-0011;04/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200108860000000;TRIBAT 43 X 65 ( SAIGONXANH);CM2;10000;1;CM2;10000;;;05/12/2023
EP2312-0053;15/12/2023;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200108870000000;TRIBAT 50X85 (SAIGONXANH);CM2;10000;1;CM2;10000;;;19/12/2023
EP2405-0070;22/05/2024;Bói Th†i Hïa;Theo b? ph?n;??t Kh?c b?n in sao su;5200108870000000;TRIBAT 50X85 (SAIGONXANH);CM2;10000;1;CM2;10000;;;24/05/2024
EP2403-0092;27/03/2024;Bói Th†i Hïa;Theo b? ph?n;??t kh?c b?n in cao su;5200108870000000;TRIBAT 50X85 (SAIGONXANH);CM2;10000;1;CM2;10000;;;28/03/2024
EP2306-0027;07/06/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C SAI GON XANH (KH?C THU?N 4MM )- CAO SU-;5200108870000000;TRIBAT 50X85 (SAIGONXANH);CM2;10000;1;CM2;10000;;;10/06/2023
EP2305-0026;10/05/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C SAI GON XANH (KH?C THU?N 4MM )-SO2304-0016;5200108870000000;TRIBAT 50X85 (SAIGONXANH);CM2;10000;1;CM2;10000;;;13/05/2005
EP2310-0041;11/10/2023;Bói Th†i Hïa;Theo b? ph?n;??t b?n in cao su (m?u m?i) SÖi Gïn Xanh;5200108870000000;TRIBAT 50X85 (SAIGONXANH);CM2;10000;1;CM2;10000;;In;13/10/2023
EP2308-0044;15/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C BAN IN S?I G?N XANH.;5200108870000000;TRIBAT 50X85 (SAIGONXANH);CM2;10000;1;CM2;10000;;M?Y IN;19/08/2023
EP2308-0032;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C DONGWON-PO.8  (KH?C NGH?CH 5MM );520010890000000;DONGWON 93-A;CM2;10000;1;CM2;10000;;M†y in;14/08/2023
EP2308-0031;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON-PO.8  (KH?C THU?N 4MM ).;520010891000000;Dongwon 94-A;CM2;10000;1;CM2;10000;;M†y in;12/08/2023
EP2308-0031;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;??T KH?C DONGWON-PO.8  (KH?C THU?N 4MM ).;520010892000000;dongwon 95-A;CM2;10000;1;CM2;10000;;M†y in;12/08/2023
EP2308-0032;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C DONGWON-PO.8  (KH?C NGH?CH 5MM );520010893000000;Dongwon 96-A;CM2;10000;1;CM2;10000;;M†y in;14/08/2023
EP2308-0032;09/08/2023;Nguy?n V?n Long;Theo b? ph?n;KH?C DONGWON-PO.8  (KH?C NGH?CH 5MM );520010898000000;Dongwon 97-A;CM2;10000;1;CM2;10000;;M†y in;14/08/2023
