Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO08/24-026,Nguyễn Thị Đào,45513.288194444445,PR24/08-030,0901400360000000,Cây nhựa PA phi 90 x 1000mm,CAY,1,CAY,1,,VND,1,0,1,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-026,Nguyễn Thị Đào,45513.288194444445,PR24/08-031,0905300930000000,Lưỡi dao cắt vải phi 40 x 0.4mm - lỗ phi 12mm,LUOI,20,LUOI,20,,VND,1,0,20,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-026,Nguyễn Thị Đào,45513.288194444445,PR24/08-034,0913000050000000,Silicol ống phi trong 147 x 2mm,Mét,10,Mét,10,,VND,1,0,10,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO08/24-027,Nguyễn Thị Đào,45513.291666666664,PR24/08-032,VPP-009,ĐẤT SẠCH,Bao,50,Bao,50,,VND,35000,0,1750000,NV041,Võ Công Vũ
PO08/24-027,Nguyễn Thị Đào,45513.291666666664,PR24/08-033,0918200050000000,Gạch lát nền 50x50 cm. ( Mẫu theo yêu cầu),M2,45,M2,45,,VND,112000,0,5040000,NV041,Võ Công Vũ
PO08/24-028,Thái Nguyễn Minh Quyết,45513.359722222223,PR24/08-004,0923700430000000,Bulong lục giác đầu trụ ( Lip Adjusting Srew ) M10xP1.0x L=99. Mã: LS/TAPE - 2532X1.,CAI,100,CAI,100,,VND,1,0,100,NCC020024,"Changzhou United Win Pack Co., Ltd"
PO08/24-028,Thái Nguyễn Minh Quyết,45513.359722222223,PR24/08-029,0909300022000000,Ống lăn đai RX6.1 mã: Z4U - 00010B,CAI,1700,CAI,1700,,VND,1,0,1700,NCC020024,"Changzhou United Win Pack Co., Ltd"
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300101760000000,Bìa còng F7 khổ A5,CAI,2,CAI,2,,VND,29000,4640,58000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300100360000000,Bút lông dầu đỏ,CAY,10,CAY,10,,VND,8000,6400,80000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300100460000000,Giấy A472,Gram,30,Gram,30,,VND,50000,120000,1500000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300100480000000,Giấy A482,Gram,5,Gram,5,,VND,55000,22000,275000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,53-5300100370000000,Bút lông dầu xanh,CAY,20,CAY,20,,VND,8000,12800,160000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,VPP003,Bìa Lổ Mỏng,XAP,5,XAP,5,,VND,34000,13600,170000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300100640000000,Tập SV 200 trang,QUYEN,5,QUYEN,5,,VND,15000,6000,75000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300100780000000,Bút Chì,Cây,10,Cây,10,,VND,2500,2000,25000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300100910000000,Bìa Kiếng A4,Cái,5,Cái,5,,VND,50000,20000,250000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300100940000000,Giấy A3,GRAM,1,GRAM,1,,VND,110000,8800,110000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300100960000000,Sổ Ca Rô 25x33 Dày,QUYEN,6,QUYEN,6,,VND,43000,20640,258000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300101350000000,Giấy NoTe Mũi Tên,XẤP,5,XẤP,5,,VND,10000,4000,50000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-029,Nguyễn Thị Đào,45516.144444444442,PR24/08-035,5300101390000000,Nhựa ép plastic A4.,XẤP,5,XẤP,5,,VND,90000,36000,450000,NCC010073,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ
PO08/24-030,Nguyễn Thị Đào,45516.200694444444,PR24/04-035,0909000030000000,cát xây dựng,M3,7,M3,7,,VND,540000,0,3780000,NV041,Võ Công Vũ
PO08/24-030,Nguyễn Thị Đào,45516.200694444444,PR24/04-064,0926400100000000,đá 1x2 (xây dựng),Mét,1.5,Mét,1.5,,VND,640000,0,960000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,090300023000000,Vít bắn tôn 40mm,KG,3,KG,3,,VND,115000,0,345000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0909500200000000,Lưới đan INOX 304 chống côn trùng- khổ 1000mm,M,600,M,600,,VND,54000,0,32400000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0922700082000000,Đá cắt 125mm,LUOI,20,LUOI,20,,VND,10000,0,200000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0904500150000000,sơn xịt xám,Lon,15,Lon,15,,VND,30000,0,450000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0903400020000000,TẮC KÊ NHỰA 6mm Xanh,Bịch,1,Bịch,1,,VND,50000,0,50000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0926400030000000,ĐÁ CẮT 350,Cái,20,Cái,20,,VND,40000,0,800000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0926400050000000,ĐÁ MÀI 125,Cái,30,Cái,30,,VND,15000,0,450000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,5200110160000000,"Que Hàn Sắt 2,5",Hộp,30,Hộp,30,,VND,80000,0,2400000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0903000080000000,Vít đầu dù đuôi cá 4x15mm,BICH,30,BICH,30,,VND,95000,0,2850000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0907900100000000,CHỐT CỬA NGANG,CAI,60,CAI,60,,VND,30000,0,1800000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0905500870000000,Sắt hộp tráng kẽm 20x20mm,CAY,320,CAY,320,,VND,95000,0,30400000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0905500560000000,Sắt la kẽm 18x1.4mmx3000mm,CAY,616,CAY,616,,VND,25000,0,15400000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-033,0900600160000000,Bản lề lá 20 x 80mm.,CAI,60,CAI,60,,VND,10000,0,600000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-038,0909500200000000,Lưới đan INOX 304 chống côn trùng- khổ 1000mm,M,120,M,120,,VND,54000,0,6480000,NV041,Võ Công Vũ
PO08/24-031,Nguyễn Thị Đào,45516.287499999999,PR24/08-038,0905500870000000,Sắt hộp tráng kẽm 20x20mm,CAY,80,CAY,80,,VND,95000,0,7600000,NV041,Võ Công Vũ
