Mã,Ngày,Số chứng từ,Diễn giải,Vật tư,Tên vật tư,Đvt,Kho,Số lượng,Giá,Tiền vốn,Tk Nợ,Tk Có,Đối tượng,Nhân viên,Bộ phận,Đơn hàng/Hợp đồng mua,Lệnh sản xuất,Công đoạn,Mã trung tâm chi phí,Sản phẩm,Mã vụ việc,Mã giao dịch
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4.5,0,0,1527,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX03/24-063,VAICUON,,0102125017000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4.5,0,0,1527,15414,CTY00001,,,,LSX03/24-063,VAICUON,,0102125017000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-030,VAICUON,,0102125009000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3.5,0,0,1527,15414,CTY00001,,,,LSX06/24-030,VAICUON,,0102125009000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-088,VAICUON,,0102109012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4.5,0,0,1527,15414,CTY00001,,,,LSX06/24-088,VAICUON,,0102109012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3,0,0,1527,15414,CTY00001,,,,LSX06/24-062,VAICUON,,TPH455066G057VBT.DW.XXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,6,0,0,1527,15414,CTY00001,,,,LSX06/24-062,VAICUON,,TPH455066G057VBT.DW.XXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-073,VAICUON,,0102123053000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2.5,0,0,1527,15414,CTY00001,,,,LSX06/24-073,VAICUON,,0102123053000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-073,VAICUON,,0102123053000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX05/24-072,VAICUON,,0119132020002100,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX05/24-007,VAICUON,,THACUBAN180080077378TRDU,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3,0,0,1527,15414,CTY00001,,,,LSX05/24-007,VAICUON,,THACUBAN180080077378TRDU,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1.5,0,0,1527,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4,0,0,1527,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX03/24-063,VAICUON,,0102125017000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3,0,0,1527,15414,CTY00001,,,,LSX03/24-063,VAICUON,,0102125017000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1.5,0,0,1527,15414,CTY00001,,,,LSX06/24-088,VAICUON,,0102109012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-088,VAICUON,,0102109012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-088,VAICUON,,0102109012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4,0,0,1527,15414,CTY00001,,,,LSX06/24-088,VAICUON,,0102109012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-030,VAICUON,,0102125009000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-030,VAICUON,,0102125009000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1.5,0,0,1527,15414,CTY00001,,,,LSX01/24-022,VAICUON,,IN050XXXTTINT.XXXXXXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX01/24-022,VAICUON,,IN050XXXTTINT.XXXXXXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,0.5,0,0,1527,15414,CTY00001,,,,LSX06/24-073,VAICUON,,0102123053000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-073,VAICUON,,0102123053000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX07/24-007,VAICUON,,0119132020002100,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3,0,0,1527,15414,CTY00001,,,,LSX07/24-007,VAICUON,,0119132020002100,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX07/24-007,VAICUON,,0119132010000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3,0,0,1527,15414,CTY00001,,,,LSX07/24-007,VAICUON,,0119132010000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,15,0,0,1527,15414,CTY00001,,,,LSX07/24-007,VAICUON,,0119132010000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-075,VAICUON,,TPH100135G160CASDDW,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2.5,0,0,1527,15414,CTY00001,,,,LSX06/24-075,VAICUON,,TPH100135G160CASDDW,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX03/24-059,VAICUON,,TPH075118G125TTINT.CAMI,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3.5,0,0,1527,15414,CTY00001,,,,LSX03/24-059,VAICUON,,TPH075118G125TTINT.CAMI,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-078,VAICUON,,THACUKID117100100094TRDU,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,8.5,0,0,1527,15414,CTY00001,,,,LSX06/24-078,VAICUON,,THACUKID117100100094TRDU,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-082,VAICUON,,0102129003000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,6,0,0,1527,15414,CTY00001,,,,LSX06/24-082,VAICUON,,0102129003000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4.5,0,0,1527,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4.5,0,0,1527,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-073,VAICUON,,0102123050000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-073,VAICUON,,0102123050000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4,0,0,1527,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-087,VAICUON,,TPH046080G81TDUXH.THH01,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,6,0,0,1527,15414,CTY00001,,,,LSX06/24-087,VAICUON,,TPH046080G81TDUXH.THH01,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-066,VAICUON,,TPH455066G057CBT.DW.XXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4.5,0,0,1527,15414,CTY00001,,,,LSX06/24-066,VAICUON,,TPH455066G057CBT.DW.XXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX06/24-097,VAICUON,,TPH455066G057TDU.DW.XXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,3.5,0,0,1527,15414,CTY00001,,,,LSX06/24-097,VAICUON,,TPH455066G057TDU.DW.XXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,2,0,0,1527,15414,CTY00001,,,,LSX07/24-002,VAICUON,,HAPSAN585099TRTR,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,8,0,0,1527,15414,CTY00001,,,,LSX07/24-002,VAICUON,,HAPSAN585099TRTR,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-075,VAICUON,,TPH100135G160CASDDW,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,6,0,0,1527,15414,CTY00001,,,,LSX06/24-075,VAICUON,,TPH100135G160CASDDW,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1.5,0,0,1527,15414,CTY00001,,,,LSX06/24-078,VAICUON,,THACUKID117100100094TRDU,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,6,0,0,1527,15414,CTY00001,,,,LSX06/24-078,VAICUON,,THACUKID117100100094TRDU,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-052,VAICUON,,0102107008000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-052,VAICUON,,0102107008000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,6,0,0,1527,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-082,VAICUON,,0102129003000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-082,VAICUON,,0102129003000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-082,VAICUON,,0102129003000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-082,VAICUON,,0102129003000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1.5,0,0,1527,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1.5,0,0,1527,15414,CTY00001,,,,LSX05/24-031,VAICUON,,0102109025000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4,0,0,1527,15414,CTY00001,,,,LSX05/24-031,VAICUON,,0102109025000000,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-066,VAICUON,,TPH455066G057CBT.DW.XXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-066,VAICUON,,TPH455066G057CBT.DW.XXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX06/24-063,VAICUON,,TPH455066G057VBT.DW.XXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,5,0,0,1527,15414,CTY00001,,,,LSX06/24-063,VAICUON,,TPH455066G057VBT.DW.XXX,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,1,0,0,1527,15414,CTY00001,,,,LSX07/24-002,VAICUON,,HAPSAN585099TRTR,,2109B
TP,7/3/2024,TP07/24-016,Nhập báo cáo dệt ngày 03/07/2024,PHE-PHEDET,Phế liệu thu hồi khâu dệt,KG,KPH001,4,0,0,1527,15414,CTY00001,,,,LSX07/24-002,VAICUON,,HAPSAN585099TRTR,,2109B
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102107006000000,"Vải manh cuộn PP, trắng đục, K119cm, MĐ: 7x7, 900D, caro láng, TL: 68.0g/m. [5000m/cuộn]/THACUECL119070070068TRDU",M,KCU001,329,0,0,15514,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102107006000000,"Vải manh cuộn PP, trắng đục, K119cm, MĐ: 7x7, 900D, caro láng, TL: 68.0g/m. [5000m/cuộn]/THACUECL119070070068TRDU",M,KCU001,327,0,0,15514,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102107006000000,"Vải manh cuộn PP, trắng đục, K119cm, MĐ: 7x7, 900D, caro láng, TL: 68.0g/m. [5000m/cuộn]/THACUECL119070070068TRDU",M,KCU001,332,0,0,15514,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102107006000000,"Vải manh cuộn PP, trắng đục, K119cm, MĐ: 7x7, 900D, caro láng, TL: 68.0g/m. [5000m/cuộn]/THACUECL119070070068TRDU",M,KCU001,333,0,0,15514,15414,CTY00001,,,,LSX06/24-103,VAICUON,,0102107006000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102107008000000,"Vải manh cuộn PP, trắng đục, K120cm, MĐ: 7x7, 900D, caro láng, TL: 68.6g/m. [5000m/cuộn]/THACUECL120070070686TRDU",M,KCU001,339.5,0,0,15514,15414,CTY00001,,,,LSX06/24-052,VAICUON,,0102107008000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102107008000000,"Vải manh cuộn PP, trắng đục, K120cm, MĐ: 7x7, 900D, caro láng, TL: 68.6g/m. [5000m/cuộn]/THACUECL120070070686TRDU",M,KCU001,343.5,0,0,15514,15414,CTY00001,,,,LSX06/24-052,VAICUON,,0102107008000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102109012000000,"Vải cuộn PP trắng đục, Khổ 66cm, mật độ 10x10 (dệt xếp) trọng lượng 92g/m/THACUHAL660100100092TRDU [2500m/cuộn]",M,KCU001,224,0,0,15514,15414,CTY00001,,,,LSX06/24-088,VAICUON,,0102109012000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102109012000000,"Vải cuộn PP trắng đục, Khổ 66cm, mật độ 10x10 (dệt xếp) trọng lượng 92g/m/THACUHAL660100100092TRDU [2500m/cuộn]",M,KCU001,233,0,0,15514,15414,CTY00001,,,,LSX06/24-088,VAICUON,,0102109012000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102109034000000,"Vải cuộn PP trắng đục, Khổ 63.5cm, mật độ 10x10, kiểu dệt 5x1, trọng lượng 89g/m [2500m/cuộn]/THACUHAL635100100089TRDU",M,KCU001,221,0,0,15514,15414,CTY00001,,,,LSX06/24-095,VAICUON,,0102109034000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102109034000000,"Vải cuộn PP trắng đục, Khổ 63.5cm, mật độ 10x10, kiểu dệt 5x1, trọng lượng 89g/m [2500m/cuộn]/THACUHAL635100100089TRDU",M,KCU001,212.5,0,0,15514,15414,CTY00001,,,,LSX06/24-095,VAICUON,,0102109034000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102109034000000,"Vải cuộn PP trắng đục, Khổ 63.5cm, mật độ 10x10, kiểu dệt 5x1, trọng lượng 89g/m [2500m/cuộn]/THACUHAL635100100089TRDU",M,KCU001,219,0,0,15514,15414,CTY00001,,,,LSX06/24-095,VAICUON,,0102109034000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102125007000000,"Vải cuộn PP, trắng đục, K51.0cm(+1/-0.5), MĐ: 10.0x11.0, TL: 73g/m(+/-2.5). [3500m/cuộn]/THACUSAN510100110073TRDU",M,KCU001,254.5,0,0,15514,15414,CTY00001,,,,LSX06/24-012,VAICUON,,0102125007000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102125009000000,"Vải cuộn PP, trắng đục, K51.0cm(+1/-0.2), MĐ: 10x12.5, TL: 86g/m(+1/-2). [Khi xuất hàng dán tem màu vàng]/THACUSAN510100125086TRDU",M,KCU001,257,0,0,15514,15414,CTY00001,,,,LSX06/24-030,VAICUON,,0102125009000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102125012000000,"Vải cuộn PP, trắng đục, K56.0cm(+1/-0.5), MĐ: 10.0x9.0, TL: 78g/m (+1/-2). [3500m/cuộn]/THACUSAN560100009078TRDU",M,KCU001,269.2,0,0,15514,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102125012000000,"Vải cuộn PP, trắng đục, K56.0cm(+1/-0.5), MĐ: 10.0x9.0, TL: 78g/m (+1/-2). [3500m/cuộn]/THACUSAN560100009078TRDU",M,KCU001,269.2,0,0,15514,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102125012000000,"Vải cuộn PP, trắng đục, K56.0cm(+1/-0.5), MĐ: 10.0x9.0, TL: 78g/m (+1/-2). [3500m/cuộn]/THACUSAN560100009078TRDU",M,KCU001,265.7,0,0,15514,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2155
TP,7/3/2024,TP07/24-017,Nhập báo cáo dệt ngày 03/07/2024,0102125012000000,"Vải cuộn PP, trắng đục, K56.0cm(+1/-0.5), MĐ: 10.0x9.0, TL: 78g/m (+1/-2). [3500m/cuộn]/THACUSAN560100009078TRDU",M,KCU001,266.2,0,0,15514,15414,CTY00001,,,,LSX06/24-037,VAICUON,,0102125012000000,,2155
