Mã số,Mặt hàng,Đơn vị tính 1,SL Đầu kỳ 1,Giá trị đầu kỳ 1,SL Nhập 1,Giá trị Nhập 1,SL Xuất 1,Giá trị xuất 1,SL Tồn 1,Giá trị tồn 1,Đơn vị tính 2,SL Đầu kỳ 2,SL Nhập 2,SL Xuất 2,SL Tồn 2
0905701280000000,phớt ben LBH 20X28X6( Theo mẫu),CAI,27,1620000,0,0,0,0,27,1620000,CAI,27,0,0,27
0905701290000000,PHỚT BEN LBH 30x40x7mm,CAI,7,350000,0,0,0,0,7,350000,CAI,7,0,0,7
0905701300000000,Phớt 30x46x7,CAI,20,160000,0,0,0,0,20,160000,CAI,20,0,0,20
0905701310000000,Phớt piston ben hơi 58x63x10,CAI,5,250000,0,0,0,0,5,250000,CAI,5,0,0,5
0905701320000000,Phớt ben 95x105x10mm,CAI,6,900000,0,0,0,0,6,900000,CAI,6,0,0,6
0905701340000000,Phớt vỏ sắt 95x125x15,CAI,7,520000,0,0,0,0,7,520000,CAI,7,0,0,7
0905701350000000,Phớt 16x32x10mm,CAI,19,570000,0,0,0,0,19,570000,CAI,19,0,0,19
090570141000000,Phớt vỏ sắt 80x105x12mm,CAI,4,140000,0,0,0,0,4,140000,CAI,4,0,0,4
090570142000000,Phớt nhớt máy may D04003.,CAI,7,469000,0,0,1,67000,6,402000,CAI,7,0,1,6
090570144000000,Phớt chắn dầu 250x280x15mm,CAI,2,800000,0,0,0,0,2,800000,CAI,2,0,0,2
090570146000000,Phớt chắn 20x47x5mm,CAI,30,210000,0,0,0,0,30,210000,CAI,30,0,0,30
090570148000000,pHỚT 25X65,CAI,10,350000,0,0,0,0,10,350000,CAI,10,0,0,10
090570149000000,Motor bơm dầu thủy lực 380V-1/2Hp- kết nối đầu bơm ren 21mm.,CAI,1,4200000,0,0,0,0,1,4200000,CAI,1,0,0,1
090570151000000,Phớt ben dầu OSI 63x53x6mm,CAI,2,80000,0,0,0,0,2,80000,CAI,2,0,0,2
090570153000000,Ben hơi CS63x50,CAI,2,570000,0,0,0,0,2,570000,CAI,2,0,0,2
090570154000000,Phớt ben dầu 40x50x9mm,CAI,3,165000,0,0,0,0,3,165000,CAI,3,0,0,3
090570155000000,Vòng đệm dẫn hướng ben dầu 40x45x9mm,CAI,1,30000,0,0,0,0,1,30000,CAI,1,0,0,1
090570156000000,Vòng đệm dẫn hướng ben dầu 95x100x9mm,CAI,1,50000,0,0,0,0,1,50000,CAI,1,0,0,1
090570157000000,Phớt ben hơi 25x35x11,CAI,3,120000,0,0,0,0,3,120000,CAI,3,0,0,3
090570160000000,Phớt gạt nước 25x40x8mm,CAI,2,100000,0,0,0,0,2,100000,CAI,2,0,0,2
0905701640000000,Ben hơi  SC 40x125mm + đế CA.,CAI,2,1480000,0,0,0,0,2,1480000,CAI,2,0,0,2
090570170000000,Ben thủy lực Phi 40x10. (Hydraulic thin Cylinder) Mã: CS2002-H-06.,CAI,2,5795720,0,0,0,0,2,5795720,CAI,2,0,0,2
090570171000000,Phớt USH 30x40x6mm,CAI,40,1520000,0,0,0,0,40,1520000,CAI,40,0,0,40
090570172000000,Phớt USH 20x28x5mm,CAI,20,700000,0,0,0,0,20,700000,CAI,20,0,0,20
090570173000000,Phớt 80x105mm,CAI,5,600000,0,0,0,0,5,600000,CAI,5,0,0,5
090570180000000,Ben hơi MCQA-11- 4 - 20 + CA +Y ( Ari Cylinder) Mã: CS2002 - A - 03.,CAI,2,5795720,0,0,0,0,2,5795720,CAI,2,0,0,2
090570181000000,Phớt ben NOK-IDI 25x38x8mm,CAI,10,750000,0,0,0,0,10,750000,CAI,10,0,0,10
090570182000000,Phớt ben NOK-IDI 25x35x6mm,CAI,10,650000,0,0,0,0,10,650000,CAI,10,0,0,10
09058001000000000,Bộ khoét lỗ hợp kim 55 ly,BO,1,181000,0,0,0,0,1,181000,BO,1,0,0,1
09058001010000000,Mũi khoét hợp kim phi 30,CAI,1,89500,0,0,0,0,1,89500,CAI,1,0,0,1
09058001020000000,Mũi khoan bê tông 3 tấc,CAI,1,28000,0,0,0,0,1,28000,CAI,1,0,0,1
09058001040000000,Mũi khoan đá 10ly,CAI,2,20000,0,0,0,0,2,20000,CAI,2,0,0,2
09058001050000000,Mũi khoan đá 30 ly,CAI,1,35000,0,0,0,0,1,35000,CAI,1,0,0,1
09058001060000000,T21 BM,CAI,6,36000,0,0,0,0,6,36000,CAI,6,0,0,6
0905800920000000,Mũi khoan betong đuôi gài phi 12,CAI,5,175000,0,0,0,0,5,175000,CAI,5,0,0,5
