Mã số,Mặt hàng,Đơn vị tính 1,SL Đầu kỳ 1,Giá trị đầu kỳ 1,SL Nhập 1,Giá trị Nhập 1,SL Xuất 1,Giá trị xuất 1,SL Tồn 1,Giá trị tồn 1,Đơn vị tính 2,SL Đầu kỳ 2,SL Nhập 2,SL Xuất 2,SL Tồn 2
0905800970000000,Mũi taro M10 x P1.0,CAI,0,0,10,1200000,5,600000,5,600000,CAI,0,10,5,5
0905801010000000,Mũi khoan phi 16.5mm,CAI,2,360000,0,0,0,0,2,360000,CAI,2,0,0,2
0905801020000000,Mũi khoan bê tông  4 cạnh phi 10mm ( loại đầu gài phi 18mm ),CAI,1,70000,0,0,0,0,1,70000,CAI,1,0,0,1
0905900650000000,Nhãn tử điện bằng mica 35x17mm ( ghi chữ theo danh sách kèm theo ),CAI,10,90000,0,0,0,0,10,90000,CAI,10,0,0,10
0905900660000000,Nhãn tử điện bằng mica 35x50mm ( ghi chữ theo danh sách kèm theo ),CAI,12,108000,0,0,0,0,12,108000,CAI,12,0,0,12
0906000260000000,NHÔNG ĐƠN 40/37 RĂNG- CỐT 35 - THEN 8X3mm- DÀY 28MM,CAI,40,8800000,0,0,0,0,40,8800000,CAI,40,0,0,40
0906000280000000,Nhông đơn 40- 41T ( theo bản vẽ),CAI,19,7600000,0,0,0,0,19,7600000,CAI,19,0,0,19
0906000500000000,"Bánh răng xéo M=3,Z=29,D=86,B=25 lô cốt 28 x then 8 x 4 mm ( theo mẫu)",CAI,2,800000,0,0,0,0,2,800000,CAI,2,0,0,2
0906000510000000,"Bánh răng xéo M=3,Z=42,D=120,B=25 lô cốt 28 x then 8 x 4 mm ( theo mẫu)",CAI,8,4000000,0,0,0,0,8,4000000,CAI,8,0,0,8
0906000700000000,Nhông đôi 50 - 17 răng + 28 răng. dày 54mm - lỗ 30- then 7x3mm.  ( theo bản vẽ ),CAI,15,3300000,0,0,0,0,15,3300000,CAI,15,0,0,15
0906000780000000,nhông đơn 35-36 răng - lỗ 40,CAI,2,240000,0,0,0,0,2,240000,CAI,2,0,0,2
0906000790000000,Nhông đơn 40- 12T ( theo bản vẽ),CAI,2,400000,0,0,0,0,2,400000,CAI,2,0,0,2
0906000800000000,"Nhông lô nước máy dệt RX6.1 ( SPROCKET O8B-1 Z=35 D70/30,5 1/5-5/16"")  mã: Z4T-05112.",CAI,10,5628520,0,0,0,0,10,5628520,CAI,10,0,0,10
0906000810000000,Nhông đơn 50- 19 răng - dày 28mm - lỗ 30 x then 7x3mm.,CAI,15,2850000,0,0,0,0,15,2850000,CAI,15,0,0,15
0906000830000000,Sensor  ind.proxyflush. PNP NO.M8 WSH Cabe 3KHZ (Mã số: 14401021002).,CAI,9,3241305,0,0,1,360145,8,2881160,CAI,9,0,1,8
0906000840000000,"INDUCT PROXIMITY SENSOR/ NO PF NBB2-12GM50-E2 (9M) PART/ senso đo tốc độ buly máy nova6, LSL,AXL (11147250302)",CAI,4,1186360,0,0,1,296590,3,889770,CAI,4,0,1,3
0906000850000000,Cảm biến Báo màu - Colour sensor (PF) OBT-200-18GM60-E5 (MÃ: 11400112097),CAI,0,0,40,39984000,26,25989600,14,13994400,CAI,0,40,26,14
0906000860000000,Nhông đơn 50- 16 răng - lỗ cốt 30 x then 8x5mm - cồi dài 34mm.,CAI,4,1400000,0,0,0,0,4,1400000,CAI,4,0,0,4
0906000870000000,Nhông đơn 50- 20 răng - lỗ cốt 28 x then 8x5mm - cồi dài 30mm.,CAI,2,700000,0,0,2,700000,0,0,CAI,2,0,2,0
0906000890000000,INDUCT PROXIMITY SENSOR/ NO PF NBB2-12GM50-E2 (5M),CAI,3,2820000,10,9400000,9,7520000,4,4700000,CAI,3,10,9,4
09061001020000000,Co ren trong 21,CAI,5,20000,0,0,0,0,5,20000,CAI,5,0,0,5
09061001030000000,co ren ngoài 21,CAI,5,30000,0,0,0,0,5,30000,CAI,5,0,0,5
0906100560000000,Nối 2 đầu ren ngoài 34,CAI,7,86211,0,0,0,0,7,86211,CAI,7,0,0,7
0906100620000000,Nối ren trong 34,CAI,2,12000,0,0,0,0,2,12000,CAI,2,0,0,2
0906101620000000,Nối thau 17-13. đầu 17 răng trong đầu 13 răng ngoài,CAI,6,30000,0,0,0,0,6,30000,CAI,6,0,0,6
0906101630000000,Đầu nối thẳng ren trong PCF ren trong phi 13.72- đầu giác hơi 8mm,CAI,1,35000,0,0,0,0,1,35000,CAI,1,0,0,1
0906101650000000,NỐI HƠI 1 ĐẦU REN  NGOÀI 8/6.,CAI,10,50000,0,0,0,0,10,50000,CAI,10,0,0,10
090610171000000,Dây cáp quang 1FO,M,180,500040,0,0,0,0,180,500040,M,180,0,0,180
090610172000000,Bộ chuyển quang qua LAN,BO,1,800000,0,0,0,0,1,800000,BO,1,0,0,1
090610177000000,Nối inox - 1 đầu răng ngoài 25 - 1 đầu răng trong 21- dài 100mm( Gia công theo bản vẽ.).,CAI,6,3836802,0,0,0,0,6,3836802,CAI,6,0,0,6
090610178000000,Nối hơi 1 đầu ren ngoài 19/12.,CAI,20,200000,0,0,0,0,20,200000,CAI,20,0,0,20
090610181000000,Nối nhựa PVC RT21 - Ống 27mm.,CAI,2,32000,0,0,0,0,2,32000,CAI,2,0,0,2
0906101950000000,NỐI INOX 49 X 42 RĂNG NGOÀI,CAI,4,400000,0,0,0,0,4,400000,CAI,4,0,0,4
0906101960000000,"Nối 2 đầu ren ngoài phi 27, 1 đầu côn lồi",CAI,0,0,4,120000,2,60000,2,60000,CAI,0,4,2,2
0906101980000000,Nối kép thủy lực 2 đầu ren ngoài 13 - côn lồi,CAI,10,90000,0,0,0,0,10,90000,CAI,10,0,0,10
0906101990000000,Nối Nhựa PVC phi 140mm,CAI,2,120000,0,0,0,0,2,120000,CAI,2,0,0,2
0906102000000000,NỐI HƠI 1 ĐẦU REN 21/10,CAI,8,113600,0,0,0,0,8,113600,CAI,8,0,0,8
0906102010000000,Nối Hơi chữ thâp phi 12mm,CAI,5,35000,0,0,0,0,5,35000,CAI,5,0,0,5
0906102030000000,Nối 2 đầu ren trong 21- đồng thau.,CAI,1,10000,0,0,0,0,1,10000,CAI,1,0,0,1
0906102050000000,Nối nhựa PVC ren trong 27 lót đồng,CAI,4,84000,0,0,0,0,4,84000,CAI,4,0,0,4
0906102062000000,Nối inox 1 đầu ren ngoài 60- dài 100mm.,CAI,5,350000,0,0,0,0,5,350000,CAI,5,0,0,5
0906102090000000,nối ren trong 21,CAI,3,21000,0,0,0,0,3,21000,CAI,3,0,0,3
0906102091000000,Nối ren ngoài 21,CAI,4,20000,0,0,0,0,4,20000,CAI,4,0,0,4
0906102092000000,Nối thau ren ngoài 21 - 1 đầu đuôi chuột 16.,CAI,2,70000,0,0,0,0,2,70000,CAI,2,0,0,2
0906201117000000," Màng PE foa. 25mm (dày) 1250 mm (rộng)
 ",M,10,1050000,0,0,0,0,10,1050000,M,10,0,0,10
0906201750000000,ống đồng thái lan phi 10 dày 0.7mm,CAI,10,450000,0,0,10,450000,0,0,CAI,10,0,10,0
0906201850000000,Kẹp giữ ống OMEGA phi 6,CAI,160,240000,0,0,0,0,160,240000,CAI,160,0,0,160
0906201910000000,cùm omega phi 16,CAI,200,7200000,0,0,100,0,100,7200000,CAI,200,0,100,100
090620210000000,Đầu bơm thủy lực DAIKIN : model : V15A1RY-95,CAI,1,9500000,0,0,0,0,1,9500000,CAI,1,0,0,1
0906202110000000,Đầu Bơm Cao Áp MOTOKAWA MK-70 (3HP),CAI,1,3900000,0,0,1,3900000,0,0,CAI,1,0,1,0
0906202130000000,Co Bình Minh 21,CAI,10,40000,0,0,0,0,10,40000,CAI,10,0,0,10
0906202140000000,Co Bình Minh 34,CAI,5,40000,0,0,0,0,5,40000,CAI,5,0,0,5
0906202210000000,"ống dầu thủy lực 2 lớp, bấm 2 đầy ren trong 14mm - 1 đầu côn lồi- 1 đầu côn lõm - dài 450mm.",ONG,1,80000,0,0,0,0,1,80000,ONG,1,0,0,1
0906202230000000,"ống dầu thủy lực 2 lớp, bấm 2 đầy ren trong 18mm - 2 đầu côn lõm - dài 3500mm. (theo mẫu)",ONG,2,900000,0,0,0,0,2,900000,ONG,2,0,0,2
0906202300000000,Ống khuôn inox 304  dẫn hướng màng máy thổi  phi 70-150 dài 500mm - dày 3mm. ( GC theo bản vẽ),ONG,1,2500000,0,0,1,2500000,0,0,ONG,1,0,1,0
0906202350000000,Bơm mực cho máy in bằng khí nén.,CAI,1,1,0,0,1,1,0,0,CAI,1,0,1,0
0906208760000000,Ống gen co phi 60/30 - xanh,M,0,54783,0,0,0,0,0,54783,M,0,0,0,0
0906208760000000,Ống gen co phi 60/30 - xanh,M,21,315000,0,0,0,0,21,315000,SOI,21,0,0,21
0906300350000000,Phe ngoài 3.5mm ( theo mẫu ),CAI,1000,300000,0,0,1000,300000,0,0,CAI,1000,0,1000,0
0906300370000000,Phe trong lỗ phi 28,CAI,300,330000,0,0,0,0,300,330000,CAI,300,0,0,300
0906300400000000,Phe Trong Lỗ 47mm.,CAI,30,150000,0,0,0,0,30,150000,CAI,30,0,0,30
0906300410000000,Phe trong phi lỗ 47mm.,CAI,9,63000,0,0,0,0,9,63000,CAI,9,0,0,9
0906600290000000,NẮP CHỤP BÁNH XE LƯNG THOI mã: NOVA6- 495903,CAI,1400,1311068,0,0,200,187295,1200,1123773,CAI,1400,0,200,1200
0906600370000000,Chụp che mưa ống gió vuông 1380x1380,CAI,8,16800000,0,0,0,0,8,16800000,CAI,8,0,0,8
0906600380000000,Nắp chụp cao su phi 21 (PRESSURE ROLLER COVER -Ref : LS 2080 1120),CAI,200,380000,0,0,0,0,200,380000,CAI,200,0,0,200
0906600410000000,Nắp chụp thay lưới máy thổi ( Gia công theo bản vẽ),CAI,1,680000,0,0,0,0,1,680000,CAI,1,0,0,1
0906600430000000,Nắp bít ống phi 20 PE Mateel.,CAI,2,50000,0,0,0,0,2,50000,CAI,2,0,0,2
0906600450000000,Nắp chụp bánh xe lưng thoi NOVA6-576. ( Shettle roller cap-sn ) Mã : 11158510800.,CAI,1500,2400000,0,0,0,0,1500,2400000,CAI,1500,0,0,1500
0906700150000000,LÒ XO YẾM THOI (LOẠI CỨNG) mã : LSL6-992411,CAI,450,0,0,0,100,0,350,0,CAI,450,0,100,350
0906700330000000,Lò xo càng bù RX8.0 ( Extension Spring D0.7/D10.5 x29.6) MÃ: Z4F- 00552A,CAI,100,3233500,0,0,0,0,100,3233500,CAI,100,0,0,100
0906700370000000,Lò xo móc chỉ máy dệt đai ( theo mẫu),CAI,210,1300000,0,0,0,0,210,1300000,CAI,210,0,0,210
0906700380000000,Lò xo càng bù thoi máy dệt. ( theo mẫu),CAI,0,0,600,272591,300,11,300,272580,CAI,0,600,300,300
0906801570000000,"Cưa sắt cầm tay 12"" stanley.15-565",CAI,1,65000,0,0,0,0,1,65000,CAI,1,0,0,1
0906801690000000,Máy lạnh Toshiba Inverter 1 HP,CAI,1,9780000,0,0,0,0,1,9780000,CAI,1,0,0,1
0906801720000000,Máy bơm nước TECO V25-15-140-15HP,CAI,0,0,1,0,1,0,0,0,CAI,0,1,1,0
0906801830000000,Máy lạnh Toshiba Inverter 2.5 HP RAS-H24PKCVG-V,BO,1,18920000,0,0,0,0,1,18920000,BO,1,0,0,1
0906801900000000,Motor bơm nước EWALA model: CDX 120/20 220/380V - 50Hz-2Hp - 1.5Kw.,CAI,0,0,1,0,1,0,0,0,CAI,0,1,1,0
0907000150000000,Măng sông nối răng trong phi 21 - INOX,CAI,4,70000,0,0,0,0,4,70000,CAI,4,0,0,4
0907000180000000,Nối nhựa ống 60 ren trong 60,CAI,5,90000,0,0,0,0,5,90000,CAI,5,0,0,5
0907100820000000,AC SERVO drive 2.0kw LXM 23DU20M3X.Un200/230.vac-50-60Hz phi 3-ip10,CAI,1,9800000,0,0,0,0,1,9800000,CAI,1,0,0,1
0907100840000000,Motor 3p- 2.2kw rpm-1440( chân đế)-4pole-3p-380v-415v- ampe 5.6A- đường kính cốt 28(ml)- chiều dài cốt : 60(ml) - chiều cao từ mặt phẳng lên tâm cốt 132(ml),CAI,1,3580000,0,0,0,0,1,3580000,CAI,1,0,0,1
0907100850000000,Móc chia cò Nova6112523,CAI,500,1250000,0,0,0,0,500,1250000,CAI,500,0,0,500
0907100970000000,Motor hộp số  giảm tốc - Model:GV22-200W60S,CAI,1,2820000,0,0,0,0,1,2820000,CAI,1,0,0,1
0907100980000000,Motor hộp số  giảm tốc - Model:GV18-200W20S,CAI,1,2450000,0,0,0,0,1,2450000,CAI,1,0,0,1
0907100990000000,bát đỡ Motor hộp số  giảm tốc - 160x315x5mm ( gia công theo bản vẽ),CAI,2,760000,0,0,0,0,2,760000,CAI,2,0,0,2
0907100992000000,Bột Thắng Từ ( Bột Phanh Từ),KG,0,0,2,7600000,2,7600000,0,0,KG,0,2,2,0
0907101000000000,Motor hộp số giảm tốc Enertech CMG032-F200-60.8 D30 71B5 M1 - 0.25Kw-4P-B5.,CAI,1,10139000,0,0,0,0,1,10139000,CAI,1,0,0,1
0907101010000000,Motor máy hút bụi HITACHI -21L  (model: CV-960F 24CV WR),CAI,1,890000,0,0,0,0,1,890000,CAI,1,0,0,1
