Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Tên NCC,Mã NCC
PO10/24-068,Nguyễn Thị Đào,10/21/2024,PR24/10-069,0901900280000000,BÁNH XE BỘ ĐẨY NHỰA NOVA6-082301,CAI,200,CAI,200,,VND,56800,908800,11360000,CÔNG TY TNHH VIPATEX,NCC010293
PO10/24-079,Nguyễn Thị Đào,10/24/2024,PR24/10-077,0901900810000000,Bánh xe cao su phi 200 đen đỏ - cố định,CAI,4,CAI,4,,VND,150000,0,600000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-079,Nguyễn Thị Đào,10/24/2024,PR24/10-077,0901900820000000,Bánh xe cao su phi 200 đen đỏ - xoay.,CAI,8,CAI,8,,VND,160000,0,1280000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-078,Nguyễn Thị Đào,10/24/2024,PR24/10-081,0901900080000000,Bánh xe chết phi PU 100 x 40 mm,CAI,60,CAI,60,,VND,85000,0,5100000,Võ Công Vũ,NV041
PO10/24-079,Nguyễn Thị Đào,10/24/2024,PR24/10-079,0901900080000000,Bánh xe chết phi PU 100 x 40 mm,CAI,8,CAI,8,,VND,190000,0,1520000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-042,Nguyễn Thị Đào,11/14/2024,PR24/11-046,0901900080000000,Bánh xe chết phi PU 100 x 40 mm,CAI,4,CAI,4,,VND,1,0,4,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-044,Thái Nguyễn Minh Quyết,11/15/2024,PR24/11-048,0901900740000000,Bánh xe Côn dài NOVA6 - 576LF (Chonchoid Wheel- Ny ) Mã : 11412986000,CAI,200,CAI,200,,VND,1,0,200,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-044,Thái Nguyễn Minh Quyết,11/15/2024,PR24/11-048,0901900830000000,Bánh xe côn ngắn NOV6-576 (Stopper Wheel-P-M-SB) mã: 11158200910,CAI,100,CAI,100,,VND,1,0,100,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-044,Thái Nguyễn Minh Quyết,11/15/2024,PR24/11-048,0901900850000000,Bánh xe lệch tâm NOV6-576 (Shuttle Wheel-N) mã: 11404774010,CAI,100,CAI,100,,VND,1,0,100,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-044,Thái Nguyễn Minh Quyết,11/15/2024,PR24/11-048,0901900750000000,Bánh xe lưng thoi (52mm) NOVA6 - 576LF ( Shuttle Wheel- NS ) Mã : 11412932000.,CAI,100,CAI,100,,VND,1,0,100,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-044,Thái Nguyễn Minh Quyết,11/15/2024,PR24/11-048,0901900570000000,BÁNH XE LƯNG THOI 52mm NOVA6( mã: 11403580010).,CAI,150,CAI,150,,VND,1,0,150,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-078,Nguyễn Thị Đào,10/24/2024,PR24/10-081,0901900070000000,Bánh xe sống phi 100 PU x 40 mm,CAI,60,CAI,60,,VND,95000,0,5700000,Võ Công Vũ,NV041
PO10/24-079,Nguyễn Thị Đào,10/24/2024,PR24/10-079,0901900070000000,Bánh xe sống phi 100 PU x 40 mm,CAI,8,CAI,8,,VND,210000,0,1680000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-042,Nguyễn Thị Đào,11/14/2024,PR24/11-046,0901900070000000,Bánh xe sống phi 100 PU x 40 mm,CAI,4,CAI,4,,VND,1,0,4,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO11/24-047,Nguyễn Thị Đào,11/15/2024,PR24/11-052,0901900070000000,Bánh xe sống phi 100 PU x 40 mm,CAI,60,CAI,60,,VND,1,0,60,Võ Công Vũ,NV041
PO10/24-048,Nguyễn Thị Đào,10/15/2024,PR24/10-049,0909400020000000,BAO TAY CAO SU ,DOI,100,DOI,100,,VND,16000,0,1600000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-101,Nguyễn Thị Đào,10/30/2024,PR24/10-102,0909400030000000,BAO TAY LEN ,Đôi,1000,Đôi,1000,,VND,5000,0,5000000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-097,Thái Nguyễn Minh Quyết,10/29/2024,PR24/10-097,0907100994000000,Bát đỡ láp thu ( BEARING SHELL ) Mã: Z3U-01051E.,CAI,4,CAI,4,,VND,1,0,4,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-044,Thái Nguyễn Minh Quyết,11/15/2024,PR24/11-048,0900500330000000,Bát gọng thoi dưới RX6.1 Mã: Z4U-02828,CAI,50,CAI,50,,VND,1,0,50,"Changzhou United Win Pack Co., Ltd",NCC020024
PO11/24-044,Thái Nguyễn Minh Quyết,11/15/2024,PR24/11-048,0900500320000000,Bát gọng thoi trên RX6.1 Mã: Z4U-02827,CAI,100,CAI,100,,VND,1,0,100,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-054,Thái Nguyễn Minh Quyết,10/16/2024,PR24/10-056,0900500680000000,Bát móc lò xo càng bù Hengly. (Spring holder SBY-850×6S-02A-4(2) ),CAI,20,CAI,20,,VND,0.1,0,2,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-071,Nguyễn Thị Đào,10/21/2024,PR24/10-074,0907101250000000,Bát sắt dày 12mm  - gắn con đội motor ( Gia công theo bản vẽ ),CAI,2,CAI,2,,VND,2400000,0,4800000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-054,Thái Nguyễn Minh Quyết,10/16/2024,PR24/10-056,0918500330000000,Bát thắng sau Hengly  (Washer for Back Block wheel SBY-850×6S-02A.10-3),CAI,100,CAI,100,,VND,0.135,0,14,"Changzhou United Win Pack Co., Ltd",NCC020024
PO10/24-035,Nguyễn Thị Đào,10/11/2024,PR24/10-042,0900900040000000,Béc cắt gió đá số 0,CAI,2,CAI,2,,VND,75000,0,150000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-035,Nguyễn Thị Đào,10/11/2024,PR24/10-042,0900900050000000,Béc cắt gió đá số 1,CAI,2,CAI,2,,VND,75000,0,150000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-035,Nguyễn Thị Đào,10/11/2024,PR24/10-039,090570161000000,Ben hơi XINYANG SC63x300mm ( Max 0.15:10 Mpa),CAI,4,CAI,4,,VND,814000,0,3256000,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY,NCC010053
PO10/24-020,Nguyễn Thị Đào,10/9/2024,PR24/10-023,VPP003,Bìa Lổ Mỏng,XAP,5,XAP,5,,VND,34000,13600,170000,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ,NCC010073
PO11/24-039,Nguyễn Thị Đào,11/13/2024,PR24/11-040,5300100101000000,Bìa Trình Ký Nhựa,CAI,10,CAI,10,,VND,1,1,10,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIA VĨ,NCC010073
PO11/24-021,Nguyễn Thị Đào,11/6/2024,PR24/11-019,0902202950000000,Biến Tần FR-D740-080-EC .380V-3.7KW,Cái,2,Cái,2,,VND,5700000,1140000,11400000,CÔNG TY TNHH KỸ THUẬT ĐIỆN QNTC,NCC010102
