Ngày lập đơn,Số yêu cầu,Diễn giải,Yêu cầu mua hàng,Đơn đặt hàng,Mã mặt hàng,Tên mặt hàng,Đơn vị tính 1,Hệ số,Đơn vị tính 2,Số lượng (1),Số lượng (2)
1/26/2024,LN01/24-102,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG KCP VÀ CHINA (SO2312-0011+SO2401-0002) PO01/24-089. ĐỀ NGHỊ NK THEO SL THỰC NHẬN MỰC IN XANH TÍM Blue C : 375 kg thực nhận),PR24/01-086,PO01/24-089,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
2/2/2024,LN02/24-006,ĐẶT MỰC IN GIÁN TIẾP ĐƠN HÀNG MEKONG : PO02/24-002.,PR24/02-001,PO02/24-002,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,25,25
2/20/2024,LN02/24-043,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG + 48 MFM PO02/24-016.,PR24/02-021,PO02/24-016,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,125,125
2/23/2024,LN02/24-048,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG MEKONG SO2401-0017 PO02/24-026,PR24/02-025,PO02/24-026,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,100,100
3/5/2024,LN03/24-013,ĐẶT MỰC IN TRỰC TIẾP CHO ĐƠN HÀNG UNIPACK + MEKONG .(SO2401-0034+SO2401-0017) PO03/24-006,PR24/03-004,PO03/24-006,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,75,75
3/8/2024,LN03/24-026,ĐẶT MỰC IN TRỰC TIÊP ĐƠN HÀNG INTER VÀ KCP SO2403-0011 +SO2403-0012 ĐN NK MỰC IN MÀU XANH DƯƠNG 39FL SL THỰC NHẬN : 125 KG),PR24/03-022,PO03/24-025,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,100,100
3/21/2024,LN03/24-084,ĐẶT MỰC IN TRỰC TIẾP ĐƠN HÀNG INTER + PRESTASI : SO2402-0010 +SO2403-0044 PO03/24-059.,PR24/03-056,PO03/24-059,MDM-FL23,Vàng Chanh 23 FL,KG,1,KG,50,50
2/2/2024,LN02/24-016,"Vật tư sử dụng thay thế cho đường nước sạch khu công nghiệp vào công ty, theo đề xuất của BKS. PO01/24-078",PR24/01-075,PO01/24-078,0902700810000000,Van ty cổng gang Wonil Hàn Quốc lắp mặt bích DN80. (Tiêu chuẩn JIS10K),CAI,1,CAI,1,1
3/27/2024,LN03/24-108,"Vật tư chuyến máy bơm văn phòng mới và vật tư sửa chữa máy móc thiết bị phục vụ sản xuất, PO03/24-056.",PR24/03-052,PO03/24-056,0903900510000000,Van thau tay gạt phi 60mm.,CAI,1,CAI,1,1
1/29/2024,LN01/24-105,Mua keo dán nền và nhớt 10 PO01/24-062.,PR24/01-057,PO01/24-062,VAN084,Van thau phi 27,CAI,1,CAI,15,15
1/29/2024,LN01/24-108,Vật tư làm đường cung cấp nước giếng tưới cây PO01/24-082.,PR24/01-079,PO01/24-082,0903900430000000,Van nhựa PVC BM phi 27.,CAI,1,CAI,7,7
3/8/2024,LN03/24-030,Vật tư bảo trì thay thế cho máy nén khí SA37A. PO03/24-018/020.,PR24/03-017,PO03/24-018,0903901240000000,Van một chiều dầu đầu nén SA37A.,CAI,1,CAI,1,1
3/6/2024,LN03/24-014,Vật tư sử dụng thay thế cho máy nén khí SA37 + SA37A PO02/24-030.,PR24/02-029,PO02/24-030,0903901230000000,Van điện từ PRESSURE - SWITCH AC 230V - A SER - 02H.,CAI,1,CAI,1,1
1/10/2024,LN01/24-022,Vật tư  chuyển lắp máy máy thổi 01 phân xưởng 4. PO01/24-015/021.,PR24/01-018,PO01/24-015,0903901210000000,Van điện từ  solenoid  31A1FV15 -Z.,CAI,1,CAI,1,1
2/2/2024,LN02/24-016,"Vật tư sử dụng thay thế cho đường nước sạch khu công nghiệp vào công ty, theo đề xuất của BKS. PO01/24-078",PR24/01-075,PO01/24-078,0902700830000000,Van 1 chiều lá lật gang Wonil Hàn Quốc lắp mặt bích DN80. (Tiêu chuẩn JIS10K),CAI,1,CAI,1,1
1/31/2024,LN01/24-124,Mua vải lau phục vụ sản xuất+ dọn dẹp cuối năm PO01/24-102/107,PR24/01-095,PO01/24-102,0909700010000000,Vải lau,Kg,1,Kg,350,350
1/31/2024,LN01/24-124,Mua vải lau phục vụ sản xuất+ dọn dẹp cuối năm PO01/24-102/107,PR24/01-106,PO01/24-107,0909700010000000,Vải lau,Kg,1,Kg,200,200
2/26/2024,LN02/24-063,Mua vải lau phục vụ sản xuất+ dọn dẹp cuối năm PO01/24-102 VÀ PO02/24-014/030.,PR24/01-095,PO01/24-102,0909700010000000,Vải lau,Kg,1,Kg,600,600
2/29/2024,LN02/24-090,Mua vải lau phục vụ sản xuất+ dọn dẹp cuối năm (ĐỀ NGHỊ NHẬP KHO THEO SL THỰC NHẬN 150 KG) PO01/24-102,PR24/01-095,PO01/24-102,0909700010000000,Vải lau,Kg,1,Kg,50,50
3/11/2024,LN03/24-036,PX BTP: vật tư cho máy cắt PE PO01/24-065/107 VÀ PO02/24-033/PO03/24-012.,PR24/01-101,PO01/24-107,0910000031000000,Vải chịu nhiệt phủ TEFLON khổ 1.2m,Mét,1,Mét,2,2
3/11/2024,LN03/24-036,PX BTP: vật tư cho máy cắt PE PO01/24-065/107 VÀ PO02/24-033/PO03/24-012.,PR24/01-063,PO01/24-065,0910000031000000,Vải chịu nhiệt phủ TEFLON khổ 1.2m,Mét,1,Mét,3,3
1/30/2024,LN01/24-111,Đề xuất mua bảng micca ( giữ vệ sinh buồng Tolet) (XĂNG PHA NHỚT) (PO01/24-025/040/003/105),PR24/01-027,PO01/24-025,0905502090000000,V nhôm 3cm,CAY,1,CAY,1,1
1/18/2024,LN01/24-048,SO2401-0032 - MINH ANH SO2401-0034 - UNIPACK SO2401-0036 - UNIPACK SO2401-0035 - THIÊN ÂN PO01/24-047.,PR24/01-047,PO01/24-049,10ZIP-TC002-01-0000,"Túi tài liệu Ziplock PE, W x L = 25cm x 35cm, TL: 13g/cái.",CAI,0.013,KG,2030,26.39
2/2/2024,LN02/24-002,Mua vải lau phục vụ sản xuất+ dọn dẹp cuối năm PO01/24-102.,PR24/01-094,PO01/24-102,10ZIP-TC002-01-0000,"Túi tài liệu Ziplock PE, W x L = 25cm x 35cm, TL: 13g/cái.",CAI,0.013,KG,1924,25.012
1/18/2024,LN01/24-048,SO2401-0032 - MINH ANH SO2401-0034 - UNIPACK SO2401-0036 - UNIPACK SO2401-0035 - THIÊN ÂN PO01/24-047.,PR24/01-047,PO01/24-049,10ZIP-4P007-01-0000,"Túi tài liệu Ziplock PE, W x L = 22cm x 34cm, TL: 18g/cái.",Cái,0.018,KG,1311,23.6
3/29/2024,LN03/24-117,DÂY CỘT BAO Hạt nhựa PP kéo sợi - T03 PO03/24-067/081,PR24/03-063,PO03/24-067,10ZIP-4P007-01-0000,"Túi tài liệu Ziplock PE, W x L = 22cm x 34cm, TL: 18g/cái.",Cái,0.018,KG,1389,25.002
3/30/2024,LN03/24-125,DÂY CỘT BAO Hạt nhựa PP kéo sợi - T03 PO03/24-067. ĐỀ NGHỊ NK THEO SL TÚI ZIP THỰC TẾ 1389 CÁI.,PR24/03-063,PO03/24-067,10ZIP-4P007-01-0000,"Túi tài liệu Ziplock PE, W x L = 22cm x 34cm, TL: 18g/cái.",Cái,0.018,KG,1111,20
1/16/2024,LN01/24-114,"Nhận gia công Hiệp Phước
SO2311-0006",,,10ZIP-TC007-01-0000,"Túi tài liệu Ziplock A3, W x L = 25cm x 35cm, TL: 15.8g/cái.",Cái,0.0158,KG,95,1.501
3/14/2024,LN03/24-058,"Dây đai ép kiện màu xanh dương BẢN 15 mm độ dày 1 mm Ống nhựa PVC D12mm, dày 2mm, màu trắng trong; TL: 100g/m [Ống nhựa cứng] ĐỀ NGHỊ NHẬP KHO THEO SL THỰC NHẬN : 988 CÁI TÚI.",PR24/02-035,PO02/24-033,10POC-TU001-06-0000,Túi PVC trong kích thước RxD+ Nắp: 18x20+4cm; TL: 10g/cái,Cái,0.01,KG,520,5.2
1/16/2024,LN01/24-044,SO2312-0042 - ĐẮK LẮK PO01/24-042,PR24/01-038,PO01/24-042,LDPE070120G030TT.TBS,"Túi LDPE, trong suốt, K70(+/-0.5)x120LL(+/-0.5), cắt dài 121.5cm + đường hàn cách đáy <15mm, TL: 30(+/-1)gr.",Cái,0.03,KG,15000,450
1/30/2024,LN01/24-115,SO2401-0045 - ĐẮK LẮK PO01/24-072,PR24/01-073,PO01/24-072,LDPE070120G030TT.TBS,"Túi LDPE, trong suốt, K70(+/-0.5)x120LL(+/-0.5), cắt dài 121.5cm + đường hàn cách đáy <15mm, TL: 30(+/-1)gr.",Cái,0.03,KG,14100,423
2/2/2024,LN02/24-008,SO2401-0045 - ĐẮK LẮK PO01/24-072/103. ĐỀ NGHỊ NHẬP KHO THEO SL THỰC NHẬN K70 X 120 : 15.300 CÁI BAO.,PR24/01-073,PO01/24-072,LDPE070120G030TT.TBS,"Túi LDPE, trong suốt, K70(+/-0.5)x120LL(+/-0.5), cắt dài 121.5cm + đường hàn cách đáy <15mm, TL: 30(+/-1)gr.",Cái,0.03,KG,13900,417
2/2/2024,LN02/24-008,SO2401-0045 - ĐẮK LẮK PO01/24-072/103. ĐỀ NGHỊ NHẬP KHO THEO SL THỰC NHẬN K70 X 120 : 15.300 CÁI BAO.,PR24/01-098,PO01/24-103,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,14600,730
2/2/2024,LN02/24-009,SO2401-0035 - THIÊN ÂN PO01/24-103.,PR24/01-098,PO01/24-103,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,10000,500
2/2/2024,LN02/24-018,SO2401-0035 - THIÊN ÂN PO01/24-103.,PR24/01-098,PO01/24-103,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,21600,1080
2/3/2024,LN02/24-027,SO2401-0035 - THIÊN ÂN PO01/24-103.,PR24/01-098,PO01/24-103,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,21400,1070
2/19/2024,LN02/24-036,SO2401-0035 - THIÊN ÂN PO01/24-103.,PR24/01-098,PO01/24-103,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,25600,1280
2/19/2024,LN02/24-037,SO2401-0035 - THIÊN ÂN PO01/24-103.,PR24/01-098,PO01/24-103,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,8400,420
2/20/2024,LN02/24-042,Bao lồng  KCP (KH GIAO HÀNG VÀO CÁC NGÀY 20-21-22-23-25/02/2024. GIAO KẾT THÚC PO) PO02/24-011.,PR24/02-016,PO02/24-011,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,61800,3090
2/23/2024,LN02/24-057,Bao lồng  KCP (KH GIAO HÀNG VÀO CÁC NGÀY 20-21-22-23-25/02/2024. GIAO KẾT THÚC PO) PO02/24-011,PR24/02-016,PO02/24-011,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,32000,1600
2/27/2024,LN02/24-068,Bao lồng  KCP (KH GIAO HÀNG VÀO CÁC NGÀY 20-21-22-23-25/02/2024. GIAO KẾT THÚC PO) PO02/24-011 ĐỀ NGHỊ NHẬP KHO THEO SỐ THỰC NHẬN 10.200 CÁI/ 510 KG.,PR24/02-016,PO02/24-011,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,6200,310
3/7/2024,LN03/24-024,Bao lồng KCP PO03/24-007.,PR24/03-005,PO03/24-007,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,14400,720
3/8/2024,LN03/24-029,Bao lồng KCP PO03/24-007.,PR24/03-005,PO03/24-007,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,15000,750
3/11/2024,LN03/24-039,Bao lồng KCP,PR24/03-005,PO03/24-007,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,16200,810
3/11/2024,LN03/24-041,Bao lồng KCP PO03/24-007,PR24/03-005,PO03/24-007,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,26800,1340
3/12/2024,LN03/24-047,Bao lồng KCP PO03/24-007.,PR24/03-005,PO03/24-007,LDPE062097G050TT.KCP,"Túi LDPE, trắng trong, K62(+/-0.5)x97LL(+/-0.5), cắt dài 98cm + hàn 2 đường cách đáy <10mm, TL: 50(+/-1)gr.",CAI,0.05,KG,27600,1380
