Mã phiếu,Người tạo,Ngày tạo,Mã yêu cầu,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN,Tiền tệ,Đơn giá,Tiền thuế,Tổng tiền,Mã NCC,Tên NCC
PO02/24-029,Nguyễn Thị Đào,45345.159722222219,PR24/02-027,5200108837000000,Gạo lài sữa-tư trúc,CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-086,Nguyễn Thị Đào,45380.088194444441,PR24/03-083,5200108870000000,TRIBAT 50X85 (SAIGONXANH),CM2,10000,CM2,10000,,VND,290,232000,2900000,NCC010204,CÔNG TY TNHH CHÍNH KIỆT
PO03/24-067,Nguyễn Thị Đào,45377.110416666663,PR24/03-071,5200110840000000,Kìm bấm cos mạng RJ11/12 và RJ45,CAI,40,CAI,40,,VND,9000,0,360000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO03/24-063,Nguyễn Thị Đào,45373.296527777777,PR24/03-059,5300101542000000,Sơ dừa,BAO,150,BAO,150,,VND,21000,0,3150000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO03/24-023,Nguyễn Thị Đào,45357.309027777774,PR24/03-020,0700100030000000,nhớt 10,LIT,4000,LIT,4000,,VND,29545.4545,11818182,118181818,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO02/24-007,Nguyễn Thị Đào,45324.402777777774,PR24/02-012,0700100030000000,nhớt 10,LIT,2000,LIT,2000,,VND,29545.4545,5909091,59090909,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO01/24-008,Nguyễn Thị Đào,45294.375694444439,PR24/01-011,0700100030000000,nhớt 10,LIT,2000,LIT,2000,,VND,29545.4545,5909091,59090909,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO01/24-060,Nguyễn Thị Đào,45313.107638888891,PR24/01-056,0700100030000000,nhớt 10,LIT,2000,LIT,2000,,VND,29545.4545,5909091,59090909,NCC010046,CÔNG TY TNHH TM HUY BÌNH PHÁT
PO01/24-025,Nguyễn Thị Đào,45300.341666666667,PR24/01-027,0700100070000000,XĂNG A92,LIT,10,LIT,10,,VND,31500,0,315000,NCC010054,HOÀNG QUANG HỢI_ VTXD
PO02/24-005,Nguyễn Thị Đào,45324.132638888885,PR24/02-011,0700100070000000,XĂNG A92,LIT,8,LIT,8,,VND,25000,0,200000,NCC010054,HOÀNG QUANG HỢI_ VTXD
PO03/24-052,Nguyễn Thị Đào,45370.109027777777,PR24/03-042,0700100171000000,Nhớt castrol 20W50.,LIT,36,LIT,36,,VND,83333.33,300000,3000000,NCC010053,TRẦN HỮU THÀNH _ VẬT TƯ NHÀ MÁY
PO03/24-070,Nguyễn Thị Đào,45377.124305555553,PR24/03-070,0700100180000000,Dầu FUSHENG thùng 18 lít,THUNG,2,THUNG,2,,VND,4880000,976000,9760000,NCC010074,CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ ĐẠI LỢI
