Mã số,Mặt hàng,Đơn vị tính 1,SL Đầu kỳ 1,Giá trị đầu kỳ 1,SL Nhập 1,Giá trị Nhập 1,SL Xuất 1,Giá trị xuất 1,SL Tồn 1,Giá trị tồn 1,Đơn vị tính 2,SL Đầu kỳ 2,SL Nhập 2,SL Xuất 2,SL Tồn 2,Date
MDM-FL348GT,Xanh lá 348C gián tiếp,KG,50,4150000,0,0,0,0,50,4150000,KG,50,0,0,50,17/09/2024
MDM-FL39,Xanh Dương 39 FL,KG,25,1900000.62,0,0,0,0,25,1900000.62,KG,25,0,0,25,17/09/2024
MDM-FL39GT,Xanh Dương 39 FL gián tiếp,KG,50,3802307.43,0,0,0,0,50,3802307.43,KG,50,0,0,50,17/09/2024
MDM-FL485GT,Đỏ 485C gián tiếp,KG,75,5554590.49,0,0,0,0,75,5554590.49,KG,75,0,0,75,17/09/2024
MDM-FL61GT,Trắng Đục 61 FL gián tiếp,KG,25,1775000,0,0,0,0,25,1775000,KG,25,0,0,25,17/09/2024
MDM-FL79,Xanh Lá 79 FL,KG,25,2075000,0,0,0,0,25,2075000,KG,25,0,0,25,17/09/2024
MDM-FL81,Tím 81 FL,KG,25,2275000,0,0,0,0,25,2275000,KG,25,0,0,25,17/09/2024
MDM-FL81GT,Tím 81 FL gián tiếp,KG,50,4550000,0,0,0,0,50,4550000,KG,50,0,0,50,17/09/2024
MDM-FL92,Đen 92 FL,KG,100,6900000,0,0,0,0,100,6900000,KG,100,0,0,100,17/09/2024
MDM-FL92GT,Đen 92 FL gián tiếp,KG,75,5185838.99,0,0,0,0,75,5185838.99,KG,75,0,0,75,17/09/2024
MDM-FLDO192,Đỏ 192C FL,KG,125,9250000,0,0,25,1850000,100,7400000,KG,125,0,25,100,17/09/2024
MDM-FLDO192GT,Đỏ 192C FL gián tiếp,KG,125,9232143,0,0,0,0,125,9232143,KG,125,0,0,125,17/09/2024
MDM-FLH570,Hồng 570 FL,KG,25,3325000,0,0,0,0,25,3325000,KG,25,0,0,25,17/09/2024
MDM-FLH570GT,Hồng 570 FL gián tiếp,KG,15,1995000,0,0,0,0,15,1995000,KG,15,0,0,15,17/09/2024
MDM-FLNHUVANG,Nhũ Vàng FL,KG,14.5,2929000,0,0,0,0,14.5,2929000,KG,14.5,0,0,14.5,17/09/2024
